country,name,cases,deaths,recovered,last_update
BH,Bahrain,1,0,0,2020-02-24T23:33:02
BH,Bahrain,23,0,0,2020-02-25T18:55:32
BH,Bahrain,33,0,0,2020-02-26T21:03:07
BH,Bahrain,36,0,0,2020-02-28T15:33:03
BH,Bahrain,41,0,0,2020-02-29T18:03:05
BH,Bahrain,47,0,0,2020-03-01T23:33:03
BH,Bahrain,49,0,0,2020-03-02T20:33:02
BH,Bahrain,52,0,0,2020-03-04T19:33:03
BH,Bahrain,55,0,0,2020-03-05T13:53:03
BH,Bahrain,60,0,4,2020-03-06T15:33:03
BH,Bahrain,85,0,4,2020-03-07T18:13:26
BH,Bahrain,95,0,14,2020-03-09T10:03:17
BH,Bahrain,110,0,22,2020-03-10T18:53:02
BH,Bahrain,189,0,44,2020-03-11T20:00:00
BH,Bahrain,195,0,35,2020-03-11T22:33:03
BH,Bahrain,210,0,44,2020-03-14T11:53:29
BH,Bahrain,214,1,77,2020-03-16T20:33:03
BH,Bahrain,228,1,81,2020-03-17T03:13:15
BH,Bahrain,256,1,88,2020-03-18T12:33:02
BH,Bahrain,278,1,100,2020-03-19T18:13:29
BH,Bahrain,285,1,100,2020-03-20T14:43:04
BH,Bahrain,305,1,125,2020-03-21T17:43:03
BH,Bahrain,334,2,149,2020-03-22T23:45:00
BH,Bahrain,377,2,164,2020-03-23T23:19:21
BH,Bahrain,392,3,177,2020-03-24T23:37:15
BH,Bahrain,419,4,177,2020-03-25T23:33:04
BH,Bahrain,458,4,204,2020-03-26T23:48:18
BH,Bahrain,466,4,227,2020-03-27T23:23:03
BH,Bahrain,476,4,265,2020-03-28T23:05:25
BH,Bahrain,499,4,272,2020-03-29T23:08:13
BH,Bahrain,515,4,279,2020-03-30T22:52:33
BH,Bahrain,567,4,295,2020-03-31T23:43:43
BH,Bahrain,569,4,337,2020-04-01T21:58:34
BH,Bahrain,643,4,381,2020-04-02T23:25:14
BH,Bahrain,672,4,382,2020-04-03T23:56:18
BH,Bahrain,688,4,423,2020-04-04T23:34:04
BH,Bahrain,700,4,431,2020-04-05T23:06:26
BH,Bahrain,756,4,458,2020-04-06T23:21:55
BH,Bahrain,811,5,458,2020-04-07T23:04:29
BH,Bahrain,823,5,477,2020-04-08T22:51:39
BH,Bahrain,887,5,519,2020-04-09T23:02:19
BH,Bahrain,925,6,539,2020-04-10T22:53:48
BH,Bahrain,1040,6,555,2020-04-11T23:56:45
BH,Bahrain,1040,6,555,2020-04-12T03:31:35
BH,Bahrain,1361,6,591,2020-04-13T23:07:34
BH,Bahrain,1528,7,645,2020-04-14T23:33:12
BH,Bahrain,1671,7,663,2020-04-15T22:56:32
BH,Bahrain,1700,7,703,2020-04-16T23:30:31
BH,Bahrain,1740,7,725,2020-04-17T23:30:32
BH,Bahrain,1773,7,755,2020-04-18T22:32:28
BH,Bahrain,1881,7,759,2020-04-19T23:40:41
BH,Bahrain,1907,7,769,2020-04-20T23:36:27
BH,Bahrain,1973,7,784,2020-04-21T23:30:30
BH,Bahrain,2027,7,1026,2020-04-22T23:30:32
BH,Bahrain,2217,8,1082,2020-04-23T23:30:31
BH,Bahrain,2506,8,1113,2020-04-24T21:30:34
BH,Bahrain,2588,8,1160,2020-04-25T23:30:33
BH,Bahrain,2647,8,1189,2020-04-26T23:30:31
BH,Bahrain,2723,8,1218,2020-04-27T23:30:31
BH,Bahrain,2811,8,1310,2020-04-28T23:32:24
BH,Bahrain,2921,8,1455,2020-04-29T23:32:26
BH,Bahrain,3040,8,1500,2020-04-30T23:32:27
BH,Bahrain,3170,8,1555,2020-05-01T23:32:36
BH,Bahrain,3284,8,1568,2020-05-02T23:32:31
BH,Bahrain,3383,8,1718,2020-05-03T23:32:29
BH,Bahrain,3533,8,1744,2020-05-04T22:32:33
BH,Bahrain,3720,8,1762,2020-05-05T23:32:29
BH,Bahrain,3934,8,1860,2020-05-06T23:32:28
BH,Bahrain,4199,8,2000,2020-05-07T22:32:32
BH,Bahrain,4444,8,2028,2020-05-08T23:32:35
BH,Bahrain,4774,8,2055,2020-05-09T23:32:33
BH,Bahrain,4941,8,2070,2020-05-10T23:32:32
BH,Bahrain,5236,8,2152,2020-05-11T23:32:30
BH,Bahrain,5531,9,2192,2020-05-12T23:32:26
BH,Bahrain,5816,10,2205,2020-05-13T23:32:26
BH,Bahrain,6198,10,2353,2020-05-14T23:32:28
BH,Bahrain,6583,11,2640,2020-05-15T23:32:20
BH,Bahrain,6747,12,2753,2020-05-16T23:32:19
BH,Bahrain,6956,12,2910,2020-05-17T23:32:23
BH,Bahrain,7184,12,2931,2020-05-18T23:32:29
BH,Bahrain,7532,12,2952,2020-05-19T23:32:20
BH,Bahrain,7888,12,3568,2020-05-20T23:32:52
BH,Bahrain,8174,12,3873,2020-05-21T23:32:39
BH,Bahrain,8414,12,4096,2020-05-22T23:32:40
BH,Bahrain,8774,13,4462,2020-05-23T19:06:14
