country,name,cases,deaths,recovered,last_update
BI,Burundi,2,0,0,2020-03-31T23:43:43
BI,Burundi,2,0,0,2020-04-01T21:58:34
BI,Burundi,3,0,0,2020-04-02T23:25:14
BI,Burundi,3,0,0,2020-04-03T23:56:18
BI,Burundi,3,0,0,2020-04-04T23:34:04
BI,Burundi,3,0,0,2020-04-05T23:06:26
BI,Burundi,3,0,0,2020-04-06T23:21:55
BI,Burundi,3,0,0,2020-04-07T23:04:29
BI,Burundi,3,0,0,2020-04-08T22:51:39
BI,Burundi,3,0,0,2020-04-09T23:02:19
BI,Burundi,3,0,0,2020-04-10T22:53:48
BI,Burundi,5,0,0,2020-04-11T23:56:45
BI,Burundi,5,0,0,2020-04-12T03:31:35
BI,Burundi,5,1,0,2020-04-13T23:07:34
BI,Burundi,5,1,0,2020-04-14T23:33:12
BI,Burundi,5,1,0,2020-04-15T22:56:32
BI,Burundi,5,1,0,2020-04-16T23:30:31
BI,Burundi,5,1,0,2020-04-17T23:30:32
BI,Burundi,5,1,0,2020-04-18T22:32:28
BI,Burundi,5,1,0,2020-04-19T23:40:41
BI,Burundi,5,1,4,2020-04-20T23:36:27
BI,Burundi,5,1,4,2020-04-21T23:30:30
BI,Burundi,11,1,4,2020-04-22T23:30:32
BI,Burundi,11,1,4,2020-04-23T23:30:31
BI,Burundi,11,1,4,2020-04-24T21:30:34
BI,Burundi,11,1,4,2020-04-25T23:30:33
BI,Burundi,11,1,4,2020-04-26T23:30:31
BI,Burundi,11,1,4,2020-04-27T23:30:31
BI,Burundi,11,1,4,2020-04-28T23:32:24
BI,Burundi,11,1,4,2020-04-29T23:32:26
BI,Burundi,11,1,4,2020-04-30T23:32:27
BI,Burundi,11,1,4,2020-05-01T23:32:36
BI,Burundi,15,1,7,2020-05-02T23:32:31
BI,Burundi,15,1,7,2020-05-03T23:32:29
BI,Burundi,15,1,7,2020-05-04T22:32:33
BI,Burundi,15,1,7,2020-05-05T23:32:29
BI,Burundi,15,1,7,2020-05-06T23:32:28
BI,Burundi,15,1,7,2020-05-07T22:32:32
BI,Burundi,15,1,7,2020-05-08T23:32:35
BI,Burundi,15,1,7,2020-05-09T23:32:33
BI,Burundi,15,1,7,2020-05-10T23:32:32
BI,Burundi,15,1,7,2020-05-11T23:32:30
BI,Burundi,15,1,7,2020-05-12T23:32:26
BI,Burundi,15,1,7,2020-05-13T23:32:26
BI,Burundi,15,1,7,2020-05-14T23:32:28
BI,Burundi,15,1,7,2020-05-15T23:32:20
BI,Burundi,15,1,7,2020-05-16T23:32:19
BI,Burundi,23,1,15,2020-05-17T23:32:23
BI,Burundi,42,1,20,2020-05-18T23:32:29
BI,Burundi,42,1,20,2020-05-19T23:32:20
BI,Burundi,42,1,20,2020-05-20T23:32:52
BI,Burundi,42,1,20,2020-05-21T23:32:39
BI,Burundi,42,1,20,2020-05-22T12:32:39
