country,name,cases,deaths,recovered,last_update
BN,Brunei Darussalam,1,0,0,2020-03-09T18:33:03
BN,Brunei Darussalam,1,0,0,2020-03-10T06:13:43
BN,Brunei Darussalam,37,0,0,2020-03-11T20:00:00
BN,Brunei Darussalam,11,0,0,2020-03-11T22:13:12
BN,Brunei Darussalam,40,0,0,2020-03-14T20:33:03
BN,Brunei Darussalam,50,0,0,2020-03-15T18:20:18
BN,Brunei Darussalam,54,0,0,2020-03-16T14:38:45
BN,Brunei Darussalam,56,0,0,2020-03-17T15:53:12
BN,Brunei Darussalam,68,0,0,2020-03-18T11:13:43
BN,Brunei Darussalam,75,0,0,2020-03-19T11:13:33
BN,Brunei Darussalam,78,0,1,2020-03-20T15:43:24
BN,Brunei Darussalam,83,0,2,2020-03-21T12:43:08
BN,Brunei Darussalam,88,0,2,2020-03-22T23:45:00
BN,Brunei Darussalam,91,0,2,2020-03-23T23:19:21
BN,Brunei Darussalam,104,0,2,2020-03-24T23:37:15
BN,Brunei Darussalam,109,0,2,2020-03-25T23:33:04
BN,Brunei Darussalam,114,0,5,2020-03-26T23:48:18
BN,Brunei Darussalam,115,0,11,2020-03-27T23:23:03
BN,Brunei Darussalam,120,1,25,2020-03-28T23:05:25
BN,Brunei Darussalam,126,1,34,2020-03-29T23:08:13
BN,Brunei Darussalam,127,1,38,2020-03-30T22:52:33
BN,Brunei Darussalam,129,1,45,2020-03-31T23:43:43
BN,Brunei Darussalam,131,1,52,2020-04-01T21:58:34
BN,Brunei Darussalam,133,1,56,2020-04-02T23:25:14
BN,Brunei Darussalam,134,1,65,2020-04-03T23:56:18
BN,Brunei Darussalam,135,1,66,2020-04-04T23:34:04
BN,Brunei Darussalam,135,1,73,2020-04-05T23:06:26
BN,Brunei Darussalam,135,1,82,2020-04-06T23:21:55
BN,Brunei Darussalam,135,1,85,2020-04-07T23:04:29
BN,Brunei Darussalam,135,1,91,2020-04-08T22:51:39
BN,Brunei Darussalam,135,1,92,2020-04-09T23:02:19
BN,Brunei Darussalam,136,1,99,2020-04-10T22:53:48
BN,Brunei Darussalam,136,1,104,2020-04-11T23:56:45
BN,Brunei Darussalam,136,1,104,2020-04-12T03:31:35
BN,Brunei Darussalam,136,1,107,2020-04-13T23:07:34
BN,Brunei Darussalam,136,1,107,2020-04-14T23:33:12
BN,Brunei Darussalam,136,1,108,2020-04-15T22:56:32
BN,Brunei Darussalam,136,1,108,2020-04-16T23:30:31
BN,Brunei Darussalam,136,1,112,2020-04-17T23:30:32
BN,Brunei Darussalam,137,1,113,2020-04-18T22:32:28
BN,Brunei Darussalam,138,1,115,2020-04-19T23:40:41
BN,Brunei Darussalam,138,1,116,2020-04-20T23:36:27
BN,Brunei Darussalam,138,1,116,2020-04-21T23:30:30
BN,Brunei Darussalam,138,1,117,2020-04-22T23:30:32
BN,Brunei Darussalam,138,1,119,2020-04-23T23:30:31
BN,Brunei Darussalam,138,1,120,2020-04-24T21:30:34
BN,Brunei Darussalam,138,1,121,2020-04-25T23:30:33
BN,Brunei Darussalam,138,1,123,2020-04-26T23:30:31
BN,Brunei Darussalam,138,1,124,2020-04-27T23:30:31
BN,Brunei Darussalam,138,1,124,2020-04-28T23:32:24
BN,Brunei Darussalam,138,1,124,2020-04-29T23:32:26
BN,Brunei Darussalam,138,1,124,2020-04-30T23:32:27
BN,Brunei Darussalam,138,1,124,2020-05-01T23:32:36
BN,Brunei Darussalam,138,1,126,2020-05-02T23:32:31
BN,Brunei Darussalam,138,1,128,2020-05-03T23:32:29
BN,Brunei Darussalam,138,1,130,2020-05-04T22:32:33
BN,Brunei Darussalam,138,1,131,2020-05-05T23:32:29
BN,Brunei Darussalam,139,1,131,2020-05-06T23:32:28
BN,Brunei Darussalam,141,1,131,2020-05-07T22:32:32
BN,Brunei Darussalam,141,1,132,2020-05-08T23:32:35
BN,Brunei Darussalam,141,1,132,2020-05-09T23:32:33
BN,Brunei Darussalam,141,1,134,2020-05-10T23:32:32
BN,Brunei Darussalam,141,1,134,2020-05-11T23:32:30
BN,Brunei Darussalam,141,1,134,2020-05-12T23:32:26
BN,Brunei Darussalam,141,1,134,2020-05-13T23:32:26
BN,Brunei Darussalam,141,1,134,2020-05-14T23:32:28
BN,Brunei Darussalam,141,1,135,2020-05-15T23:32:20
BN,Brunei Darussalam,141,1,136,2020-05-16T23:32:19
BN,Brunei Darussalam,141,1,136,2020-05-17T23:32:23
BN,Brunei Darussalam,141,1,136,2020-05-18T23:32:29
BN,Brunei Darussalam,141,1,136,2020-05-19T14:32:25
