country,name,cases,deaths,recovered,last_update
BO,Plurinational State of Bolivia,2,0,0,2020-03-11T18:52:03
BO,Plurinational State of Bolivia,3,0,0,2020-03-11T20:00:00
BO,Plurinational State of Bolivia,10,0,0,2020-03-14T12:53:07
BO,Plurinational State of Bolivia,11,0,0,2020-03-16T14:38:45
BO,Plurinational State of Bolivia,12,0,0,2020-03-18T11:53:04
BO,Plurinational State of Bolivia,15,0,0,2020-03-20T02:43:10
BO,Plurinational State of Bolivia,19,0,0,2020-03-21T12:43:08
BO,Plurinational State of Bolivia,24,0,0,2020-03-22T23:45:00
BO,Plurinational State of Bolivia,27,0,0,2020-03-23T23:19:21
BO,Plurinational State of Bolivia,29,0,0,2020-03-24T23:37:15
BO,Plurinational State of Bolivia,32,0,0,2020-03-25T23:33:04
BO,Plurinational State of Bolivia,43,0,0,2020-03-26T23:48:18
BO,Plurinational State of Bolivia,61,0,0,2020-03-27T23:23:03
BO,Plurinational State of Bolivia,74,0,0,2020-03-28T23:05:25
BO,Plurinational State of Bolivia,81,1,0,2020-03-29T23:08:13
BO,Plurinational State of Bolivia,97,4,0,2020-03-30T22:52:33
BO,Plurinational State of Bolivia,107,6,0,2020-03-31T23:43:43
BO,Plurinational State of Bolivia,115,7,1,2020-04-01T21:58:34
BO,Plurinational State of Bolivia,123,8,1,2020-04-02T23:25:14
BO,Plurinational State of Bolivia,132,9,1,2020-04-03T23:56:18
BO,Plurinational State of Bolivia,139,10,1,2020-04-04T23:34:04
BO,Plurinational State of Bolivia,157,10,2,2020-04-05T23:06:26
BO,Plurinational State of Bolivia,183,11,2,2020-04-06T23:21:55
BO,Plurinational State of Bolivia,194,14,2,2020-04-07T23:04:29
BO,Plurinational State of Bolivia,210,15,2,2020-04-08T22:51:39
BO,Plurinational State of Bolivia,264,18,2,2020-04-09T23:02:19
BO,Plurinational State of Bolivia,268,19,2,2020-04-10T22:53:48
BO,Plurinational State of Bolivia,275,20,2,2020-04-11T23:56:45
BO,Plurinational State of Bolivia,300,24,2,2020-04-12T03:31:35
BO,Plurinational State of Bolivia,330,27,2,2020-04-13T23:07:34
BO,Plurinational State of Bolivia,354,28,6,2020-04-14T23:33:12
BO,Plurinational State of Bolivia,397,28,7,2020-04-15T22:56:32
BO,Plurinational State of Bolivia,441,29,14,2020-04-16T23:30:31
BO,Plurinational State of Bolivia,465,31,26,2020-04-17T23:30:32
BO,Plurinational State of Bolivia,493,31,31,2020-04-18T22:32:28
BO,Plurinational State of Bolivia,520,32,31,2020-04-19T23:40:41
BO,Plurinational State of Bolivia,564,33,31,2020-04-20T23:36:27
BO,Plurinational State of Bolivia,598,34,37,2020-04-21T23:30:30
BO,Plurinational State of Bolivia,609,37,44,2020-04-22T23:30:32
BO,Plurinational State of Bolivia,672,40,44,2020-04-23T23:30:31
BO,Plurinational State of Bolivia,703,43,44,2020-04-24T21:30:34
BO,Plurinational State of Bolivia,807,44,54,2020-04-25T23:30:33
BO,Plurinational State of Bolivia,866,46,74,2020-04-26T23:30:31
BO,Plurinational State of Bolivia,950,50,80,2020-04-27T23:30:31
BO,Plurinational State of Bolivia,1014,53,98,2020-04-28T23:32:24
BO,Plurinational State of Bolivia,1053,55,110,2020-04-29T23:32:26
BO,Plurinational State of Bolivia,1110,59,117,2020-04-30T23:32:27
BO,Plurinational State of Bolivia,1167,62,132,2020-05-01T23:32:36
BO,Plurinational State of Bolivia,1229,66,134,2020-05-02T23:32:31
BO,Plurinational State of Bolivia,1470,71,159,2020-05-03T23:32:29
BO,Plurinational State of Bolivia,1594,76,166,2020-05-04T22:32:33
BO,Plurinational State of Bolivia,1681,82,174,2020-05-05T23:32:29
BO,Plurinational State of Bolivia,1802,86,187,2020-05-06T23:32:28
BO,Plurinational State of Bolivia,1886,91,198,2020-05-07T22:32:32
BO,Plurinational State of Bolivia,2081,102,219,2020-05-08T23:32:35
BO,Plurinational State of Bolivia,2266,106,237,2020-05-09T23:32:33
BO,Plurinational State of Bolivia,2437,114,258,2020-05-10T23:32:32
BO,Plurinational State of Bolivia,2556,118,273,2020-05-11T23:32:30
BO,Plurinational State of Bolivia,2831,122,299,2020-05-12T23:32:26
BO,Plurinational State of Bolivia,2964,128,313,2020-05-13T23:32:26
BO,Plurinational State of Bolivia,3148,142,339,2020-05-14T23:32:28
BO,Plurinational State of Bolivia,3372,152,356,2020-05-15T23:32:20
BO,Plurinational State of Bolivia,3577,164,434,2020-05-16T23:32:19
BO,Plurinational State of Bolivia,3826,165,473,2020-05-17T23:32:23
BO,Plurinational State of Bolivia,4088,169,493,2020-05-18T23:32:29
BO,Plurinational State of Bolivia,4263,174,503,2020-05-19T23:32:20
BO,Plurinational State of Bolivia,4481,189,533,2020-05-20T23:32:52
BO,Plurinational State of Bolivia,4919,199,553,2020-05-21T23:32:39
BO,Plurinational State of Bolivia,5187,215,561,2020-05-22T12:32:39
