country,name,cases,deaths,recovered,last_update
BS,Bahamas,1,0,0,2020-03-16T03:33:03
BS,Bahamas,3,0,0,2020-03-19T11:33:39
BS,Bahamas,0,0,0,2020-03-19T12:13:38
BS,Bahamas,4,0,0,2020-03-21T02:43:03
BS,Bahamas,4,0,0,2020-03-22T23:45:00
BS,Bahamas,4,0,0,2020-03-23T23:19:21
BS,Bahamas,5,0,1,2020-03-24T23:37:15
BS,Bahamas,5,0,1,2020-03-25T23:33:04
BS,Bahamas,9,0,1,2020-03-26T23:48:18
BS,Bahamas,10,0,1,2020-03-27T23:23:03
BS,Bahamas,10,0,1,2020-03-28T23:05:25
BS,Bahamas,11,0,1,2020-03-29T23:08:13
BS,Bahamas,14,0,1,2020-03-30T22:52:33
BS,Bahamas,14,0,1,2020-03-31T23:43:43
BS,Bahamas,21,1,1,2020-04-01T21:58:34
BS,Bahamas,24,1,1,2020-04-02T23:25:14
BS,Bahamas,24,3,0,2020-04-03T23:56:18
BS,Bahamas,28,4,0,2020-04-04T23:34:04
BS,Bahamas,28,4,0,2020-04-05T23:06:26
BS,Bahamas,29,5,4,2020-04-06T23:21:55
BS,Bahamas,33,6,5,2020-04-07T23:04:29
BS,Bahamas,40,7,5,2020-04-08T22:51:39
BS,Bahamas,41,8,5,2020-04-09T23:02:19
BS,Bahamas,42,8,5,2020-04-10T22:53:48
BS,Bahamas,46,8,5,2020-04-11T23:56:45
BS,Bahamas,46,8,5,2020-04-12T03:31:35
BS,Bahamas,47,8,6,2020-04-13T23:07:34
BS,Bahamas,49,8,6,2020-04-14T23:33:12
BS,Bahamas,49,8,6,2020-04-15T22:56:32
BS,Bahamas,53,8,6,2020-04-16T23:30:31
BS,Bahamas,54,9,6,2020-04-17T23:30:32
BS,Bahamas,55,9,10,2020-04-18T22:32:28
BS,Bahamas,55,9,10,2020-04-19T23:40:41
BS,Bahamas,60,9,11,2020-04-20T23:36:27
BS,Bahamas,65,9,12,2020-04-21T23:30:30
BS,Bahamas,65,9,12,2020-04-22T23:30:32
BS,Bahamas,72,11,14,2020-04-23T23:30:31
BS,Bahamas,72,11,14,2020-04-24T21:30:34
BS,Bahamas,78,11,15,2020-04-25T23:30:33
BS,Bahamas,80,11,22,2020-04-26T23:30:31
BS,Bahamas,80,11,22,2020-04-27T23:30:31
BS,Bahamas,80,11,23,2020-04-28T23:32:24
BS,Bahamas,80,11,23,2020-04-29T23:32:26
BS,Bahamas,80,11,25,2020-04-30T23:32:27
BS,Bahamas,81,11,25,2020-05-01T23:32:36
BS,Bahamas,82,11,24,2020-05-02T23:32:31
BS,Bahamas,83,11,24,2020-05-03T23:32:29
BS,Bahamas,83,11,25,2020-05-04T22:32:33
BS,Bahamas,89,11,26,2020-05-05T23:32:29
BS,Bahamas,89,11,26,2020-05-06T23:32:28
BS,Bahamas,92,11,26,2020-05-07T22:32:32
BS,Bahamas,92,11,31,2020-05-08T23:32:35
BS,Bahamas,92,11,31,2020-05-09T23:32:33
BS,Bahamas,92,11,37,2020-05-10T23:32:32
BS,Bahamas,92,11,37,2020-05-11T23:32:30
BS,Bahamas,93,11,39,2020-05-12T23:32:26
BS,Bahamas,93,11,39,2020-05-13T23:32:26
BS,Bahamas,96,11,41,2020-05-14T23:32:28
BS,Bahamas,96,11,41,2020-05-15T23:32:20
BS,Bahamas,96,11,42,2020-05-16T23:32:19
BS,Bahamas,96,11,42,2020-05-17T23:32:23
BS,Bahamas,96,11,42,2020-05-18T23:32:29
BS,Bahamas,96,11,43,2020-05-19T23:32:20
BS,Bahamas,96,11,43,2020-05-20T23:32:52
BS,Bahamas,97,11,43,2020-05-21T23:32:39
BS,Bahamas,97,11,44,2020-05-22T23:32:40
BS,Bahamas,97,11,45,2020-05-23T19:06:14
