country,name,cases,deaths,recovered,last_update
BT,Bhutan,1,0,0,2020-03-06T15:43:02
BT,Bhutan,1,0,0,2020-03-11T20:00:00
BT,Bhutan,1,0,0,2020-03-13T22:22:02
BT,Bhutan,2,0,0,2020-03-20T14:13:37
BT,Bhutan,2,0,0,2020-03-22T23:45:00
BT,Bhutan,2,0,0,2020-03-23T23:19:21
BT,Bhutan,2,0,0,2020-03-24T23:37:15
BT,Bhutan,2,0,0,2020-03-25T23:33:04
BT,Bhutan,2,0,0,2020-03-26T23:48:18
BT,Bhutan,3,0,0,2020-03-27T23:23:03
BT,Bhutan,3,0,0,2020-03-28T23:05:25
BT,Bhutan,4,0,0,2020-03-29T23:08:13
BT,Bhutan,4,0,0,2020-03-30T22:52:33
BT,Bhutan,4,0,0,2020-03-31T23:43:43
BT,Bhutan,4,0,0,2020-04-01T21:58:34
BT,Bhutan,5,0,1,2020-04-02T23:25:14
BT,Bhutan,5,0,2,2020-04-03T23:56:18
BT,Bhutan,5,0,2,2020-04-04T23:34:04
BT,Bhutan,5,0,2,2020-04-05T23:06:26
BT,Bhutan,5,0,2,2020-04-06T23:21:55
BT,Bhutan,5,0,2,2020-04-07T23:04:29
BT,Bhutan,5,0,2,2020-04-08T22:51:39
BT,Bhutan,5,0,2,2020-04-09T23:02:19
BT,Bhutan,5,0,2,2020-04-10T22:53:48
BT,Bhutan,5,0,2,2020-04-11T23:56:45
BT,Bhutan,5,0,2,2020-04-12T03:31:35
BT,Bhutan,5,0,2,2020-04-13T23:07:34
BT,Bhutan,5,0,2,2020-04-14T23:33:12
BT,Bhutan,5,0,2,2020-04-15T22:56:32
BT,Bhutan,5,0,2,2020-04-16T23:30:31
BT,Bhutan,5,0,2,2020-04-17T23:30:32
BT,Bhutan,5,0,2,2020-04-18T22:32:28
BT,Bhutan,5,0,2,2020-04-19T23:40:41
BT,Bhutan,5,0,2,2020-04-20T23:36:27
BT,Bhutan,6,0,2,2020-04-21T23:30:30
BT,Bhutan,6,0,2,2020-04-22T23:30:32
BT,Bhutan,7,0,3,2020-04-23T23:30:31
BT,Bhutan,7,0,3,2020-04-24T21:30:34
BT,Bhutan,7,0,3,2020-04-25T23:30:33
BT,Bhutan,7,0,4,2020-04-26T23:30:31
BT,Bhutan,7,0,4,2020-04-27T23:30:31
BT,Bhutan,7,0,5,2020-04-28T23:32:24
BT,Bhutan,7,0,5,2020-04-29T23:32:26
BT,Bhutan,7,0,5,2020-04-30T23:32:27
BT,Bhutan,7,0,5,2020-05-01T23:32:36
BT,Bhutan,7,0,5,2020-05-02T23:32:31
BT,Bhutan,7,0,5,2020-05-03T23:32:29
BT,Bhutan,7,0,5,2020-05-04T22:32:33
BT,Bhutan,7,0,5,2020-05-05T23:32:29
BT,Bhutan,7,0,5,2020-05-06T23:32:28
BT,Bhutan,7,0,5,2020-05-07T22:32:32
BT,Bhutan,7,0,5,2020-05-08T23:32:35
BT,Bhutan,7,0,5,2020-05-09T23:32:33
BT,Bhutan,7,0,5,2020-05-10T23:32:32
BT,Bhutan,9,0,5,2020-05-11T23:32:30
BT,Bhutan,11,0,5,2020-05-12T23:32:26
BT,Bhutan,11,0,5,2020-05-13T23:32:26
BT,Bhutan,19,0,5,2020-05-14T23:32:28
BT,Bhutan,21,0,5,2020-05-15T23:32:20
BT,Bhutan,21,0,5,2020-05-16T23:32:19
BT,Bhutan,21,0,5,2020-05-17T23:32:23
BT,Bhutan,21,0,5,2020-05-18T18:01:58
