country,name,cases,deaths,recovered,last_update
BY,Belarus,1,0,0,2020-02-28T16:23:03
BY,Belarus,6,0,0,2020-03-04T12:43:03
BY,Belarus,6,0,1,2020-03-09T11:33:10
BY,Belarus,9,0,3,2020-03-10T16:13:27
BY,Belarus,27,0,3,2020-03-11T20:00:00
BY,Belarus,12,0,3,2020-03-12T08:53:02
BY,Belarus,27,0,3,2020-03-13T22:21:59
BY,Belarus,36,0,3,2020-03-16T14:38:45
BY,Belarus,51,0,5,2020-03-18T11:33:04
BY,Belarus,69,0,5,2020-03-20T14:43:04
BY,Belarus,76,0,15,2020-03-21T20:43:03
BY,Belarus,76,0,15,2020-03-22T23:45:00
BY,Belarus,81,0,22,2020-03-23T23:19:21
BY,Belarus,81,0,22,2020-03-24T23:37:15
BY,Belarus,86,0,29,2020-03-25T23:33:04
BY,Belarus,86,0,29,2020-03-26T23:48:18
BY,Belarus,94,0,32,2020-03-27T23:23:03
BY,Belarus,94,0,32,2020-03-28T23:05:25
BY,Belarus,94,0,32,2020-03-29T23:08:13
BY,Belarus,152,0,32,2020-03-30T22:52:33
BY,Belarus,152,1,47,2020-03-31T23:43:43
BY,Belarus,163,2,53,2020-04-01T21:58:34
BY,Belarus,304,4,53,2020-04-02T23:25:14
BY,Belarus,351,4,53,2020-04-03T23:56:18
BY,Belarus,440,5,53,2020-04-04T23:34:04
BY,Belarus,562,8,52,2020-04-05T23:06:26
BY,Belarus,700,13,53,2020-04-06T23:21:55
BY,Belarus,861,13,54,2020-04-07T23:04:29
BY,Belarus,1066,13,77,2020-04-08T22:51:39
BY,Belarus,1486,16,139,2020-04-09T23:02:19
BY,Belarus,1981,19,169,2020-04-10T22:53:48
BY,Belarus,2226,23,172,2020-04-11T23:56:45
BY,Belarus,2226,23,172,2020-04-12T03:31:35
BY,Belarus,2919,29,203,2020-04-13T23:07:34
BY,Belarus,3281,33,203,2020-04-14T23:33:12
BY,Belarus,3728,36,203,2020-04-15T22:56:32
BY,Belarus,4204,40,203,2020-04-16T23:30:31
BY,Belarus,4779,42,342,2020-04-17T23:30:32
BY,Belarus,4779,45,342,2020-04-18T22:32:28
BY,Belarus,4779,47,494,2020-04-19T23:40:41
BY,Belarus,6264,51,514,2020-04-20T23:36:27
BY,Belarus,6723,55,577,2020-04-21T23:30:30
BY,Belarus,7281,58,769,2020-04-22T23:30:32
BY,Belarus,8022,60,938,2020-04-23T23:30:31
BY,Belarus,8773,63,1120,2020-04-24T21:30:34
BY,Belarus,9590,67,1573,2020-04-25T23:30:33
BY,Belarus,10463,72,1695,2020-04-26T23:30:31
BY,Belarus,11289,75,1740,2020-04-27T23:30:31
BY,Belarus,12208,79,1993,2020-04-28T23:32:24
BY,Belarus,13181,84,2072,2020-04-29T23:32:26
BY,Belarus,14027,89,2386,2020-04-30T23:32:27
BY,Belarus,14917,93,2918,2020-05-01T23:32:36
BY,Belarus,15828,97,3117,2020-05-02T23:32:31
BY,Belarus,16705,99,3196,2020-05-03T23:32:29
BY,Belarus,17489,103,3259,2020-05-04T22:32:33
BY,Belarus,18350,107,3771,2020-05-05T23:32:29
BY,Belarus,19255,112,4388,2020-05-06T23:32:28
BY,Belarus,20168,116,5067,2020-05-07T22:32:32
BY,Belarus,21101,121,5484,2020-05-08T23:32:35
BY,Belarus,22052,126,6050,2020-05-09T23:32:33
BY,Belarus,22973,131,6406,2020-05-10T23:32:32
BY,Belarus,23906,135,6531,2020-05-11T23:32:30
BY,Belarus,24873,142,6974,2020-05-12T23:32:26
BY,Belarus,25825,146,7711,2020-05-13T23:32:26
BY,Belarus,26772,151,8168,2020-05-14T23:32:28
BY,Belarus,27730,156,8807,2020-05-15T23:32:20
BY,Belarus,28681,160,9498,2020-05-16T23:32:19
BY,Belarus,29650,165,9932,2020-05-17T23:32:23
BY,Belarus,30572,171,10130,2020-05-18T23:32:29
BY,Belarus,31508,175,10620,2020-05-19T23:32:20
BY,Belarus,32426,179,11415,2020-05-20T23:32:52
BY,Belarus,33371,185,12057,2020-05-21T23:32:39
BY,Belarus,34303,190,12833,2020-05-22T23:32:40
BY,Belarus,35244,194,13528,2020-05-23T19:06:14
