country,name,cases,deaths,recovered,last_update
CA,Canada,1,0,0,2020-01-26T16:00:00
CA,Canada,1,0,0,2020-01-27T23:59:00
CA,Canada,2,0,0,2020-01-28T23:00:00
CA,Canada,2,0,0,2020-01-29T19:30:00
CA,Canada,3,0,0,2020-01-30T16:00:00
CA,Canada,3,0,0,2020-01-31T23:59:00
CA,Canada,4,0,0,2020-02-01T18:12:00
CA,Canada,4,0,0,2020-02-01T18:12:49
CA,Canada,4,0,0,2020-02-04T00:13:06
CA,Canada,5,0,0,2020-02-05T17:33:03
CA,Canada,7,0,0,2020-02-07T05:43:03
CA,Canada,7,0,1,2020-02-12T18:53:03
CA,Canada,8,0,1,2020-02-17T08:03:07
CA,Canada,9,0,3,2020-02-21T05:23:04
CA,Canada,10,0,3,2020-02-24T14:43:03
CA,Canada,11,0,3,2020-02-25T02:23:05
CA,Canada,13,0,6,2020-02-27T22:43:02
CA,Canada,14,0,6,2020-02-28T05:23:07
CA,Canada,20,0,6,2020-02-29T23:23:13
CA,Canada,24,0,6,2020-03-01T23:33:03
CA,Canada,27,0,6,2020-03-02T20:53:02
CA,Canada,30,0,6,2020-03-03T23:53:03
CA,Canada,33,0,6,2020-03-04T04:23:05
CA,Canada,37,0,6,2020-03-05T17:53:03
CA,Canada,49,0,6,2020-03-06T20:53:02
CA,Canada,54,0,8,2020-03-07T03:53:03
CA,Canada,64,0,8,2020-03-08T21:33:02
CA,Canada,76,1,8,2020-03-09T22:43:25
CA,Canada,79,1,8,2020-03-10T17:13:32
CA,Canada,193,1,8,2020-03-11T20:00:00
CA,Canada,108,1,8,2020-03-11T23:13:07
CA,Canada,117,1,8,2020-03-12T01:53:03
CA,Canada,196,1,8,2020-03-14T13:13:25
CA,Canada,250,1,8,2020-03-15T02:13:21
CA,Canada,415,4,9,2020-03-16T20:13:20
CA,Canada,478,5,9,2020-03-17T19:33:03
CA,Canada,657,8,9,2020-03-18T18:33:03
CA,Canada,800,9,9,2020-03-19T20:43:03
CA,Canada,943,12,9,2020-03-20T21:13:29
CA,Canada,1278,19,10,2020-03-21T21:13:30
CA,Canada,1470,21,0,2020-03-22T23:48:00
CA,Canada,2088,25,0,2020-03-23T23:23:10
CA,Canada,2790,26,110,2020-03-24T23:41:36
CA,Canada,3251,30,183,2020-03-25T23:37:36
CA,Canada,4042,38,184,2020-03-26T23:53:11
CA,Canada,4682,54,256,2020-03-27T23:27:32
CA,Canada,5576,61,466,2020-03-28T23:10:51
CA,Canada,6280,64,466,2020-03-29T23:13:52
CA,Canada,7398,80,466,2020-03-30T22:58:41
CA,Canada,8527,101,1592,2020-03-31T23:49:13
CA,Canada,9560,109,1324,2020-04-01T22:04:44
CA,Canada,11284,139,1735,2020-04-02T23:31:46
CA,Canada,12437,179,2175,2020-04-03T22:52:30
CA,Canada,12978,218,2577,2020-04-04T23:40:46
CA,Canada,15756,259,3012,2020-04-05T23:13:28
CA,Canada,16563,339,3256,2020-04-06T23:28:19
CA,Canada,17872,375,3791,2020-04-07T23:11:15
CA,Canada,19141,407,4154,2020-04-08T22:58:44
CA,Canada,20654,503,5162,2020-04-09T23:09:01
CA,Canada,22059,557,5855,2020-04-10T23:01:26
CA,Canada,23316,654,6589,2020-04-11T22:52:28
CA,Canada,23316,654,6650,2020-04-12T03:39:24
CA,Canada,25680,780,7758,2020-04-13T23:15:25
CA,Canada,27035,900,8210,2020-04-14T23:40:54
CA,Canada,28209,1007,8966,2020-04-15T23:04:09
CA,Canada,30809,1258,9698,2020-04-16T23:38:03
CA,Canada,32814,1355,10545,2020-04-17T23:38:31
CA,Canada,34356,1400,10964,2020-04-18T22:40:03
CA,Canada,35633,1564,11847,2020-04-19T23:48:49
CA,Canada,37658,1726,12543,2020-04-20T23:44:34
CA,Canada,39402,1909,13188,2020-04-21T23:38:53
CA,Canada,41650,2077,14454,2020-04-22T23:38:42
CA,Canada,43254,2239,14961,2020-04-23T23:31:21
CA,Canada,44526,2386,15479,2020-04-24T21:31:22
CA,Canada,45490,2547,16013,2020-04-25T23:30:55
CA,Canada,47143,2663,16883,2020-04-26T23:30:53
CA,Canada,49556,2836,18215,2020-04-27T23:30:54
