country,name,cases,deaths,recovered,last_update
CD,Democratic Republic of the Congo,2,0,0,2020-03-11T20:00:00
CD,Democratic Republic of the Congo,1,0,0,2020-03-11T21:13:24
CD,Democratic Republic of the Congo,2,0,0,2020-03-13T22:22:02
CD,Democratic Republic of the Congo,3,0,0,2020-03-17T12:33:06
CD,Democratic Republic of the Congo,4,0,0,2020-03-18T11:33:04
CD,Democratic Republic of the Congo,14,0,0,2020-03-19T10:53:03
CD,Democratic Republic of the Congo,18,0,0,2020-03-20T14:43:04
CD,Democratic Republic of the Congo,23,1,0,2020-03-21T12:43:08
CD,Democratic Republic of the Congo,30,1,0,2020-03-22T23:45:00
CD,Democratic Republic of the Congo,36,1,0,2020-03-23T23:19:21
CD,Democratic Republic of the Congo,45,2,0,2020-03-24T23:37:15
CD,Democratic Republic of the Congo,48,2,0,2020-03-25T23:33:04
CD,Democratic Republic of the Congo,51,3,0,2020-03-26T23:48:18
CD,Democratic Republic of the Congo,51,3,2,2020-03-27T23:23:03
CD,Democratic Republic of the Congo,65,6,2,2020-03-28T23:05:25
CD,Democratic Republic of the Congo,65,6,2,2020-03-29T23:08:13
CD,Democratic Republic of the Congo,81,8,2,2020-03-30T22:52:33
CD,Democratic Republic of the Congo,98,8,2,2020-03-31T23:43:43
CD,Democratic Republic of the Congo,109,9,3,2020-04-01T21:58:34
CD,Democratic Republic of the Congo,134,13,3,2020-04-02T23:25:14
CD,Democratic Republic of the Congo,148,16,3,2020-04-03T23:56:18
CD,Democratic Republic of the Congo,154,18,3,2020-04-04T23:34:04
CD,Democratic Republic of the Congo,154,18,3,2020-04-05T23:06:26
CD,Democratic Republic of the Congo,161,18,5,2020-04-06T23:21:55
CD,Democratic Republic of the Congo,180,18,9,2020-04-07T23:04:29
CD,Democratic Republic of the Congo,180,18,9,2020-04-08T22:51:39
CD,Democratic Republic of the Congo,180,18,9,2020-04-09T23:02:19
CD,Democratic Republic of the Congo,215,20,13,2020-04-10T22:53:48
CD,Democratic Republic of the Congo,223,20,16,2020-04-11T23:56:45
CD,Democratic Republic of the Congo,223,20,16,2020-04-12T03:31:35
CD,Democratic Republic of the Congo,235,20,17,2020-04-13T23:07:34
CD,Democratic Republic of the Congo,241,20,20,2020-04-14T23:33:12
CD,Democratic Republic of the Congo,254,21,21,2020-04-15T22:56:32
CD,Democratic Republic of the Congo,267,22,23,2020-04-16T23:30:31
CD,Democratic Republic of the Congo,287,23,25,2020-04-17T23:30:32
CD,Democratic Republic of the Congo,307,25,26,2020-04-18T22:32:28
CD,Democratic Republic of the Congo,327,25,26,2020-04-19T23:40:41
CD,Democratic Republic of the Congo,332,25,27,2020-04-20T23:36:27
CD,Democratic Republic of the Congo,350,25,35,2020-04-21T23:30:30
CD,Democratic Republic of the Congo,359,25,45,2020-04-22T23:30:32
CD,Democratic Republic of the Congo,377,25,47,2020-04-23T23:30:31
CD,Democratic Republic of the Congo,394,25,48,2020-04-24T21:30:34
CD,Democratic Republic of the Congo,416,28,49,2020-04-25T23:30:33
CD,Democratic Republic of the Congo,442,28,50,2020-04-26T23:30:31
CD,Democratic Republic of the Congo,459,28,50,2020-04-27T23:30:31
CD,Democratic Republic of the Congo,471,30,56,2020-04-28T23:32:24
CD,Democratic Republic of the Congo,491,30,59,2020-04-29T23:32:26
CD,Democratic Republic of the Congo,500,31,65,2020-04-30T23:32:27
CD,Democratic Republic of the Congo,604,32,75,2020-05-01T23:32:36
CD,Democratic Republic of the Congo,604,32,75,2020-05-02T23:32:31
CD,Democratic Republic of the Congo,674,33,75,2020-05-03T23:32:29
CD,Democratic Republic of the Congo,682,34,80,2020-05-04T22:32:33
CD,Democratic Republic of the Congo,705,34,90,2020-05-05T23:32:29
CD,Democratic Republic of the Congo,797,35,92,2020-05-06T23:32:28
CD,Democratic Republic of the Congo,863,36,103,2020-05-07T22:32:32
CD,Democratic Republic of the Congo,897,36,119,2020-05-08T23:32:35
CD,Democratic Republic of the Congo,937,39,130,2020-05-09T23:32:33
CD,Democratic Republic of the Congo,991,41,136,2020-05-10T23:32:32
CD,Democratic Republic of the Congo,1024,41,141,2020-05-11T23:32:30
CD,Democratic Republic of the Congo,1102,44,146,2020-05-12T23:32:26
CD,Democratic Republic of the Congo,1169,50,148,2020-05-13T23:32:26
CD,Democratic Republic of the Congo,1242,50,157,2020-05-14T23:32:28
CD,Democratic Republic of the Congo,1298,50,212,2020-05-15T23:32:20
CD,Democratic Republic of the Congo,1370,61,229,2020-05-16T23:32:19
CD,Democratic Republic of the Congo,1455,61,270,2020-05-17T23:32:23
CD,Democratic Republic of the Congo,1455,61,270,2020-05-18T18:01:58
