country,name,cases,deaths,recovered,last_update
CG,Congo,1,0,0,2020-03-15T18:20:19
CG,Congo,1,0,0,2020-03-16T03:33:03
CG,Congo,1,0,0,2020-03-16T14:38:45
CG,Congo,0,0,0,2020-03-17T21:33:03
CG,Congo,3,0,0,2020-03-19T20:13:56
CG,Congo,3,0,0,2020-03-22T23:45:00
CG,Congo,4,0,0,2020-03-23T23:19:21
CG,Congo,4,0,0,2020-03-24T23:37:15
CG,Congo,4,0,0,2020-03-25T23:33:04
CG,Congo,4,0,0,2020-03-26T23:48:18
CG,Congo,4,0,0,2020-03-27T23:23:03
CG,Congo,4,0,0,2020-03-28T23:05:25
CG,Congo,19,0,0,2020-03-29T23:08:13
CG,Congo,19,0,0,2020-03-30T22:52:33
CG,Congo,19,0,0,2020-03-31T23:43:43
CG,Congo,19,0,0,2020-04-01T21:58:34
CG,Congo,22,2,2,2020-04-02T23:25:14
CG,Congo,22,2,2,2020-04-03T23:56:18
CG,Congo,22,2,2,2020-04-04T23:34:04
CG,Congo,45,5,2,2020-04-05T23:06:26
CG,Congo,45,5,2,2020-04-06T23:21:55
CG,Congo,45,5,2,2020-04-07T23:04:29
CG,Congo,45,5,2,2020-04-08T22:51:39
CG,Congo,60,5,5,2020-04-09T23:02:19
CG,Congo,60,5,5,2020-04-10T22:53:48
CG,Congo,60,5,5,2020-04-11T23:56:45
CG,Congo,60,5,5,2020-04-12T03:31:35
CG,Congo,60,5,5,2020-04-13T23:07:34
CG,Congo,60,5,5,2020-04-14T23:33:12
CG,Congo,117,5,11,2020-04-15T22:56:32
CG,Congo,117,5,11,2020-04-16T23:30:31
CG,Congo,143,6,11,2020-04-17T23:30:32
CG,Congo,143,6,11,2020-04-18T22:32:28
CG,Congo,143,6,11,2020-04-19T23:40:41
CG,Congo,160,6,16,2020-04-20T23:36:27
CG,Congo,165,6,16,2020-04-21T23:30:30
CG,Congo,186,6,16,2020-04-22T23:30:32
CG,Congo,186,6,16,2020-04-23T23:30:31
CG,Congo,186,6,16,2020-04-24T21:30:34
CG,Congo,200,6,19,2020-04-25T23:30:33
CG,Congo,200,6,19,2020-04-26T23:30:31
CG,Congo,200,6,19,2020-04-27T23:30:31
CG,Congo,207,8,19,2020-04-28T23:32:24
CG,Congo,207,8,19,2020-04-29T23:32:26
CG,Congo,220,9,19,2020-04-30T23:32:27
CG,Congo,229,9,25,2020-05-01T23:32:36
CG,Congo,229,9,25,2020-05-02T23:32:31
CG,Congo,229,9,25,2020-05-03T23:32:29
CG,Congo,236,10,26,2020-05-04T22:32:33
CG,Congo,236,10,26,2020-05-05T23:32:29
CG,Congo,264,10,30,2020-05-06T23:32:28
CG,Congo,264,10,30,2020-05-07T22:32:32
CG,Congo,274,10,33,2020-05-08T23:32:35
CG,Congo,274,10,33,2020-05-09T23:32:33
CG,Congo,274,10,33,2020-05-10T23:32:32
CG,Congo,333,11,53,2020-05-11T23:32:30
CG,Congo,333,11,53,2020-05-12T23:32:26
CG,Congo,333,11,53,2020-05-13T23:32:26
CG,Congo,391,15,87,2020-05-14T23:32:28
CG,Congo,391,15,87,2020-05-15T23:32:20
CG,Congo,391,15,87,2020-05-16T23:32:19
CG,Congo,391,15,87,2020-05-17T23:32:23
CG,Congo,412,15,110,2020-05-18T23:32:29
CG,Congo,420,15,132,2020-05-19T23:32:20
CG,Congo,420,15,132,2020-05-20T23:32:52
CG,Congo,469,16,137,2020-05-21T23:32:39
CG,Congo,469,16,137,2020-05-22T12:32:39
