country,name,cases,deaths,recovered,last_update
CH,Switzerland,1,0,0,2020-02-25T19:13:21
CH,Switzerland,8,0,0,2020-02-27T23:03:11
CH,Switzerland,18,0,0,2020-02-29T18:03:05
CH,Switzerland,27,0,0,2020-03-01T23:23:02
CH,Switzerland,42,0,0,2020-03-02T22:33:09
CH,Switzerland,56,0,2,2020-03-03T16:43:02
CH,Switzerland,90,0,3,2020-03-04T19:33:03
CH,Switzerland,114,1,3,2020-03-05T17:43:03
CH,Switzerland,214,1,3,2020-03-06T15:23:19
CH,Switzerland,268,1,3,2020-03-07T17:43:05
CH,Switzerland,337,2,3,2020-03-08T17:23:07
CH,Switzerland,374,2,3,2020-03-09T11:33:10
CH,Switzerland,491,3,3,2020-03-10T23:53:02
CH,Switzerland,1139,11,4,2020-03-11T20:00:00
CH,Switzerland,652,4,4,2020-03-11T20:53:02
CH,Switzerland,1359,13,4,2020-03-14T11:53:29
CH,Switzerland,2200,14,4,2020-03-15T18:20:18
CH,Switzerland,2700,27,4,2020-03-17T16:33:04
CH,Switzerland,3028,28,15,2020-03-18T14:53:05
CH,Switzerland,4075,41,15,2020-03-19T21:13:15
CH,Switzerland,5294,54,15,2020-03-20T18:13:09
CH,Switzerland,6575,75,15,2020-03-21T20:43:02
CH,Switzerland,7474,98,131,2020-03-22T23:45:00
CH,Switzerland,8795,120,131,2020-03-23T23:19:21
CH,Switzerland,9877,122,131,2020-03-24T23:37:15
CH,Switzerland,10897,153,131,2020-03-25T23:33:04
CH,Switzerland,11811,191,131,2020-03-26T23:48:18
CH,Switzerland,12928,231,1530,2020-03-27T23:23:03
CH,Switzerland,14076,264,1530,2020-03-28T23:05:25
CH,Switzerland,14829,300,1595,2020-03-29T23:08:13
CH,Switzerland,15922,359,1823,2020-03-30T22:52:33
CH,Switzerland,16605,433,1823,2020-03-31T23:43:43
CH,Switzerland,17768,488,2967,2020-04-01T21:58:34
CH,Switzerland,18827,536,4013,2020-04-02T23:25:14
CH,Switzerland,19606,591,4846,2020-04-03T23:56:18
CH,Switzerland,20505,666,6415,2020-04-04T23:34:04
CH,Switzerland,21100,715,6415,2020-04-05T23:06:26
CH,Switzerland,21657,765,8056,2020-04-06T23:21:55
CH,Switzerland,22253,821,8704,2020-04-07T23:04:29
CH,Switzerland,23280,895,9800,2020-04-08T22:51:39
CH,Switzerland,24051,948,10600,2020-04-09T23:02:19
CH,Switzerland,24551,1002,11100,2020-04-10T22:53:48
CH,Switzerland,25107,1036,12100,2020-04-11T23:56:45
CH,Switzerland,25107,1036,12100,2020-04-12T03:31:35
CH,Switzerland,25688,1138,13700,2020-04-13T23:07:34
CH,Switzerland,25936,1174,13700,2020-04-14T23:33:12
CH,Switzerland,26336,1239,15400,2020-04-15T22:56:32
CH,Switzerland,26732,1281,15900,2020-04-16T23:30:31
CH,Switzerland,27078,1327,16400,2020-04-17T23:30:32
CH,Switzerland,27404,1368,17100,2020-04-18T22:32:28
CH,Switzerland,27740,1393,17800,2020-04-19T23:40:41
CH,Switzerland,27944,1429,18600,2020-04-20T23:36:27
CH,Switzerland,28063,1478,19400,2020-04-21T23:30:30
CH,Switzerland,28268,1509,19900,2020-04-22T23:30:32
CH,Switzerland,28496,1549,20600,2020-04-23T23:30:31
CH,Switzerland,28677,1589,21000,2020-04-24T21:30:34
CH,Switzerland,28894,1599,21300,2020-04-25T23:30:33
CH,Switzerland,29061,1610,21800,2020-04-26T23:30:31
CH,Switzerland,29164,1665,22200,2020-04-27T23:30:31
CH,Switzerland,29264,1699,22600,2020-04-28T23:32:24
CH,Switzerland,29407,1716,22600,2020-04-29T23:32:26
CH,Switzerland,29586,1737,23400,2020-04-30T23:32:27
CH,Switzerland,29705,1754,23900,2020-05-01T23:32:36
CH,Switzerland,29817,1762,24200,2020-05-02T23:32:31
CH,Switzerland,29905,1762,24500,2020-05-03T23:32:29
CH,Switzerland,29981,1784,25200,2020-05-04T22:32:33
CH,Switzerland,30009,1795,25400,2020-05-05T23:32:29
CH,Switzerland,30060,1805,25700,2020-05-06T23:32:28
CH,Switzerland,30126,1810,25900,2020-05-07T22:32:32
CH,Switzerland,30207,1823,26100,2020-05-08T23:32:35
CH,Switzerland,30251,1830,26400,2020-05-09T23:32:33
CH,Switzerland,30305,1833,26600,2020-05-10T23:32:32
CH,Switzerland,30344,1845,26800,2020-05-11T23:32:30
CH,Switzerland,30380,1867,26800,2020-05-12T23:32:26
CH,Switzerland,30413,1870,27100,2020-05-13T23:32:26
CH,Switzerland,30463,1872,27100,2020-05-14T23:32:28
CH,Switzerland,30514,1878,27100,2020-05-15T23:32:20
CH,Switzerland,30572,1879,27400,2020-05-16T23:32:19
CH,Switzerland,30587,1881,27500,2020-05-17T23:32:23
CH,Switzerland,30597,1886,27600,2020-05-18T23:32:29
CH,Switzerland,30618,1890,27600,2020-05-19T14:32:25
