country,name,cases,deaths,recovered,last_update
CI,Côte d'Ivoire,1,0,0,2020-01-27T23:59:00
CI,Côte d'Ivoire,1,0,0,2020-03-11T20:00:00
CI,Côte d'Ivoire,1,0,0,2020-03-11T23:33:03
CI,Côte d'Ivoire,1,0,0,2020-03-12T01:18:01
CI,Côte d'Ivoire,1,0,0,2020-03-13T22:22:02
CI,Côte d'Ivoire,5,0,1,2020-03-17T14:33:05
CI,Côte d'Ivoire,6,0,1,2020-03-18T11:33:04
CI,Côte d'Ivoire,9,0,1,2020-03-19T01:03:46
CI,Côte d'Ivoire,14,0,1,2020-03-21T12:43:08
CI,Côte d'Ivoire,14,0,1,2020-03-22T23:45:00
CI,Côte d'Ivoire,25,0,2,2020-03-23T23:19:21
CI,Côte d'Ivoire,73,0,2,2020-03-24T23:37:15
CI,Côte d'Ivoire,80,0,3,2020-03-25T23:33:04
CI,Côte d'Ivoire,96,0,3,2020-03-26T23:48:18
CI,Côte d'Ivoire,101,0,3,2020-03-27T23:23:03
CI,Côte d'Ivoire,101,0,3,2020-03-28T23:05:25
CI,Côte d'Ivoire,165,1,4,2020-03-29T23:08:13
CI,Côte d'Ivoire,168,1,6,2020-03-30T22:52:33
CI,Côte d'Ivoire,179,1,7,2020-03-31T23:43:43
CI,Côte d'Ivoire,190,1,9,2020-04-01T21:58:34
CI,Côte d'Ivoire,194,1,15,2020-04-02T23:25:14
CI,Côte d'Ivoire,218,1,19,2020-04-03T23:56:18
CI,Côte d'Ivoire,245,1,25,2020-04-04T23:34:04
CI,Côte d'Ivoire,261,3,37,2020-04-05T23:06:26
CI,Côte d'Ivoire,323,3,41,2020-04-06T23:21:55
CI,Côte d'Ivoire,349,3,41,2020-04-07T23:04:29
CI,Côte d'Ivoire,384,3,48,2020-04-08T22:51:39
CI,Côte d'Ivoire,444,3,52,2020-04-09T23:02:19
CI,Côte d'Ivoire,444,3,52,2020-04-10T22:53:48
CI,Côte d'Ivoire,533,4,58,2020-04-11T23:56:45
CI,Côte d'Ivoire,533,4,58,2020-04-12T03:31:35
CI,Côte d'Ivoire,626,6,89,2020-04-13T23:07:34
CI,Côte d'Ivoire,638,6,114,2020-04-14T23:33:12
CI,Côte d'Ivoire,638,6,114,2020-04-15T22:56:32
CI,Côte d'Ivoire,654,6,146,2020-04-16T23:30:31
CI,Côte d'Ivoire,688,6,193,2020-04-17T23:30:32
CI,Côte d'Ivoire,801,8,239,2020-04-18T22:32:28
CI,Côte d'Ivoire,847,9,260,2020-04-19T23:40:41
CI,Côte d'Ivoire,847,9,260,2020-04-20T23:36:27
CI,Côte d'Ivoire,916,13,303,2020-04-21T23:30:30
CI,Côte d'Ivoire,952,14,310,2020-04-22T23:30:32
CI,Côte d'Ivoire,1004,14,359,2020-04-23T23:30:31
CI,Côte d'Ivoire,1004,14,359,2020-04-24T21:30:34
CI,Côte d'Ivoire,1077,14,419,2020-04-25T23:30:33
CI,Côte d'Ivoire,1150,14,468,2020-04-26T23:30:31
CI,Côte d'Ivoire,1164,14,499,2020-04-27T23:30:31
CI,Côte d'Ivoire,1164,14,499,2020-04-28T23:32:24
CI,Côte d'Ivoire,1238,14,557,2020-04-29T23:32:26
CI,Côte d'Ivoire,1275,14,574,2020-04-30T23:32:27
CI,Côte d'Ivoire,1333,15,597,2020-05-01T23:32:36
CI,Côte d'Ivoire,1362,15,622,2020-05-02T23:32:31
CI,Côte d'Ivoire,1398,17,653,2020-05-03T23:32:29
CI,Côte d'Ivoire,1432,17,693,2020-05-04T22:32:33
CI,Côte d'Ivoire,1464,18,701,2020-05-05T23:32:29
CI,Côte d'Ivoire,1516,18,721,2020-05-06T23:32:28
CI,Côte d'Ivoire,1516,18,721,2020-05-07T22:32:32
CI,Côte d'Ivoire,1602,20,754,2020-05-08T23:32:35
CI,Côte d'Ivoire,1667,21,769,2020-05-09T23:32:33
CI,Côte d'Ivoire,1700,21,794,2020-05-10T23:32:32
CI,Côte d'Ivoire,1730,21,818,2020-05-11T23:32:30
CI,Côte d'Ivoire,1730,21,818,2020-05-12T23:32:26
CI,Côte d'Ivoire,1912,24,902,2020-05-13T23:32:26
CI,Côte d'Ivoire,1971,24,930,2020-05-14T23:32:28
CI,Côte d'Ivoire,2017,24,942,2020-05-15T23:32:20
CI,Côte d'Ivoire,2061,25,987,2020-05-16T23:32:19
CI,Côte d'Ivoire,2109,27,1004,2020-05-17T23:32:23
CI,Côte d'Ivoire,2119,28,1040,2020-05-18T23:32:29
CI,Côte d'Ivoire,2153,28,1050,2020-05-19T23:32:20
CI,Côte d'Ivoire,2231,29,1083,2020-05-20T23:32:52
CI,Côte d'Ivoire,2301,29,1100,2020-05-21T23:32:39
CI,Côte d'Ivoire,2341,29,1146,2020-05-22T23:32:40
CI,Côte d'Ivoire,2341,29,1146,2020-05-23T19:06:14
