country,name,cases,deaths,recovered,last_update
CL,Chile,1,0,0,2020-03-03T20:33:02
CL,Chile,1,0,0,2020-03-04T01:33:07
CL,Chile,4,0,0,2020-03-05T18:13:04
CL,Chile,8,0,0,2020-03-08T15:43:03
CL,Chile,13,0,0,2020-03-10T05:13:07
CL,Chile,43,0,0,2020-03-11T20:00:00
CL,Chile,23,0,0,2020-03-11T22:13:12
CL,Chile,61,0,0,2020-03-14T20:33:03
CL,Chile,155,0,0,2020-03-16T14:38:45
CL,Chile,201,0,0,2020-03-17T15:33:06
CL,Chile,238,0,0,2020-03-18T13:33:12
CL,Chile,434,0,6,2020-03-20T20:13:17
CL,Chile,537,0,6,2020-03-21T14:43:03
CL,Chile,632,1,8,2020-03-22T23:45:00
CL,Chile,746,2,11,2020-03-23T23:19:21
CL,Chile,922,2,17,2020-03-24T23:37:15
CL,Chile,1142,3,22,2020-03-25T23:33:04
CL,Chile,1306,4,22,2020-03-26T23:48:18
CL,Chile,1610,5,43,2020-03-27T23:23:03
CL,Chile,1909,6,61,2020-03-28T23:05:25
CL,Chile,2139,7,75,2020-03-29T23:08:13
CL,Chile,2449,8,156,2020-03-30T22:52:33
CL,Chile,2738,12,156,2020-03-31T23:43:43
CL,Chile,3031,16,234,2020-04-01T21:58:34
CL,Chile,3404,18,335,2020-04-02T23:25:14
CL,Chile,3737,22,427,2020-04-03T23:56:18
CL,Chile,4161,27,528,2020-04-04T23:34:04
CL,Chile,4471,34,618,2020-04-05T23:06:26
CL,Chile,4815,37,728,2020-04-06T23:21:55
CL,Chile,5116,43,898,2020-04-07T23:04:29
CL,Chile,5546,48,1115,2020-04-08T22:51:39
CL,Chile,5972,57,1274,2020-04-09T23:02:19
CL,Chile,6501,65,1571,2020-04-10T22:53:48
CL,Chile,6927,73,1864,2020-04-11T23:56:45
CL,Chile,6927,73,1864,2020-04-12T03:31:35
CL,Chile,7525,82,2367,2020-04-13T23:07:34
CL,Chile,7917,92,2646,2020-04-14T23:33:12
CL,Chile,8273,94,2937,2020-04-15T22:56:32
CL,Chile,8807,105,3299,2020-04-16T23:30:31
CL,Chile,9252,116,3621,2020-04-17T23:30:32
CL,Chile,9730,126,4035,2020-04-18T22:32:28
CL,Chile,10088,133,4338,2020-04-19T23:40:41
CL,Chile,10507,139,4676,2020-04-20T23:36:27
CL,Chile,10832,147,4969,2020-04-21T23:30:30
CL,Chile,11296,160,5386,2020-04-22T23:30:32
CL,Chile,11812,168,5804,2020-04-23T23:30:31
CL,Chile,12306,174,6327,2020-04-24T21:30:34
CL,Chile,12858,181,6746,2020-04-25T23:30:33
CL,Chile,13331,189,7024,2020-04-26T23:30:31
CL,Chile,13813,198,7327,2020-04-27T23:30:31
CL,Chile,14365,207,7710,2020-04-28T23:32:24
CL,Chile,14885,216,8057,2020-04-29T23:32:26
CL,Chile,16023,227,8580,2020-04-30T23:32:27
CL,Chile,17008,234,9018,2020-05-01T23:32:36
CL,Chile,18435,247,9572,2020-05-02T23:32:31
CL,Chile,19663,260,10041,2020-05-03T23:32:29
CL,Chile,20643,270,10415,2020-05-04T22:32:33
CL,Chile,22016,275,10710,2020-05-05T23:32:29
CL,Chile,23048,281,11189,2020-05-06T23:32:28
CL,Chile,24581,285,11664,2020-05-07T22:32:32
CL,Chile,25972,294,12160,2020-05-08T23:32:35
CL,Chile,27219,304,12667,2020-05-09T23:32:33
CL,Chile,28866,312,13112,2020-05-10T23:32:32
CL,Chile,30063,323,13605,2020-05-11T23:32:30
CL,Chile,31721,335,14125,2020-05-12T23:32:26
CL,Chile,34381,346,14865,2020-05-13T23:32:26
CL,Chile,37040,368,15655,2020-05-14T23:32:28
CL,Chile,39542,394,16614,2020-05-15T23:32:20
CL,Chile,41428,421,18014,2020-05-16T23:32:19
CL,Chile,43781,450,19213,2020-05-17T23:32:23
CL,Chile,46059,478,20165,2020-05-18T23:32:29
CL,Chile,49579,509,21507,2020-05-19T23:32:20
CL,Chile,53617,544,22504,2020-05-20T23:32:52
CL,Chile,57581,589,23992,2020-05-21T23:32:39
CL,Chile,57581,589,23992,2020-05-22T12:32:39
