country,name,cases,deaths,recovered,last_update
CM,Cameroon,1,0,0,2020-03-06T15:43:02
CM,Cameroon,2,0,0,2020-03-08T05:23:03
CM,Cameroon,2,0,0,2020-03-11T20:00:00
CM,Cameroon,2,0,0,2020-03-13T22:22:02
CM,Cameroon,4,0,0,2020-03-16T02:33:08
CM,Cameroon,10,0,0,2020-03-17T15:53:13
CM,Cameroon,13,0,0,2020-03-19T02:53:32
CM,Cameroon,20,0,0,2020-03-20T14:43:04
CM,Cameroon,27,0,0,2020-03-21T12:43:08
CM,Cameroon,40,0,2,2020-03-22T23:45:00
CM,Cameroon,56,0,2,2020-03-23T23:19:21
CM,Cameroon,66,0,2,2020-03-24T23:37:15
CM,Cameroon,75,1,2,2020-03-25T23:33:04
CM,Cameroon,75,1,2,2020-03-26T23:48:18
CM,Cameroon,91,2,2,2020-03-27T23:23:03
CM,Cameroon,91,2,2,2020-03-28T23:05:25
CM,Cameroon,139,6,5,2020-03-29T23:08:13
CM,Cameroon,139,6,5,2020-03-30T22:52:33
CM,Cameroon,193,6,5,2020-03-31T23:43:43
CM,Cameroon,233,6,10,2020-04-01T21:58:34
CM,Cameroon,306,7,10,2020-04-02T23:25:14
CM,Cameroon,509,8,17,2020-04-03T23:56:18
CM,Cameroon,555,9,17,2020-04-04T23:34:04
CM,Cameroon,650,9,17,2020-04-05T23:06:26
CM,Cameroon,658,9,17,2020-04-06T23:21:55
CM,Cameroon,658,9,43,2020-04-07T23:04:29
CM,Cameroon,730,10,60,2020-04-08T22:51:39
CM,Cameroon,730,10,60,2020-04-09T23:02:19
CM,Cameroon,820,12,98,2020-04-10T22:53:48
CM,Cameroon,820,12,98,2020-04-11T23:56:45
CM,Cameroon,820,12,98,2020-04-12T03:31:35
CM,Cameroon,820,12,98,2020-04-13T23:07:34
CM,Cameroon,848,14,130,2020-04-14T23:33:12
CM,Cameroon,848,17,165,2020-04-15T22:56:32
CM,Cameroon,996,22,164,2020-04-16T23:30:31
CM,Cameroon,996,22,164,2020-04-17T23:30:32
CM,Cameroon,1017,22,177,2020-04-18T22:32:28
CM,Cameroon,1017,42,305,2020-04-19T23:40:41
CM,Cameroon,1163,42,305,2020-04-20T23:36:27
CM,Cameroon,1163,43,329,2020-04-21T23:30:30
CM,Cameroon,1163,43,397,2020-04-22T23:30:32
CM,Cameroon,1334,43,668,2020-04-23T23:30:31
CM,Cameroon,1430,43,668,2020-04-24T21:30:34
CM,Cameroon,1518,53,697,2020-04-25T23:30:33
CM,Cameroon,1621,56,786,2020-04-26T23:30:31
CM,Cameroon,1621,56,786,2020-04-27T23:30:31
CM,Cameroon,1705,58,915,2020-04-28T23:32:24
CM,Cameroon,1806,61,934,2020-04-29T23:32:26
CM,Cameroon,1832,61,934,2020-04-30T23:32:27
CM,Cameroon,1832,61,934,2020-05-01T23:32:36
CM,Cameroon,2077,64,953,2020-05-02T23:32:31
CM,Cameroon,2077,64,953,2020-05-03T23:32:29
CM,Cameroon,2077,64,953,2020-05-04T22:32:33
CM,Cameroon,2104,64,953,2020-05-05T23:32:29
CM,Cameroon,2265,64,1000,2020-05-06T23:32:28
CM,Cameroon,2267,108,1002,2020-05-07T22:32:32
CM,Cameroon,2267,108,1002,2020-05-08T23:32:35
CM,Cameroon,2274,108,1232,2020-05-09T23:32:33
CM,Cameroon,2579,114,1465,2020-05-10T23:32:32
CM,Cameroon,2689,125,1524,2020-05-11T23:32:30
CM,Cameroon,2689,125,1524,2020-05-12T23:32:26
CM,Cameroon,2800,136,1543,2020-05-13T23:32:26
CM,Cameroon,2954,139,1553,2020-05-14T23:32:28
CM,Cameroon,2954,139,1553,2020-05-15T23:32:20
CM,Cameroon,3105,140,1567,2020-05-16T23:32:19
CM,Cameroon,3105,140,1567,2020-05-17T23:32:23
CM,Cameroon,3529,140,1567,2020-05-18T23:32:29
CM,Cameroon,3529,140,1567,2020-05-19T14:32:25
