country,name,cases,deaths,recovered,last_update
CN,China,547,17,28,2020-01-22T17:00:00
CN,China,639,18,30,2020-01-23T17:00:00
CN,China,916,26,36,2020-01-24T17:00:00
CN,China,1399,42,39,2020-01-25T17:00:00
CN,China,2062,56,49,2020-01-26T16:00:00
CN,China,2863,82,58,2020-01-27T23:59:00
CN,China,5494,131,101,2020-01-28T23:00:00
CN,China,6070,133,120,2020-01-29T19:30:00
CN,China,8124,171,135,2020-01-30T16:00:00
CN,China,9783,213,214,2020-01-31T23:59:00
CN,China,11871,259,275,2020-02-01T15:53:00
CN,China,16607,361,463,2020-02-02T23:43:02
CN,China,19693,425,614,2020-02-03T23:43:02
CN,China,23680,490,843,2020-02-04T23:43:01
CN,China,27409,562,1115,2020-02-05T23:43:02
CN,China,30553,632,1476,2020-02-06T23:43:01
CN,China,34075,717,1998,2020-02-07T23:43:02
CN,China,36778,804,2595,2020-02-08T23:53:02
CN,China,39790,904,3218,2020-02-09T23:53:02
CN,China,42306,1011,3917,2020-02-10T23:43:02
CN,China,44327,1111,4635,2020-02-11T23:53:02
CN,China,44699,1116,5079,2020-02-12T23:23:01
CN,China,59832,1368,6213,2020-02-13T23:43:02
CN,China,66292,1520,7973,2020-02-14T23:33:02
CN,China,68347,1662,9294,2020-02-15T23:23:07
CN,China,70446,1765,10748,2020-02-16T23:53:01
CN,China,72364,1863,12455,2020-02-17T23:53:02
CN,China,74139,2002,14199,2020-02-18T23:53:01
CN,China,74546,2114,15952,2020-02-19T23:53:02
CN,China,74999,2236,18002,2020-02-20T23:43:02
CN,China,75472,2236,18693,2020-02-21T23:33:06
CN,China,76922,2441,22687,2020-02-22T23:53:01
CN,China,76938,2443,23170,2020-02-23T23:23:03
CN,China,77152,2593,24990,2020-02-24T23:23:01
CN,China,77660,2663,27650,2020-02-25T23:53:02
CN,China,78065,2715,30053,2020-02-26T23:53:01
CN,China,78498,2744,32898,2020-02-27T23:33:02
CN,China,78824,2788,36291,2020-02-28T23:23:03
CN,China,79251,2835,39279,2020-02-29T23:43:02
CN,China,79826,2870,42118,2020-03-01T23:13:08
CN,China,80026,2912,44810,2020-03-02T23:23:02
CN,China,80151,2945,47404,2020-03-03T23:43:02
CN,China,80271,2981,49955,2020-03-04T23:23:01
CN,China,80422,3013,52240,2020-03-05T23:53:01
CN,China,80573,3042,53888,2020-03-06T14:43:15
CN,China,80652,3070,55478,2020-03-07T23:23:02
CN,China,80699,3097,57320,2020-03-08T23:23:03
CN,China,80735,3120,58735,2020-03-09T23:13:03
CN,China,80757,3136,60106,2020-03-10T23:53:02
CN,China,80921,3161,61644,2020-03-11T23:13:05
CN,China,80932,3172,62901,2020-03-12T23:44:32
CN,China,80945,3180,64196,2020-03-13T23:13:12
CN,China,80977,3193,65660,2020-03-14T23:53:02
CN,China,81003,3203,67017,2020-03-15T18:20:18
CN,China,81033,3217,67910,2020-03-16T23:53:02
CN,China,81058,3230,68798,2020-03-17T12:13:13
CN,China,81102,3241,69755,2020-03-18T12:13:09
CN,China,81156,3249,70535,2020-03-19T23:43:03
CN,China,81250,3253,71266,2020-03-20T09:43:03
CN,China,81305,3259,71857,2020-03-21T22:13:24
CN,China,81397,3265,72362,2020-03-22T14:23:00
CN,China,81496,3274,72819,2020-03-23T14:18:01
CN,China,81591,3281,73280,2020-03-24T14:16:21
CN,China,81661,3285,73773,2020-03-25T10:50:39
CN,China,81782,3291,74181,2020-03-26T10:05:28
CN,China,81897,3296,74720,2020-03-27T10:48:42
CN,China,81999,3299,75100,2020-03-28T15:17:10
CN,China,82122,3304,75582,2020-03-29T14:25:46
CN,China,82199,3308,75924,2020-03-30T23:39:34
CN,China,82279,3309,76206,2020-03-31T23:31:54
CN,China,82361,3316,76405,2020-04-01T14:00:34
CN,China,82433,3322,76565,2020-04-02T23:33:43
CN,China,82511,3326,76760,2020-04-03T17:47:04
CN,China,82543,3330,76946,2020-04-04T14:03:32
CN,China,82602,3333,77207,2020-04-05T09:23:04
CN,China,82665,3335,77310,2020-04-06T09:37:01
CN,China,82718,3335,77410,2020-04-07T09:08:12
CN,China,82809,3337,77567,2020-04-08T12:26:31
CN,China,82883,3339,77679,2020-04-09T12:08:14
CN,China,82941,3340,77791,2020-04-10T14:38:27
