country,name,cases,deaths,recovered,last_update
CO,Colombia,0,0,0,2020-01-23T17:00:00
CO,Colombia,1,0,0,2020-03-06T20:43:03
CO,Colombia,1,0,0,2020-03-07T00:43:02
CO,Colombia,3,0,0,2020-03-10T05:33:02
CO,Colombia,9,0,0,2020-03-11T14:33:04
CO,Colombia,13,0,0,2020-03-11T20:00:00
CO,Colombia,22,0,0,2020-03-14T20:53:02
CO,Colombia,34,0,0,2020-03-15T18:20:18
CO,Colombia,54,0,0,2020-03-16T14:38:45
CO,Colombia,65,0,1,2020-03-17T15:53:12
CO,Colombia,93,0,1,2020-03-18T14:53:05
CO,Colombia,102,0,1,2020-03-19T10:53:03
CO,Colombia,128,0,1,2020-03-20T14:13:08
CO,Colombia,196,0,1,2020-03-21T17:43:03
CO,Colombia,231,2,3,2020-03-22T23:45:00
CO,Colombia,277,3,3,2020-03-23T23:19:21
CO,Colombia,378,3,6,2020-03-24T23:37:15
CO,Colombia,470,4,8,2020-03-25T23:33:04
CO,Colombia,491,6,8,2020-03-26T23:48:18
CO,Colombia,539,6,10,2020-03-27T23:23:03
CO,Colombia,608,6,10,2020-03-28T23:05:25
CO,Colombia,702,10,10,2020-03-29T23:08:13
CO,Colombia,798,12,15,2020-03-30T22:52:33
CO,Colombia,906,16,31,2020-03-31T23:43:43
CO,Colombia,1065,17,39,2020-04-01T21:58:34
CO,Colombia,1161,19,55,2020-04-02T23:25:14
CO,Colombia,1267,25,55,2020-04-03T23:56:18
CO,Colombia,1406,32,85,2020-04-04T23:34:04
CO,Colombia,1485,35,88,2020-04-05T23:06:26
CO,Colombia,1579,46,88,2020-04-06T23:21:55
CO,Colombia,1780,50,100,2020-04-07T23:04:29
CO,Colombia,2054,54,123,2020-04-08T22:51:39
CO,Colombia,2223,69,174,2020-04-09T23:02:19
CO,Colombia,2473,80,197,2020-04-10T22:53:48
CO,Colombia,2709,100,214,2020-04-11T23:56:45
CO,Colombia,2709,100,214,2020-04-12T03:31:35
CO,Colombia,2852,112,319,2020-04-13T23:07:34
CO,Colombia,2979,127,354,2020-04-14T23:33:12
CO,Colombia,3105,131,452,2020-04-15T22:56:32
CO,Colombia,3233,144,550,2020-04-16T23:30:31
CO,Colombia,3439,153,634,2020-04-17T23:30:32
CO,Colombia,3439,153,634,2020-04-18T22:32:28
CO,Colombia,3792,179,711,2020-04-19T23:40:41
CO,Colombia,3977,189,804,2020-04-20T23:36:27
CO,Colombia,4149,196,804,2020-04-21T23:30:30
CO,Colombia,4356,206,870,2020-04-22T23:30:32
CO,Colombia,4561,215,927,2020-04-23T23:30:31
CO,Colombia,4561,215,927,2020-04-24T21:30:34
CO,Colombia,5142,233,1067,2020-04-25T23:30:33
CO,Colombia,5379,244,1133,2020-04-26T23:30:31
CO,Colombia,5379,244,1133,2020-04-27T23:30:31
CO,Colombia,5949,269,1268,2020-04-28T23:32:24
CO,Colombia,6207,278,1411,2020-04-29T23:32:26
CO,Colombia,6507,293,1439,2020-04-30T23:32:27
CO,Colombia,7006,314,1551,2020-05-01T23:32:36
CO,Colombia,7285,324,1666,2020-05-02T23:32:31
CO,Colombia,7668,340,1722,2020-05-03T23:32:29
CO,Colombia,7973,358,1807,2020-05-04T22:32:33
CO,Colombia,8613,378,2013,2020-05-05T23:32:29
CO,Colombia,8959,397,2148,2020-05-06T23:32:28
CO,Colombia,8959,397,2148,2020-05-07T22:32:32
CO,Colombia,10051,428,2424,2020-05-08T23:32:35
CO,Colombia,10495,445,2569,2020-05-09T23:32:33
CO,Colombia,11063,463,2705,2020-05-10T23:32:32
CO,Colombia,11613,479,2825,2020-05-11T23:32:30
CO,Colombia,12272,493,2971,2020-05-12T23:32:26
CO,Colombia,12930,509,3133,2020-05-13T23:32:26
CO,Colombia,13610,525,3358,2020-05-14T23:32:28
CO,Colombia,14216,546,3460,2020-05-15T23:32:20
CO,Colombia,14939,562,3587,2020-05-16T23:32:19
CO,Colombia,15574,574,3751,2020-05-17T23:32:23
CO,Colombia,16295,592,3903,2020-05-18T23:32:29
CO,Colombia,16935,613,4050,2020-05-19T23:32:20
CO,Colombia,17687,630,4256,2020-05-20T23:32:52
CO,Colombia,18330,652,4431,2020-05-21T23:32:39
CO,Colombia,18330,652,4431,2020-05-22T12:32:39
