country,name,cases,deaths,recovered,last_update
CU,Cuba,4,0,0,2020-03-11T20:00:00
CU,Cuba,3,0,0,2020-03-12T05:53:03
CU,Cuba,4,0,0,2020-03-13T23:53:02
CU,Cuba,5,0,0,2020-03-17T15:53:13
CU,Cuba,7,1,0,2020-03-18T16:59:35
CU,Cuba,11,1,0,2020-03-19T10:53:03
CU,Cuba,16,1,0,2020-03-20T02:43:10
CU,Cuba,21,1,0,2020-03-21T02:13:32
CU,Cuba,35,1,0,2020-03-22T23:45:00
CU,Cuba,40,1,0,2020-03-23T23:19:21
CU,Cuba,48,1,1,2020-03-24T23:37:15
CU,Cuba,57,1,1,2020-03-25T23:33:04
CU,Cuba,67,2,1,2020-03-26T23:48:18
CU,Cuba,80,2,4,2020-03-27T23:23:03
CU,Cuba,119,3,4,2020-03-28T23:05:25
CU,Cuba,139,3,4,2020-03-29T23:08:13
CU,Cuba,170,4,4,2020-03-30T22:52:33
CU,Cuba,186,6,8,2020-03-31T23:43:43
CU,Cuba,212,6,12,2020-04-01T21:58:34
CU,Cuba,233,6,13,2020-04-02T23:25:14
CU,Cuba,269,6,15,2020-04-03T23:56:18
CU,Cuba,288,6,15,2020-04-04T23:34:04
CU,Cuba,320,8,15,2020-04-05T23:06:26
CU,Cuba,350,9,18,2020-04-06T23:21:55
CU,Cuba,396,11,27,2020-04-07T23:04:29
CU,Cuba,457,12,27,2020-04-08T22:51:39
CU,Cuba,515,15,28,2020-04-09T23:02:19
CU,Cuba,564,15,51,2020-04-10T22:53:48
CU,Cuba,620,16,77,2020-04-11T23:56:45
CU,Cuba,620,16,77,2020-04-12T03:31:35
CU,Cuba,726,21,121,2020-04-13T23:07:34
CU,Cuba,766,21,132,2020-04-14T23:33:12
CU,Cuba,814,24,151,2020-04-15T22:56:32
CU,Cuba,862,27,171,2020-04-16T23:30:31
CU,Cuba,923,31,192,2020-04-17T23:30:32
CU,Cuba,986,32,227,2020-04-18T22:32:28
CU,Cuba,1035,34,255,2020-04-19T23:40:41
CU,Cuba,1087,36,285,2020-04-20T23:36:27
CU,Cuba,1137,38,309,2020-04-21T23:30:30
CU,Cuba,1189,40,341,2020-04-22T23:30:32
CU,Cuba,1235,43,365,2020-04-23T23:30:31
CU,Cuba,1285,49,416,2020-04-24T21:30:34
CU,Cuba,1337,51,437,2020-04-25T23:30:33
CU,Cuba,1369,54,501,2020-04-26T23:30:31
CU,Cuba,1389,56,525,2020-04-27T23:30:31
CU,Cuba,1437,58,575,2020-04-28T23:32:24
CU,Cuba,1467,58,617,2020-04-29T23:32:26
CU,Cuba,1501,61,681,2020-04-30T23:32:27
CU,Cuba,1537,64,714,2020-05-01T23:32:36
CU,Cuba,1611,66,765,2020-05-02T23:32:31
CU,Cuba,1649,67,827,2020-05-03T23:32:29
CU,Cuba,1668,69,876,2020-05-04T22:32:33
CU,Cuba,1685,69,954,2020-05-05T23:32:29
CU,Cuba,1703,69,1001,2020-05-06T23:32:28
CU,Cuba,1729,73,1031,2020-05-07T22:32:32
CU,Cuba,1741,74,1078,2020-05-08T23:32:35
CU,Cuba,1754,74,1140,2020-05-09T23:32:33
CU,Cuba,1766,77,1193,2020-05-10T23:32:32
CU,Cuba,1783,77,1229,2020-05-11T23:32:30
CU,Cuba,1804,78,1277,2020-05-12T23:32:26
CU,Cuba,1810,79,1326,2020-05-13T23:32:26
CU,Cuba,1830,79,1383,2020-05-14T23:32:28
CU,Cuba,1840,79,1425,2020-05-15T23:32:20
CU,Cuba,1862,79,1460,2020-05-16T23:32:19
CU,Cuba,1872,79,1495,2020-05-17T23:32:23
CU,Cuba,1881,79,1505,2020-05-18T23:32:29
CU,Cuba,1887,79,1538,2020-05-19T23:32:20
CU,Cuba,1900,79,1573,2020-05-20T23:32:52
CU,Cuba,1908,80,1603,2020-05-21T23:32:39
CU,Cuba,1908,80,1603,2020-05-22T12:32:39
