country,name,cases,deaths,recovered,last_update
CV,Cabo Verde,1,0,0,2020-03-20T10:13:39
CV,Cabo Verde,3,0,0,2020-03-21T15:13:46
CV,Cabo Verde,1,0,0,2020-03-21T23:43:02
CV,Cabo Verde,3,0,0,2020-03-22T23:45:00
CV,Cabo Verde,3,0,0,2020-03-23T23:19:21
CV,Cabo Verde,3,1,0,2020-03-24T23:37:15
CV,Cabo Verde,4,1,0,2020-03-25T23:33:04
CV,Cabo Verde,4,1,0,2020-03-26T23:48:18
CV,Cabo Verde,5,1,0,2020-03-27T23:23:03
CV,Cabo Verde,5,1,0,2020-03-28T23:05:25
CV,Cabo Verde,6,1,0,2020-03-29T23:08:13
CV,Cabo Verde,6,1,0,2020-03-30T22:52:33
CV,Cabo Verde,6,1,0,2020-03-31T23:43:43
CV,Cabo Verde,6,1,0,2020-04-01T21:58:34
CV,Cabo Verde,6,1,0,2020-04-02T23:25:14
CV,Cabo Verde,6,1,0,2020-04-03T23:56:18
CV,Cabo Verde,7,1,0,2020-04-04T23:34:04
CV,Cabo Verde,7,1,0,2020-04-05T23:06:26
CV,Cabo Verde,7,1,1,2020-04-06T23:21:55
CV,Cabo Verde,7,1,1,2020-04-07T23:04:29
CV,Cabo Verde,7,1,1,2020-04-08T22:51:39
CV,Cabo Verde,7,1,1,2020-04-09T23:02:19
CV,Cabo Verde,7,1,1,2020-04-10T22:53:48
CV,Cabo Verde,8,1,1,2020-04-11T23:56:45
CV,Cabo Verde,8,1,1,2020-04-12T03:31:35
CV,Cabo Verde,10,1,1,2020-04-13T23:07:34
CV,Cabo Verde,11,1,1,2020-04-14T23:33:12
CV,Cabo Verde,56,1,1,2020-04-15T22:56:32
CV,Cabo Verde,56,1,1,2020-04-16T23:30:31
CV,Cabo Verde,56,1,1,2020-04-17T23:30:32
CV,Cabo Verde,58,1,1,2020-04-18T22:32:28
CV,Cabo Verde,61,1,1,2020-04-19T23:40:41
CV,Cabo Verde,67,1,1,2020-04-20T23:36:27
CV,Cabo Verde,68,1,1,2020-04-21T23:30:30
CV,Cabo Verde,73,1,1,2020-04-22T23:30:32
CV,Cabo Verde,82,1,1,2020-04-23T23:30:31
CV,Cabo Verde,88,1,1,2020-04-24T21:30:34
CV,Cabo Verde,90,1,1,2020-04-25T23:30:33
CV,Cabo Verde,106,1,1,2020-04-26T23:30:31
CV,Cabo Verde,109,1,1,2020-04-27T23:30:31
CV,Cabo Verde,114,1,2,2020-04-28T23:32:24
CV,Cabo Verde,114,1,2,2020-04-29T23:32:26
CV,Cabo Verde,121,1,4,2020-04-30T23:32:27
CV,Cabo Verde,122,1,18,2020-05-01T23:32:36
CV,Cabo Verde,152,2,18,2020-05-02T23:32:31
CV,Cabo Verde,165,2,33,2020-05-03T23:32:29
CV,Cabo Verde,175,2,37,2020-05-04T22:32:33
CV,Cabo Verde,186,2,37,2020-05-05T23:32:29
CV,Cabo Verde,191,2,38,2020-05-06T23:32:28
CV,Cabo Verde,218,2,38,2020-05-07T22:32:32
CV,Cabo Verde,230,2,44,2020-05-08T23:32:35
CV,Cabo Verde,236,2,56,2020-05-09T23:32:33
CV,Cabo Verde,246,2,56,2020-05-10T23:32:32
CV,Cabo Verde,260,2,58,2020-05-11T23:32:30
CV,Cabo Verde,267,2,58,2020-05-12T23:32:26
CV,Cabo Verde,289,2,61,2020-05-13T23:32:26
CV,Cabo Verde,315,2,67,2020-05-14T23:32:28
CV,Cabo Verde,326,2,67,2020-05-15T23:32:20
CV,Cabo Verde,328,3,84,2020-05-16T23:32:19
CV,Cabo Verde,328,3,84,2020-05-17T23:32:23
CV,Cabo Verde,328,3,84,2020-05-18T18:01:58
