country,name,cases,deaths,recovered,last_update
CY,Cyprus,2,0,0,2020-03-09T18:33:03
CY,Cyprus,3,0,0,2020-03-10T13:13:13
CY,Cyprus,6,0,0,2020-03-11T18:52:03
CY,Cyprus,14,0,0,2020-03-11T20:00:00
CY,Cyprus,26,0,0,2020-03-14T22:53:02
CY,Cyprus,33,0,0,2020-03-16T02:33:08
CY,Cyprus,46,0,0,2020-03-17T03:13:15
CY,Cyprus,49,0,0,2020-03-18T03:13:19
CY,Cyprus,67,0,0,2020-03-19T18:13:29
CY,Cyprus,84,0,0,2020-03-21T17:43:03
CY,Cyprus,95,1,3,2020-03-22T23:45:00
CY,Cyprus,116,1,3,2020-03-23T23:19:21
CY,Cyprus,124,3,3,2020-03-24T23:37:15
CY,Cyprus,132,3,3,2020-03-25T23:33:04
CY,Cyprus,146,3,4,2020-03-26T23:48:18
CY,Cyprus,162,5,15,2020-03-27T23:23:03
CY,Cyprus,179,5,15,2020-03-28T23:05:25
CY,Cyprus,214,5,15,2020-03-29T23:08:13
CY,Cyprus,230,7,22,2020-03-30T22:52:33
CY,Cyprus,262,8,23,2020-03-31T23:43:43
CY,Cyprus,320,9,28,2020-04-01T21:58:34
CY,Cyprus,356,10,28,2020-04-02T23:25:14
CY,Cyprus,396,11,28,2020-04-03T23:56:18
CY,Cyprus,426,11,33,2020-04-04T23:34:04
CY,Cyprus,446,9,37,2020-04-05T23:06:26
CY,Cyprus,465,9,45,2020-04-06T23:21:55
CY,Cyprus,494,9,47,2020-04-07T23:04:29
CY,Cyprus,526,9,52,2020-04-08T22:51:39
CY,Cyprus,564,10,53,2020-04-09T23:02:19
CY,Cyprus,595,10,58,2020-04-10T22:53:48
CY,Cyprus,616,10,61,2020-04-11T23:56:45
CY,Cyprus,616,10,61,2020-04-12T03:31:35
CY,Cyprus,662,12,65,2020-04-13T23:07:34
CY,Cyprus,695,12,65,2020-04-14T23:33:12
CY,Cyprus,715,12,65,2020-04-15T22:56:32
CY,Cyprus,735,12,77,2020-04-16T23:30:31
CY,Cyprus,750,12,77,2020-04-17T23:30:32
CY,Cyprus,761,12,79,2020-04-18T22:32:28
CY,Cyprus,767,12,81,2020-04-19T23:40:41
CY,Cyprus,772,12,81,2020-04-20T23:36:27
CY,Cyprus,784,12,98,2020-04-21T23:30:30
CY,Cyprus,790,13,98,2020-04-22T23:30:32
CY,Cyprus,795,13,98,2020-04-23T23:30:31
CY,Cyprus,804,14,98,2020-04-24T21:30:34
CY,Cyprus,810,14,148,2020-04-25T23:30:33
CY,Cyprus,817,14,148,2020-04-26T23:30:31
CY,Cyprus,822,15,148,2020-04-27T23:30:31
CY,Cyprus,837,15,148,2020-04-28T23:32:24
CY,Cyprus,843,15,148,2020-04-29T23:32:26
CY,Cyprus,850,15,296,2020-04-30T23:32:27
CY,Cyprus,857,15,296,2020-05-01T23:32:36
CY,Cyprus,864,15,296,2020-05-02T23:32:31
CY,Cyprus,872,15,296,2020-05-03T23:32:29
CY,Cyprus,874,15,296,2020-05-04T22:32:33
CY,Cyprus,878,15,296,2020-05-05T23:32:29
CY,Cyprus,883,15,296,2020-05-06T23:32:28
CY,Cyprus,889,15,400,2020-05-07T22:32:32
CY,Cyprus,891,15,400,2020-05-08T23:32:35
CY,Cyprus,892,15,401,2020-05-09T23:32:33
CY,Cyprus,898,16,401,2020-05-10T23:32:32
CY,Cyprus,901,16,401,2020-05-11T23:32:30
CY,Cyprus,903,16,449,2020-05-12T23:32:26
CY,Cyprus,905,17,449,2020-05-13T23:32:26
CY,Cyprus,907,17,481,2020-05-14T23:32:28
CY,Cyprus,910,17,481,2020-05-15T23:32:20
CY,Cyprus,914,17,515,2020-05-16T23:32:19
CY,Cyprus,916,17,515,2020-05-17T23:32:23
CY,Cyprus,917,17,515,2020-05-18T18:01:58
