country,name,cases,deaths,recovered,last_update
CZ,Czech Republic,3,0,0,2020-03-01T15:53:06
CZ,Czech Republic,3,0,0,2020-03-02T16:33:02
CZ,Czech Republic,5,0,0,2020-03-03T15:13:26
CZ,Czech Republic,8,0,0,2020-03-04T19:33:03
CZ,Czech Republic,12,0,0,2020-03-05T17:53:02
CZ,Czech Republic,18,0,0,2020-03-06T16:33:04
CZ,Czech Republic,19,0,0,2020-03-07T02:03:29
CZ,Czech Republic,31,0,0,2020-03-08T19:53:03
CZ,Czech Republic,41,0,0,2020-03-10T13:33:14
CZ,Czech Republic,141,0,0,2020-03-11T20:00:00
CZ,Czech Republic,91,0,0,2020-03-11T22:13:12
CZ,Czech Republic,94,0,0,2020-03-12T01:33:03
CZ,Czech Republic,189,0,0,2020-03-14T20:13:16
CZ,Czech Republic,253,0,0,2020-03-15T18:20:18
CZ,Czech Republic,298,0,3,2020-03-16T23:53:02
CZ,Czech Republic,396,0,3,2020-03-17T15:33:06
CZ,Czech Republic,464,0,3,2020-03-18T10:33:04
CZ,Czech Republic,694,0,3,2020-03-19T18:13:20
CZ,Czech Republic,833,0,4,2020-03-20T20:13:15
CZ,Czech Republic,995,0,6,2020-03-21T20:43:02
CZ,Czech Republic,1120,1,6,2020-03-22T23:45:00
CZ,Czech Republic,1236,1,7,2020-03-23T23:19:21
CZ,Czech Republic,1394,3,10,2020-03-24T23:37:15
CZ,Czech Republic,1654,6,10,2020-03-25T23:33:04
CZ,Czech Republic,1925,9,10,2020-03-26T23:48:18
CZ,Czech Republic,2279,9,11,2020-03-27T23:23:03
CZ,Czech Republic,2631,11,11,2020-03-28T23:05:25
CZ,Czech Republic,2817,16,11,2020-03-29T23:08:13
CZ,Czech Republic,3001,23,25,2020-03-30T22:52:33
CZ,Czech Republic,3308,31,45,2020-03-31T23:43:43
CZ,Czech Republic,3508,39,61,2020-04-01T21:58:34
CZ,Czech Republic,3858,44,67,2020-04-02T23:25:14
CZ,Czech Republic,4190,53,72,2020-04-03T23:56:18
CZ,Czech Republic,4472,59,78,2020-04-04T23:34:04
CZ,Czech Republic,4587,67,96,2020-04-05T23:06:26
CZ,Czech Republic,4822,78,121,2020-04-06T23:21:55
CZ,Czech Republic,5017,88,172,2020-04-07T23:04:29
CZ,Czech Republic,5312,99,233,2020-04-08T22:51:39
CZ,Czech Republic,5569,112,301,2020-04-09T23:02:19
CZ,Czech Republic,5732,119,346,2020-04-10T22:53:48
CZ,Czech Republic,5902,129,411,2020-04-11T23:56:45
CZ,Czech Republic,5902,129,411,2020-04-12T03:31:35
CZ,Czech Republic,6059,143,519,2020-04-13T23:07:34
CZ,Czech Republic,6111,161,642,2020-04-14T23:33:12
CZ,Czech Republic,6216,166,819,2020-04-15T22:56:32
CZ,Czech Republic,6433,169,972,2020-04-16T23:30:31
CZ,Czech Republic,6549,173,1174,2020-04-17T23:30:32
CZ,Czech Republic,6606,181,1227,2020-04-18T22:32:28
CZ,Czech Republic,6746,186,1298,2020-04-19T23:40:41
CZ,Czech Republic,6900,194,1559,2020-04-20T23:36:27
CZ,Czech Republic,7033,201,1753,2020-04-21T23:30:30
CZ,Czech Republic,7132,208,1989,2020-04-22T23:30:32
CZ,Czech Republic,7187,210,2152,2020-04-23T23:30:31
CZ,Czech Republic,7236,214,2371,2020-04-24T21:30:34
CZ,Czech Republic,7352,218,2453,2020-04-25T23:30:33
CZ,Czech Republic,7404,220,2545,2020-04-26T23:30:31
CZ,Czech Republic,7445,223,2826,2020-04-27T23:30:31
CZ,Czech Republic,7504,227,2948,2020-04-28T23:32:24
CZ,Czech Republic,7579,227,3108,2020-04-29T23:32:26
CZ,Czech Republic,7682,236,3314,2020-04-30T23:32:27
CZ,Czech Republic,7737,240,3372,2020-05-01T23:32:36
CZ,Czech Republic,7755,245,3461,2020-05-02T23:32:31
CZ,Czech Republic,7781,248,3587,2020-05-03T23:32:29
CZ,Czech Republic,7799,251,3786,2020-05-04T22:32:33
CZ,Czech Republic,7896,257,4006,2020-05-05T23:32:29
CZ,Czech Republic,7974,262,4205,2020-05-06T23:32:28
CZ,Czech Republic,8002,269,4369,2020-05-07T22:32:32
CZ,Czech Republic,8077,273,4413,2020-05-08T23:32:35
CZ,Czech Republic,8095,276,4446,2020-05-09T23:32:33
CZ,Czech Republic,8123,280,4474,2020-05-10T23:32:32
CZ,Czech Republic,8176,282,4711,2020-05-11T23:32:30
CZ,Czech Republic,8198,283,4865,2020-05-12T23:32:26
CZ,Czech Republic,8269,290,5047,2020-05-13T23:32:26
CZ,Czech Republic,8351,293,5241,2020-05-14T23:32:28
CZ,Czech Republic,8406,295,5381,2020-05-15T23:32:20
CZ,Czech Republic,8455,296,5422,2020-05-16T23:32:19
CZ,Czech Republic,8460,298,5435,2020-05-17T23:32:23
CZ,Czech Republic,8586,297,5641,2020-05-18T23:32:29
CZ,Czech Republic,8647,302,5726,2020-05-19T23:32:20
CZ,Czech Republic,8721,304,5830,2020-05-20T23:32:52
CZ,Czech Republic,8754,306,5926,2020-05-21T23:32:39
CZ,Czech Republic,8757,306,5932,2020-05-22T12:32:39
