country,name,cases,deaths,recovered,last_update
DK,Denmark,1,0,0,2020-02-27T16:23:03
DK,Denmark,3,0,0,2020-02-29T18:03:05
DK,Denmark,4,0,0,2020-03-01T23:33:03
DK,Denmark,6,0,0,2020-03-03T15:13:26
DK,Denmark,10,0,0,2020-03-04T00:03:15
DK,Denmark,23,0,1,2020-03-06T13:03:12
DK,Denmark,35,0,1,2020-03-08T14:53:11
DK,Denmark,90,0,1,2020-03-09T18:13:11
DK,Denmark,262,0,1,2020-03-10T17:33:34
DK,Denmark,804,0,1,2020-03-11T20:00:00
DK,Denmark,444,0,1,2020-03-11T22:13:13
DK,Denmark,617,0,1,2020-03-12T09:53:06
DK,Denmark,836,1,1,2020-03-14T22:13:32
DK,Denmark,875,2,1,2020-03-15T18:20:19
DK,Denmark,932,3,1,2020-03-16T18:33:03
DK,Denmark,1024,4,1,2020-03-17T16:33:04
DK,Denmark,1115,4,1,2020-03-18T16:59:35
DK,Denmark,1225,6,1,2020-03-19T17:13:42
DK,Denmark,1337,9,1,2020-03-20T18:13:12
DK,Denmark,1420,13,1,2020-03-21T12:43:08
DK,Denmark,1514,13,4,2020-03-22T23:45:00
DK,Denmark,1572,24,24,2020-03-23T23:19:21
DK,Denmark,1718,32,36,2020-03-24T23:37:15
DK,Denmark,1862,34,41,2020-03-25T23:33:04
DK,Denmark,2023,41,50,2020-03-26T23:48:18
DK,Denmark,2200,52,57,2020-03-27T23:23:03
DK,Denmark,2366,65,57,2020-03-28T23:05:25
DK,Denmark,2564,72,73,2020-03-29T23:08:13
DK,Denmark,2755,77,73,2020-03-30T22:52:33
DK,Denmark,3039,90,77,2020-03-31T23:43:43
DK,Denmark,3290,104,971,2020-04-01T21:58:34
DK,Denmark,3573,123,1172,2020-04-02T23:25:14
DK,Denmark,3946,139,1287,2020-04-03T23:56:18
DK,Denmark,4269,161,1379,2020-04-04T23:34:04
DK,Denmark,4561,179,1429,2020-04-05T23:06:26
DK,Denmark,4875,187,1489,2020-04-06T23:21:55
DK,Denmark,5266,203,1621,2020-04-07T23:04:29
DK,Denmark,5597,218,1763,2020-04-08T22:51:39
DK,Denmark,5830,237,1883,2020-04-09T23:02:19
DK,Denmark,6014,247,1929,2020-04-10T22:53:48
DK,Denmark,6191,260,2111,2020-04-11T23:56:45
DK,Denmark,6191,260,2111,2020-04-12T03:31:35
DK,Denmark,6513,285,2403,2020-04-13T23:07:34
DK,Denmark,6706,299,2689,2020-04-14T23:33:12
DK,Denmark,6876,309,2925,2020-04-15T22:56:32
DK,Denmark,7074,321,3203,2020-04-16T23:30:31
DK,Denmark,7268,336,3571,2020-04-17T23:30:32
DK,Denmark,7437,346,4031,2020-04-18T22:32:28
DK,Denmark,7580,355,4328,2020-04-19T23:40:41
DK,Denmark,7711,364,4499,2020-04-20T23:36:27
DK,Denmark,7891,370,4889,2020-04-21T23:30:30
DK,Denmark,8108,384,5276,2020-04-22T23:30:32
DK,Denmark,8271,394,5573,2020-04-23T23:30:31
DK,Denmark,8408,403,5715,2020-04-24T21:30:34
DK,Denmark,8643,418,5858,2020-04-25T23:30:33
DK,Denmark,8773,422,5994,2020-04-26T23:30:31
DK,Denmark,8896,427,6148,2020-04-27T23:30:31
DK,Denmark,9049,434,6313,2020-04-28T23:32:24
DK,Denmark,9206,443,6558,2020-04-29T23:32:26
DK,Denmark,9356,452,6741,2020-04-30T23:32:27
DK,Denmark,9509,460,6924,2020-05-01T23:32:36
DK,Denmark,9605,475,7084,2020-05-02T23:32:31
DK,Denmark,9721,484,7183,2020-05-03T23:32:29
DK,Denmark,9868,493,7284,2020-05-04T22:32:33
DK,Denmark,10019,503,7492,2020-05-05T23:32:29
DK,Denmark,10136,506,7689,2020-05-06T23:32:28
DK,Denmark,10281,514,7907,2020-05-07T22:32:32
DK,Denmark,10416,522,8125,2020-05-08T23:32:35
DK,Denmark,10517,526,8291,2020-05-09T23:32:33
DK,Denmark,10627,529,8415,2020-05-10T23:32:32
DK,Denmark,10711,533,8526,2020-05-11T23:32:30
DK,Denmark,10789,527,8778,2020-05-12T23:32:26
DK,Denmark,10865,533,8861,2020-05-13T23:32:26
DK,Denmark,10911,537,9003,2020-05-14T23:32:28
DK,Denmark,10989,537,9157,2020-05-15T23:32:20
DK,Denmark,11056,543,9305,2020-05-16T23:32:19
DK,Denmark,11125,547,9425,2020-05-17T23:32:23
DK,Denmark,11166,548,9499,2020-05-18T23:32:29
DK,Denmark,11242,551,9614,2020-05-19T23:32:20
DK,Denmark,11315,554,9734,2020-05-20T23:32:52
DK,Denmark,11380,561,9841,2020-05-21T23:32:39
DK,Denmark,11428,561,9962,2020-05-22T23:32:40
DK,Denmark,11487,561,10034,2020-05-23T19:06:14
