country,name,cases,deaths,recovered,last_update
DO,Dominican Republic,1,0,0,2020-03-01T16:03:06
DO,Dominican Republic,1,0,0,2020-03-02T16:33:02
DO,Dominican Republic,2,0,0,2020-03-06T15:33:03
DO,Dominican Republic,5,0,0,2020-03-08T17:23:08
DO,Dominican Republic,5,0,0,2020-03-11T20:00:00
DO,Dominican Republic,11,0,0,2020-03-14T20:53:02
DO,Dominican Republic,21,1,0,2020-03-17T08:13:22
DO,Dominican Republic,34,2,0,2020-03-19T02:53:32
DO,Dominican Republic,72,2,0,2020-03-20T20:43:03
DO,Dominican Republic,112,2,0,2020-03-21T15:13:45
DO,Dominican Republic,202,3,0,2020-03-22T23:45:00
DO,Dominican Republic,245,3,3,2020-03-23T23:19:21
DO,Dominican Republic,312,6,3,2020-03-24T23:37:15
DO,Dominican Republic,392,10,3,2020-03-25T23:33:04
DO,Dominican Republic,488,10,3,2020-03-26T23:48:18
DO,Dominican Republic,581,20,3,2020-03-27T23:23:03
DO,Dominican Republic,719,28,3,2020-03-28T23:05:25
DO,Dominican Republic,859,39,3,2020-03-29T23:08:13
DO,Dominican Republic,901,42,4,2020-03-30T22:52:33
DO,Dominican Republic,1109,51,5,2020-03-31T23:43:43
DO,Dominican Republic,1284,57,9,2020-04-01T21:58:34
DO,Dominican Republic,1380,60,16,2020-04-02T23:25:14
DO,Dominican Republic,1488,68,16,2020-04-03T23:56:18
DO,Dominican Republic,1488,68,16,2020-04-04T23:34:04
DO,Dominican Republic,1745,82,17,2020-04-05T23:06:26
DO,Dominican Republic,1828,86,33,2020-04-06T23:21:55
DO,Dominican Republic,1956,98,36,2020-04-07T23:04:29
DO,Dominican Republic,2111,108,50,2020-04-08T22:51:39
DO,Dominican Republic,2349,118,80,2020-04-09T23:02:19
DO,Dominican Republic,2620,126,98,2020-04-10T22:53:48
DO,Dominican Republic,2759,135,108,2020-04-11T23:56:45
DO,Dominican Republic,2759,135,108,2020-04-12T03:31:35
DO,Dominican Republic,3167,177,152,2020-04-13T23:07:34
DO,Dominican Republic,3286,183,162,2020-04-14T23:33:12
DO,Dominican Republic,3614,189,208,2020-04-15T22:56:32
DO,Dominican Republic,3755,196,215,2020-04-16T23:30:31
DO,Dominican Republic,4126,200,268,2020-04-17T23:30:32
DO,Dominican Republic,4335,217,312,2020-04-18T22:32:28
DO,Dominican Republic,4680,226,363,2020-04-19T23:40:41
DO,Dominican Republic,4964,235,416,2020-04-20T23:36:27
DO,Dominican Republic,5044,245,463,2020-04-21T23:30:30
DO,Dominican Republic,5300,260,581,2020-04-22T23:30:32
DO,Dominican Republic,5543,265,581,2020-04-23T23:30:31
DO,Dominican Republic,5749,267,763,2020-04-24T21:30:34
DO,Dominican Republic,5926,273,822,2020-04-25T23:30:33
DO,Dominican Republic,6135,278,910,2020-04-26T23:30:31
DO,Dominican Republic,6293,282,993,2020-04-27T23:30:31
DO,Dominican Republic,6416,286,1165,2020-04-28T23:32:24
DO,Dominican Republic,6652,293,1228,2020-04-29T23:32:26
DO,Dominican Republic,6972,301,1301,2020-04-30T23:32:27
DO,Dominican Republic,7288,313,1387,2020-05-01T23:32:36
DO,Dominican Republic,7578,326,1481,2020-05-02T23:32:31
DO,Dominican Republic,7954,333,1606,2020-05-03T23:32:29
DO,Dominican Republic,8235,346,1771,2020-05-04T22:32:33
DO,Dominican Republic,8480,354,1905,2020-05-05T23:32:29
DO,Dominican Republic,8807,362,1905,2020-05-06T23:32:28
DO,Dominican Republic,9095,373,2064,2020-05-07T22:32:32
DO,Dominican Republic,9376,380,2286,2020-05-08T23:32:35
DO,Dominican Republic,9882,385,2584,2020-05-09T23:32:33
DO,Dominican Republic,10347,388,2763,2020-05-10T23:32:32
DO,Dominican Republic,10634,393,2870,2020-05-11T23:32:30
DO,Dominican Republic,10900,402,3221,2020-05-12T23:32:26
DO,Dominican Republic,11196,409,3221,2020-05-13T23:32:26
DO,Dominican Republic,11320,422,3351,2020-05-14T23:32:28
DO,Dominican Republic,11739,424,3557,2020-05-15T23:32:20
DO,Dominican Republic,12110,428,3726,2020-05-16T23:32:19
DO,Dominican Republic,12314,428,5847,2020-05-17T23:32:23
DO,Dominican Republic,12725,434,6613,2020-05-18T18:01:58
