country,name,cases,deaths,recovered,last_update
DZ,Algeria,1,0,0,2020-02-25T23:43:03
DZ,Algeria,3,0,0,2020-03-02T00:53:03
DZ,Algeria,5,0,0,2020-03-03T03:23:03
DZ,Algeria,12,0,0,2020-03-04T19:33:03
DZ,Algeria,17,0,0,2020-03-06T01:29:39
DZ,Algeria,19,0,0,2020-03-08T05:23:03
DZ,Algeria,20,0,0,2020-03-09T10:13:06
DZ,Algeria,26,2,8,2020-03-11T20:00:00
DZ,Algeria,24,1,8,2020-03-12T09:13:24
DZ,Algeria,37,3,12,2020-03-14T12:33:03
DZ,Algeria,48,4,12,2020-03-15T18:20:18
DZ,Algeria,54,4,12,2020-03-16T14:38:45
DZ,Algeria,60,4,12,2020-03-17T03:13:15
DZ,Algeria,74,7,12,2020-03-18T19:53:03
DZ,Algeria,87,9,32,2020-03-19T16:13:36
DZ,Algeria,90,11,32,2020-03-20T15:43:24
DZ,Algeria,139,15,32,2020-03-21T17:43:03
DZ,Algeria,201,17,65,2020-03-22T23:45:00
DZ,Algeria,230,17,65,2020-03-23T23:19:21
DZ,Algeria,264,19,24,2020-03-24T23:37:15
DZ,Algeria,302,21,65,2020-03-25T23:33:04
DZ,Algeria,367,25,29,2020-03-26T23:48:18
DZ,Algeria,409,26,29,2020-03-27T23:23:03
DZ,Algeria,454,29,31,2020-03-28T23:05:25
DZ,Algeria,511,31,31,2020-03-29T23:08:13
DZ,Algeria,584,35,37,2020-03-30T22:52:33
DZ,Algeria,716,44,46,2020-03-31T23:43:43
DZ,Algeria,847,58,61,2020-04-01T21:58:34
DZ,Algeria,986,86,61,2020-04-02T23:25:14
DZ,Algeria,1171,105,62,2020-04-03T23:56:18
DZ,Algeria,1251,130,90,2020-04-04T23:34:04
DZ,Algeria,1320,152,90,2020-04-05T23:06:26
DZ,Algeria,1423,173,90,2020-04-06T23:21:55
DZ,Algeria,1468,193,113,2020-04-07T23:04:29
DZ,Algeria,1572,205,237,2020-04-08T22:51:39
DZ,Algeria,1666,235,347,2020-04-09T23:02:19
DZ,Algeria,1761,256,405,2020-04-10T22:53:48
DZ,Algeria,1825,275,460,2020-04-11T23:56:45
DZ,Algeria,1825,275,460,2020-04-12T03:31:35
DZ,Algeria,1983,313,601,2020-04-13T23:07:34
DZ,Algeria,2070,326,691,2020-04-14T23:33:12
DZ,Algeria,2160,336,708,2020-04-15T22:56:32
DZ,Algeria,2268,348,783,2020-04-16T23:30:31
DZ,Algeria,2418,364,846,2020-04-17T23:30:32
DZ,Algeria,2534,367,894,2020-04-18T22:32:28
DZ,Algeria,2629,375,1047,2020-04-19T23:40:41
DZ,Algeria,2718,384,1099,2020-04-20T23:36:27
DZ,Algeria,2811,392,1152,2020-04-21T23:30:30
DZ,Algeria,2910,402,1204,2020-04-22T23:30:32
DZ,Algeria,3007,407,1355,2020-04-23T23:30:31
DZ,Algeria,3127,415,1408,2020-04-24T21:30:34
DZ,Algeria,3256,419,1479,2020-04-25T23:30:33
DZ,Algeria,3382,425,1508,2020-04-26T23:30:31
DZ,Algeria,3517,432,1558,2020-04-27T23:30:31
DZ,Algeria,3649,437,1651,2020-04-28T23:32:24
DZ,Algeria,3848,444,1702,2020-04-29T23:32:26
DZ,Algeria,4006,450,1779,2020-04-30T23:32:27
DZ,Algeria,4154,453,1821,2020-05-01T23:32:36
DZ,Algeria,4295,459,1872,2020-05-02T23:32:31
DZ,Algeria,4474,463,1936,2020-05-03T23:32:29
DZ,Algeria,4648,465,1998,2020-05-04T22:32:33
DZ,Algeria,4838,470,2067,2020-05-05T23:32:29
DZ,Algeria,4997,476,2197,2020-05-06T23:32:28
DZ,Algeria,5182,483,2323,2020-05-07T22:32:32
DZ,Algeria,5369,488,2467,2020-05-08T23:32:35
DZ,Algeria,5558,494,2546,2020-05-09T23:32:33
DZ,Algeria,5723,502,2678,2020-05-10T23:32:32
DZ,Algeria,5891,507,2841,2020-05-11T23:32:30
DZ,Algeria,6067,515,2998,2020-05-12T23:32:26
DZ,Algeria,6253,522,3058,2020-05-13T23:32:26
DZ,Algeria,6442,529,3158,2020-05-14T23:32:28
DZ,Algeria,6629,536,3271,2020-05-15T23:32:20
DZ,Algeria,6821,542,3409,2020-05-16T23:32:19
DZ,Algeria,7019,548,3507,2020-05-17T23:32:23
DZ,Algeria,7201,555,3625,2020-05-18T23:32:29
DZ,Algeria,7377,561,3746,2020-05-19T23:32:20
DZ,Algeria,7542,568,3968,2020-05-20T23:32:52
DZ,Algeria,7728,575,4062,2020-05-21T23:32:39
DZ,Algeria,7918,582,4256,2020-05-22T23:32:40
DZ,Algeria,8113,592,4426,2020-05-23T19:06:14
