country,name,cases,deaths,recovered,last_update
EC,Ecuador,6,0,0,2020-03-01T23:33:03
EC,Ecuador,7,0,0,2020-03-03T15:13:26
EC,Ecuador,10,0,0,2020-03-04T19:33:03
EC,Ecuador,13,0,0,2020-03-05T17:53:02
EC,Ecuador,14,0,0,2020-03-08T05:23:03
EC,Ecuador,15,0,0,2020-03-09T09:03:03
EC,Ecuador,17,0,0,2020-03-11T09:33:12
EC,Ecuador,17,0,0,2020-03-11T20:00:00
EC,Ecuador,28,2,0,2020-03-14T22:53:02
EC,Ecuador,37,2,0,2020-03-16T02:33:08
EC,Ecuador,58,2,0,2020-03-17T03:13:15
EC,Ecuador,111,2,0,2020-03-18T03:13:19
EC,Ecuador,199,3,0,2020-03-19T17:13:14
EC,Ecuador,367,5,0,2020-03-20T20:43:02
EC,Ecuador,506,7,3,2020-03-21T20:43:02
EC,Ecuador,789,14,3,2020-03-22T23:45:00
EC,Ecuador,981,18,3,2020-03-23T23:19:21
EC,Ecuador,1082,27,3,2020-03-24T23:37:15
EC,Ecuador,1173,28,3,2020-03-25T23:33:04
EC,Ecuador,1403,34,3,2020-03-26T23:48:18
EC,Ecuador,1595,36,3,2020-03-27T23:23:03
EC,Ecuador,1823,48,3,2020-03-28T23:05:25
EC,Ecuador,1924,58,3,2020-03-29T23:08:13
EC,Ecuador,1962,60,3,2020-03-30T22:52:33
EC,Ecuador,2240,75,54,2020-03-31T23:43:43
EC,Ecuador,2748,93,58,2020-04-01T21:58:34
EC,Ecuador,3163,120,65,2020-04-02T23:25:14
EC,Ecuador,3368,145,65,2020-04-03T23:56:18
EC,Ecuador,3465,172,100,2020-04-04T23:34:04
EC,Ecuador,3646,180,100,2020-04-05T23:06:26
EC,Ecuador,3747,191,100,2020-04-06T23:21:55
EC,Ecuador,3747,191,100,2020-04-07T23:04:29
EC,Ecuador,4450,242,140,2020-04-08T22:51:39
EC,Ecuador,4965,272,339,2020-04-09T23:02:19
EC,Ecuador,7161,297,368,2020-04-10T22:53:48
EC,Ecuador,7257,315,411,2020-04-11T23:56:45
EC,Ecuador,7257,315,411,2020-04-12T03:31:35
EC,Ecuador,7529,355,597,2020-04-13T23:07:34
EC,Ecuador,7603,369,696,2020-04-14T23:33:12
EC,Ecuador,7858,388,780,2020-04-15T22:56:32
EC,Ecuador,8225,403,838,2020-04-16T23:30:31
EC,Ecuador,8450,421,838,2020-04-17T23:30:32
EC,Ecuador,9022,456,1008,2020-04-18T22:32:28
EC,Ecuador,9468,474,1061,2020-04-19T23:40:41
EC,Ecuador,10128,507,1150,2020-04-20T23:36:27
EC,Ecuador,10398,520,1207,2020-04-21T23:30:30
EC,Ecuador,10850,537,1262,2020-04-22T23:30:32
EC,Ecuador,11183,560,1328,2020-04-23T23:30:31
EC,Ecuador,22719,576,1366,2020-04-24T21:30:34
EC,Ecuador,22719,576,1366,2020-04-25T23:30:33
EC,Ecuador,22719,576,1366,2020-04-26T23:30:31
EC,Ecuador,23240,663,1557,2020-04-27T23:30:31
EC,Ecuador,24258,871,1557,2020-04-28T23:32:24
EC,Ecuador,24258,871,1557,2020-04-29T23:32:26
EC,Ecuador,24934,900,1558,2020-04-30T23:32:27
EC,Ecuador,26336,1063,1913,2020-05-01T23:32:36
EC,Ecuador,27464,1371,2132,2020-05-02T23:32:31
EC,Ecuador,29538,1564,3300,2020-05-03T23:32:29
EC,Ecuador,31881,1569,3433,2020-05-04T22:32:33
EC,Ecuador,31881,1569,3433,2020-05-05T23:32:29
EC,Ecuador,31881,1618,3433,2020-05-06T23:32:28
EC,Ecuador,30298,1654,3433,2020-05-07T22:32:32
EC,Ecuador,30298,1704,3433,2020-05-08T23:32:35
EC,Ecuador,29071,1717,3433,2020-05-09T23:32:33
EC,Ecuador,29559,2127,3433,2020-05-10T23:32:32
EC,Ecuador,29509,2145,3433,2020-05-11T23:32:30
EC,Ecuador,30419,2327,3433,2020-05-12T23:32:26
EC,Ecuador,30486,2334,3433,2020-05-13T23:32:26
EC,Ecuador,30502,2338,3433,2020-05-14T23:32:28
EC,Ecuador,31467,2594,3433,2020-05-15T23:32:20
EC,Ecuador,32763,2688,3433,2020-05-16T23:32:19
EC,Ecuador,33182,2736,3433,2020-05-17T23:32:23
EC,Ecuador,33582,2799,3433,2020-05-18T23:32:29
EC,Ecuador,34151,2839,3457,2020-05-19T23:32:20
EC,Ecuador,34854,2888,3557,2020-05-20T23:32:52
EC,Ecuador,35306,2939,3557,2020-05-21T23:32:39
EC,Ecuador,35306,2939,3557,2020-05-22T12:32:39
