country,name,cases,deaths,recovered,last_update
EE,Estonia,1,0,0,2020-02-27T16:23:03
EE,Estonia,2,0,0,2020-03-03T23:53:03
EE,Estonia,3,0,0,2020-03-05T13:53:03
EE,Estonia,10,0,0,2020-03-06T13:03:13
EE,Estonia,12,0,0,2020-03-10T11:13:13
EE,Estonia,79,0,0,2020-03-11T20:00:00
EE,Estonia,16,0,0,2020-03-11T22:13:12
EE,Estonia,115,0,0,2020-03-14T20:33:03
EE,Estonia,171,0,1,2020-03-15T18:20:18
EE,Estonia,205,0,1,2020-03-16T14:38:45
EE,Estonia,225,0,1,2020-03-17T10:33:03
EE,Estonia,258,0,1,2020-03-18T10:33:04
EE,Estonia,267,0,1,2020-03-19T11:33:29
EE,Estonia,283,0,1,2020-03-20T14:43:04
EE,Estonia,306,0,1,2020-03-21T12:13:19
EE,Estonia,326,0,4,2020-03-22T23:45:00
EE,Estonia,352,0,4,2020-03-23T23:19:21
EE,Estonia,369,0,7,2020-03-24T23:37:15
EE,Estonia,404,1,8,2020-03-25T23:33:04
EE,Estonia,538,1,8,2020-03-26T23:48:18
EE,Estonia,575,1,11,2020-03-27T23:23:03
EE,Estonia,645,1,20,2020-03-28T23:05:25
EE,Estonia,679,3,20,2020-03-29T23:08:13
EE,Estonia,715,3,20,2020-03-30T22:52:33
EE,Estonia,745,4,26,2020-03-31T23:43:43
EE,Estonia,779,5,33,2020-04-01T21:58:34
EE,Estonia,858,11,45,2020-04-02T23:25:14
EE,Estonia,961,12,48,2020-04-03T23:56:18
EE,Estonia,1039,13,59,2020-04-04T23:34:04
EE,Estonia,1097,15,62,2020-04-05T23:06:26
EE,Estonia,1108,19,62,2020-04-06T23:21:55
EE,Estonia,1149,21,69,2020-04-07T23:04:29
EE,Estonia,1185,24,72,2020-04-08T22:51:39
EE,Estonia,1207,24,83,2020-04-09T23:02:19
EE,Estonia,1258,24,93,2020-04-10T22:53:48
EE,Estonia,1304,24,93,2020-04-11T23:56:45
EE,Estonia,1304,24,93,2020-04-12T03:31:35
EE,Estonia,1332,28,102,2020-04-13T23:07:34
EE,Estonia,1373,31,115,2020-04-14T23:33:12
EE,Estonia,1400,35,117,2020-04-15T22:56:32
EE,Estonia,1434,36,133,2020-04-16T23:30:31
EE,Estonia,1459,38,145,2020-04-17T23:30:32
EE,Estonia,1512,38,162,2020-04-18T22:32:28
EE,Estonia,1528,40,164,2020-04-19T23:40:41
EE,Estonia,1535,40,165,2020-04-20T23:36:27
EE,Estonia,1552,43,169,2020-04-21T23:30:30
EE,Estonia,1559,44,184,2020-04-22T23:30:32
EE,Estonia,1592,45,192,2020-04-23T23:30:31
EE,Estonia,1605,46,206,2020-04-24T21:30:34
EE,Estonia,1635,46,228,2020-04-25T23:30:33
EE,Estonia,1643,49,233,2020-04-26T23:30:31
EE,Estonia,1647,50,233,2020-04-27T23:30:31
EE,Estonia,1660,50,240,2020-04-28T23:32:24
EE,Estonia,1666,50,236,2020-04-29T23:32:26
EE,Estonia,1689,52,249,2020-04-30T23:32:27
EE,Estonia,1694,52,253,2020-05-01T23:32:36
EE,Estonia,1699,53,256,2020-05-02T23:32:31
EE,Estonia,1700,55,259,2020-05-03T23:32:29
EE,Estonia,1703,55,259,2020-05-04T22:32:33
EE,Estonia,1711,55,261,2020-05-05T23:32:29
EE,Estonia,1713,55,264,2020-05-06T23:32:28
EE,Estonia,1720,56,273,2020-05-07T22:32:32
EE,Estonia,1725,56,704,2020-05-08T23:32:35
EE,Estonia,1733,60,747,2020-05-09T23:32:33
EE,Estonia,1739,60,750,2020-05-10T23:32:32
EE,Estonia,1741,61,751,2020-05-11T23:32:30
EE,Estonia,1746,61,777,2020-05-12T23:32:26
EE,Estonia,1751,61,777,2020-05-13T23:32:26
EE,Estonia,1758,62,909,2020-05-14T23:32:28
EE,Estonia,1766,63,923,2020-05-15T23:32:20
EE,Estonia,1770,63,934,2020-05-16T23:32:19
EE,Estonia,1774,63,938,2020-05-17T23:32:23
EE,Estonia,1784,64,938,2020-05-18T23:32:29
EE,Estonia,1791,64,938,2020-05-19T23:32:20
EE,Estonia,1794,64,956,2020-05-20T23:32:52
EE,Estonia,1800,64,1488,2020-05-21T23:32:39
EE,Estonia,1807,64,1508,2020-05-22T12:32:39
