country,name,cases,deaths,recovered,last_update
EG,Egypt,1,0,0,2020-02-14T23:53:02
EG,Egypt,1,0,0,2020-02-21T18:53:02
EG,Egypt,1,0,1,2020-02-28T04:13:09
EG,Egypt,2,0,1,2020-03-01T23:33:03
EG,Egypt,3,0,1,2020-03-05T13:53:03
EG,Egypt,15,0,1,2020-03-06T13:03:13
EG,Egypt,49,1,1,2020-03-08T19:03:11
EG,Egypt,55,1,12,2020-03-09T10:03:17
EG,Egypt,59,1,1,2020-03-10T05:13:07
EG,Egypt,80,2,27,2020-03-11T20:00:00
EG,Egypt,60,1,27,2020-03-11T22:13:12
EG,Egypt,67,1,27,2020-03-12T08:53:02
EG,Egypt,109,2,27,2020-03-14T22:33:03
EG,Egypt,110,2,21,2020-03-15T18:20:18
EG,Egypt,150,2,27,2020-03-16T15:53:45
EG,Egypt,196,4,32,2020-03-17T18:13:10
EG,Egypt,196,6,32,2020-03-18T03:13:14
EG,Egypt,256,6,32,2020-03-19T20:43:02
EG,Egypt,285,8,39,2020-03-20T20:43:02
EG,Egypt,294,10,41,2020-03-21T20:43:02
EG,Egypt,327,14,56,2020-03-22T23:45:00
EG,Egypt,366,19,68,2020-03-23T23:19:21
EG,Egypt,402,20,80,2020-03-24T23:37:15
EG,Egypt,456,21,95,2020-03-25T23:33:04
EG,Egypt,495,24,102,2020-03-26T23:48:18
EG,Egypt,536,30,116,2020-03-27T23:23:03
EG,Egypt,576,36,121,2020-03-28T23:05:25
EG,Egypt,609,40,132,2020-03-29T23:08:13
EG,Egypt,656,41,150,2020-03-30T22:52:33
EG,Egypt,710,46,157,2020-03-31T23:43:43
EG,Egypt,779,52,179,2020-04-01T21:58:34
EG,Egypt,865,58,201,2020-04-02T23:25:14
EG,Egypt,985,66,216,2020-04-03T23:56:18
EG,Egypt,1070,71,241,2020-04-04T23:34:04
EG,Egypt,1173,78,247,2020-04-05T23:06:26
EG,Egypt,1322,85,259,2020-04-06T23:21:55
EG,Egypt,1450,94,276,2020-04-07T23:04:29
EG,Egypt,1560,103,305,2020-04-08T22:51:39
EG,Egypt,1699,118,348,2020-04-09T23:02:19
EG,Egypt,1794,135,384,2020-04-10T22:53:48
EG,Egypt,1939,146,426,2020-04-11T23:56:45
EG,Egypt,1939,146,426,2020-04-12T03:31:35
EG,Egypt,2190,164,589,2020-04-13T23:07:34
EG,Egypt,2350,178,589,2020-04-14T23:33:12
EG,Egypt,2505,183,589,2020-04-15T22:56:32
EG,Egypt,2673,196,596,2020-04-16T23:30:31
EG,Egypt,2844,205,646,2020-04-17T23:30:32
EG,Egypt,3032,224,701,2020-04-18T22:32:28
EG,Egypt,3144,239,732,2020-04-19T23:40:41
EG,Egypt,3333,250,821,2020-04-20T23:36:27
EG,Egypt,3490,264,870,2020-04-21T23:30:30
EG,Egypt,3659,276,935,2020-04-22T23:30:32
EG,Egypt,3891,287,1004,2020-04-23T23:30:31
EG,Egypt,4092,294,1075,2020-04-24T21:30:34
EG,Egypt,4319,307,1114,2020-04-25T23:30:33
EG,Egypt,4534,317,1176,2020-04-26T23:30:31
EG,Egypt,4782,337,1236,2020-04-27T23:30:31
EG,Egypt,5042,359,1304,2020-04-28T23:32:24
EG,Egypt,5268,380,1335,2020-04-29T23:32:26
EG,Egypt,5537,392,1381,2020-04-30T23:32:27
EG,Egypt,5895,406,1460,2020-05-01T23:32:36
EG,Egypt,6193,415,1522,2020-05-02T23:32:31
EG,Egypt,6465,429,1562,2020-05-03T23:32:29
EG,Egypt,6813,436,1632,2020-05-04T22:32:33
EG,Egypt,7201,452,1730,2020-05-05T23:32:29
EG,Egypt,7588,469,1815,2020-05-06T23:32:28
EG,Egypt,7981,482,1887,2020-05-07T22:32:32
EG,Egypt,8476,503,1945,2020-05-08T23:32:35
EG,Egypt,8964,514,2002,2020-05-09T23:32:33
EG,Egypt,9400,525,2075,2020-05-10T23:32:32
EG,Egypt,9746,533,2172,2020-05-11T23:32:30
EG,Egypt,10093,544,2326,2020-05-12T23:32:26
EG,Egypt,10431,556,2486,2020-05-13T23:32:26
EG,Egypt,10829,571,2626,2020-05-14T23:32:28
EG,Egypt,11228,592,2799,2020-05-15T23:32:20
EG,Egypt,11719,612,2950,2020-05-16T23:32:19
EG,Egypt,12229,630,3172,2020-05-17T23:32:23
EG,Egypt,12764,645,3440,2020-05-18T23:32:29
EG,Egypt,12764,645,3440,2020-05-19T14:32:25
