country,name,cases,deaths,recovered,last_update
ER,Eritrea,1,0,0,2020-03-21T21:13:30
ER,Eritrea,1,0,0,2020-03-22T23:45:00
ER,Eritrea,1,0,0,2020-03-23T23:19:21
ER,Eritrea,1,0,0,2020-03-24T23:37:15
ER,Eritrea,4,0,0,2020-03-25T23:33:04
ER,Eritrea,6,0,0,2020-03-26T23:48:18
ER,Eritrea,6,0,0,2020-03-27T23:23:03
ER,Eritrea,6,0,0,2020-03-28T23:05:25
ER,Eritrea,12,0,0,2020-03-29T23:08:13
ER,Eritrea,12,0,0,2020-03-30T22:52:33
ER,Eritrea,15,0,0,2020-03-31T23:43:43
ER,Eritrea,15,0,0,2020-04-01T21:58:34
ER,Eritrea,22,0,0,2020-04-02T23:25:14
ER,Eritrea,22,0,0,2020-04-03T23:56:18
ER,Eritrea,29,0,0,2020-04-04T23:34:04
ER,Eritrea,29,0,0,2020-04-05T23:06:26
ER,Eritrea,31,0,0,2020-04-06T23:21:55
ER,Eritrea,31,0,0,2020-04-07T23:04:29
ER,Eritrea,33,0,0,2020-04-08T22:51:39
ER,Eritrea,33,0,0,2020-04-09T23:02:19
ER,Eritrea,34,0,0,2020-04-10T22:53:48
ER,Eritrea,34,0,0,2020-04-11T23:56:45
ER,Eritrea,34,0,0,2020-04-12T03:31:35
ER,Eritrea,34,0,0,2020-04-13T23:07:34
ER,Eritrea,34,0,0,2020-04-14T23:33:12
ER,Eritrea,35,0,0,2020-04-15T22:56:32
ER,Eritrea,35,0,0,2020-04-16T23:30:31
ER,Eritrea,35,0,0,2020-04-17T23:30:32
ER,Eritrea,39,0,3,2020-04-18T22:32:28
ER,Eritrea,39,0,3,2020-04-19T23:40:41
ER,Eritrea,39,0,3,2020-04-20T23:36:27
ER,Eritrea,39,0,6,2020-04-21T23:30:30
ER,Eritrea,39,0,6,2020-04-22T23:30:32
ER,Eritrea,39,0,6,2020-04-23T23:30:31
ER,Eritrea,39,0,11,2020-04-24T21:30:34
ER,Eritrea,39,0,13,2020-04-25T23:30:33
ER,Eritrea,39,0,13,2020-04-26T23:30:31
ER,Eritrea,39,0,13,2020-04-27T23:30:31
ER,Eritrea,39,0,19,2020-04-28T23:32:24
ER,Eritrea,39,0,19,2020-04-29T23:32:26
ER,Eritrea,39,0,26,2020-04-30T23:32:27
ER,Eritrea,39,0,26,2020-05-01T23:32:36
ER,Eritrea,39,0,26,2020-05-02T23:32:31
ER,Eritrea,39,0,26,2020-05-03T23:32:29
ER,Eritrea,39,0,26,2020-05-04T22:32:33
ER,Eritrea,39,0,30,2020-05-05T23:32:29
ER,Eritrea,39,0,30,2020-05-06T23:32:28
ER,Eritrea,39,0,30,2020-05-07T22:32:32
ER,Eritrea,39,0,37,2020-05-08T23:32:35
ER,Eritrea,39,0,37,2020-05-09T23:32:33
ER,Eritrea,39,0,37,2020-05-10T23:32:32
ER,Eritrea,39,0,38,2020-05-11T23:32:30
ER,Eritrea,39,0,38,2020-05-12T23:32:26
ER,Eritrea,39,0,38,2020-05-13T23:32:26
ER,Eritrea,39,0,38,2020-05-14T23:32:28
ER,Eritrea,39,0,39,2020-05-15T23:32:20
ER,Eritrea,39,0,39,2020-05-16T23:32:19
ER,Eritrea,39,0,39,2020-05-17T23:32:23
ER,Eritrea,39,0,39,2020-05-18T23:32:29
ER,Eritrea,39,0,39,2020-05-19T23:32:20
ER,Eritrea,39,0,39,2020-05-20T23:32:52
ER,Eritrea,39,0,39,2020-05-21T23:32:39
ER,Eritrea,39,0,39,2020-05-22T12:32:39
