country,name,cases,deaths,recovered,last_update
ES,Spain,1,0,0,2020-02-01T02:13:00
ES,Spain,1,0,0,2020-02-01T23:43:02
ES,Spain,2,0,0,2020-02-09T20:33:03
ES,Spain,2,0,2,2020-02-15T17:23:04
ES,Spain,6,0,2,2020-02-25T21:33:02
ES,Spain,13,0,2,2020-02-26T20:43:02
ES,Spain,15,0,2,2020-02-27T13:23:02
ES,Spain,32,0,2,2020-02-28T15:33:03
ES,Spain,45,0,2,2020-02-29T19:13:08
ES,Spain,84,0,2,2020-03-01T23:33:03
ES,Spain,120,0,2,2020-03-02T14:43:05
ES,Spain,165,1,2,2020-03-03T23:53:03
ES,Spain,222,2,2,2020-03-04T20:43:02
ES,Spain,259,3,2,2020-03-05T17:43:03
ES,Spain,400,5,2,2020-03-06T20:13:13
ES,Spain,500,10,30,2020-03-07T17:43:05
ES,Spain,673,17,30,2020-03-08T20:33:02
ES,Spain,1073,28,32,2020-03-09T18:13:11
ES,Spain,1695,35,32,2020-03-10T23:53:02
ES,Spain,5232,133,193,2020-03-11T20:00:00
ES,Spain,2277,54,183,2020-03-11T20:53:02
ES,Spain,2277,55,183,2020-03-12T01:17:58
ES,Spain,6391,195,517,2020-03-14T22:13:11
ES,Spain,7798,289,517,2020-03-15T18:20:18
ES,Spain,9942,342,530,2020-03-16T20:13:11
ES,Spain,11748,533,1028,2020-03-17T20:53:02
ES,Spain,13910,623,1081,2020-03-18T13:13:13
ES,Spain,17963,830,1107,2020-03-19T20:13:08
ES,Spain,20410,1043,1588,2020-03-20T17:43:03
ES,Spain,25374,1375,2125,2020-03-21T13:13:30
ES,Spain,28603,1756,2125,2020-03-22T23:45:00
ES,Spain,35136,2311,3355,2020-03-23T23:19:21
ES,Spain,39885,2808,3794,2020-03-24T23:37:15
ES,Spain,49515,3647,5367,2020-03-25T23:33:04
ES,Spain,57786,4365,7015,2020-03-26T23:48:18
ES,Spain,65719,5138,9357,2020-03-27T23:23:03
ES,Spain,73235,5982,12285,2020-03-28T23:05:25
ES,Spain,80110,6803,14709,2020-03-29T23:08:13
ES,Spain,87956,7716,16780,2020-03-30T22:52:33
ES,Spain,95923,8464,19259,2020-03-31T23:43:43
ES,Spain,104118,9387,22647,2020-04-01T21:58:34
ES,Spain,112065,10348,26743,2020-04-02T23:25:14
ES,Spain,119199,11198,30513,2020-04-03T23:56:18
ES,Spain,126168,11947,34219,2020-04-04T23:34:04
ES,Spain,131646,12641,38080,2020-04-05T23:06:26
ES,Spain,136675,13341,40437,2020-04-06T23:21:55
ES,Spain,141942,14045,43208,2020-04-07T23:04:29
ES,Spain,148220,14792,48021,2020-04-08T22:51:39
ES,Spain,153222,15447,52165,2020-04-09T23:02:19
ES,Spain,158273,16081,55668,2020-04-10T22:53:48
ES,Spain,163027,16606,59109,2020-04-11T23:56:45
ES,Spain,163027,16606,59109,2020-04-12T03:31:35
ES,Spain,170099,17756,64727,2020-04-13T23:07:34
ES,Spain,172541,18056,67504,2020-04-14T23:33:12
ES,Spain,177644,18708,70853,2020-04-15T22:56:32
ES,Spain,184948,19315,74797,2020-04-16T23:30:31
ES,Spain,190839,20002,74797,2020-04-17T23:30:32
ES,Spain,191726,20043,74797,2020-04-18T22:32:28
ES,Spain,198674,20453,77357,2020-04-19T23:40:41
ES,Spain,200210,20852,80587,2020-04-20T23:36:27
ES,Spain,204178,21282,82514,2020-04-21T23:30:30
ES,Spain,208389,21717,85915,2020-04-22T23:30:32
ES,Spain,213024,22157,89250,2020-04-23T23:30:31
ES,Spain,219764,22524,92355,2020-04-24T21:30:34
ES,Spain,223759,22902,95708,2020-04-25T23:30:33
ES,Spain,226629,23190,117727,2020-04-26T23:30:31
ES,Spain,229422,23521,120832,2020-04-27T23:30:31
ES,Spain,232128,23822,123903,2020-04-28T23:32:24
ES,Spain,236899,24275,132929,2020-04-29T23:32:26
ES,Spain,213435,24543,112050,2020-04-30T23:32:27
ES,Spain,213435,24543,112050,2020-05-01T21:32:31
ES,Spain,216582,25100,117248,2020-05-02T23:32:31
ES,Spain,217466,25264,118902,2020-05-03T23:32:29
ES,Spain,218011,25428,121343,2020-05-04T22:32:33
ES,Spain,219329,25613,123486,2020-05-05T23:32:29
ES,Spain,220325,25857,126002,2020-05-06T23:32:28
ES,Spain,221447,26070,128511,2020-05-07T22:32:32
ES,Spain,222857,26299,131148,2020-05-08T23:32:35
ES,Spain,223578,26478,133952,2020-05-09T23:32:33
ES,Spain,224350,26621,136166,2020-05-10T23:32:32
ES,Spain,227436,26744,137139,2020-05-11T23:32:30
ES,Spain,228030,26920,138980,2020-05-12T23:32:26
ES,Spain,228691,27104,140823,2020-05-13T23:32:26
ES,Spain,229540,27321,143374,2020-05-14T23:32:28
ES,Spain,230183,27459,144783,2020-05-15T23:32:20
ES,Spain,230698,27563,146446,2020-05-16T23:32:19
ES,Spain,230698,27563,146446,2020-05-17T23:32:23
ES,Spain,231606,27709,150376,2020-05-18T23:32:29
ES,Spain,232037,27778,0,2020-05-19T23:32:20
ES,Spain,232555,27888,150376,2020-05-20T23:32:52
ES,Spain,233037,27940,150376,2020-05-21T23:32:39
ES,Spain,233037,27940,150376,2020-05-22T12:32:39
