country,name,cases,deaths,recovered,last_update
ET,Ethiopia,1,0,0,2020-03-11T20:00:00
ET,Ethiopia,1,0,0,2020-03-13T23:33:06
ET,Ethiopia,5,0,0,2020-03-16T14:38:45
ET,Ethiopia,6,0,0,2020-03-18T11:33:04
ET,Ethiopia,9,0,0,2020-03-20T14:13:11
ET,Ethiopia,11,0,0,2020-03-22T23:45:00
ET,Ethiopia,11,0,0,2020-03-23T23:19:21
ET,Ethiopia,12,0,0,2020-03-24T23:37:15
ET,Ethiopia,12,0,0,2020-03-25T23:33:04
ET,Ethiopia,12,0,0,2020-03-26T23:48:18
ET,Ethiopia,16,0,0,2020-03-27T23:23:03
ET,Ethiopia,16,0,1,2020-03-28T23:05:25
ET,Ethiopia,21,0,1,2020-03-29T23:08:13
ET,Ethiopia,23,0,4,2020-03-30T22:52:33
ET,Ethiopia,26,0,2,2020-03-31T23:43:43
ET,Ethiopia,29,0,2,2020-04-01T21:58:34
ET,Ethiopia,29,0,3,2020-04-02T23:25:14
ET,Ethiopia,35,0,3,2020-04-03T23:56:18
ET,Ethiopia,38,0,4,2020-04-04T23:34:04
ET,Ethiopia,43,2,4,2020-04-05T23:06:26
ET,Ethiopia,44,2,4,2020-04-06T23:21:55
ET,Ethiopia,52,2,4,2020-04-07T23:04:29
ET,Ethiopia,55,2,4,2020-04-08T22:51:39
ET,Ethiopia,56,2,4,2020-04-09T23:02:19
ET,Ethiopia,65,3,4,2020-04-10T22:53:48
ET,Ethiopia,69,3,10,2020-04-11T23:56:45
ET,Ethiopia,69,3,10,2020-04-12T03:31:35
ET,Ethiopia,74,3,14,2020-04-13T23:07:34
ET,Ethiopia,82,3,14,2020-04-14T23:33:12
ET,Ethiopia,85,3,15,2020-04-15T22:56:32
ET,Ethiopia,92,3,15,2020-04-16T23:30:31
ET,Ethiopia,96,3,15,2020-04-17T23:30:32
ET,Ethiopia,105,3,16,2020-04-18T22:32:28
ET,Ethiopia,108,3,16,2020-04-19T23:40:41
ET,Ethiopia,111,3,16,2020-04-20T23:36:27
ET,Ethiopia,114,3,16,2020-04-21T23:30:30
ET,Ethiopia,116,3,21,2020-04-22T23:30:32
ET,Ethiopia,116,3,21,2020-04-23T23:30:31
ET,Ethiopia,117,3,25,2020-04-24T21:30:34
ET,Ethiopia,122,3,29,2020-04-25T23:30:33
ET,Ethiopia,123,3,41,2020-04-26T23:30:31
ET,Ethiopia,124,3,50,2020-04-27T23:30:31
ET,Ethiopia,126,3,50,2020-04-28T23:32:24
ET,Ethiopia,130,3,58,2020-04-29T23:32:26
ET,Ethiopia,131,3,59,2020-04-30T23:32:27
ET,Ethiopia,133,3,66,2020-05-01T23:32:36
ET,Ethiopia,133,3,69,2020-05-02T23:32:31
ET,Ethiopia,135,3,75,2020-05-03T23:32:29
ET,Ethiopia,140,3,75,2020-05-04T22:32:33
ET,Ethiopia,145,4,91,2020-05-05T23:32:29
ET,Ethiopia,162,4,93,2020-05-06T23:32:28
ET,Ethiopia,191,4,93,2020-05-07T22:32:32
ET,Ethiopia,194,4,95,2020-05-08T23:32:35
ET,Ethiopia,210,5,97,2020-05-09T23:32:33
ET,Ethiopia,239,5,99,2020-05-10T23:32:32
ET,Ethiopia,250,5,105,2020-05-11T23:32:30
ET,Ethiopia,261,5,106,2020-05-12T23:32:26
ET,Ethiopia,263,5,108,2020-05-13T23:32:26
ET,Ethiopia,272,5,108,2020-05-14T23:32:28
ET,Ethiopia,287,5,112,2020-05-15T23:32:20
ET,Ethiopia,306,5,113,2020-05-16T23:32:19
ET,Ethiopia,317,5,113,2020-05-17T23:32:23
ET,Ethiopia,352,5,116,2020-05-18T23:32:29
ET,Ethiopia,365,5,120,2020-05-19T23:32:20
ET,Ethiopia,389,5,122,2020-05-20T23:32:52
ET,Ethiopia,399,5,123,2020-05-21T23:32:39
ET,Ethiopia,433,5,128,2020-05-22T23:32:40
ET,Ethiopia,494,5,151,2020-05-23T19:06:14
