country,name,cases,deaths,recovered,last_update
FI,Finland,1,0,0,2020-01-29T19:30:00
FI,Finland,1,0,0,2020-01-30T16:00:00
FI,Finland,1,0,0,2020-01-31T08:15:00
FI,Finland,1,0,0,2020-01-31T08:15:53
FI,Finland,1,0,0,2020-01-31T23:59:00
FI,Finland,1,0,1,2020-02-12T00:03:12
FI,Finland,2,0,1,2020-02-26T19:03:08
FI,Finland,3,0,1,2020-02-29T05:23:03
FI,Finland,6,0,1,2020-03-01T23:23:02
FI,Finland,12,0,1,2020-03-05T13:53:03
FI,Finland,15,0,1,2020-03-06T13:03:12
FI,Finland,23,0,1,2020-03-08T10:03:13
FI,Finland,30,0,1,2020-03-09T09:23:03
FI,Finland,40,0,1,2020-03-10T10:13:30
FI,Finland,59,0,1,2020-03-11T13:33:10
FI,Finland,155,0,1,2020-03-11T20:00:00
FI,Finland,225,0,1,2020-03-14T22:33:03
FI,Finland,244,0,10,2020-03-15T18:20:18
FI,Finland,277,0,10,2020-03-16T14:38:45
FI,Finland,321,0,10,2020-03-17T12:33:06
FI,Finland,336,0,10,2020-03-18T13:13:13
FI,Finland,400,0,10,2020-03-19T16:13:36
FI,Finland,450,0,10,2020-03-20T15:43:24
FI,Finland,523,1,10,2020-03-21T20:43:02
FI,Finland,626,1,10,2020-03-22T23:45:00
FI,Finland,700,1,10,2020-03-23T23:19:21
FI,Finland,792,1,10,2020-03-24T23:37:15
FI,Finland,880,3,10,2020-03-25T23:33:04
FI,Finland,958,5,10,2020-03-26T23:48:18
FI,Finland,1041,7,10,2020-03-27T23:23:03
FI,Finland,1167,9,10,2020-03-28T23:05:25
FI,Finland,1240,11,10,2020-03-29T23:08:13
FI,Finland,1352,13,10,2020-03-30T22:52:33
FI,Finland,1418,17,10,2020-03-31T23:43:43
FI,Finland,1446,17,10,2020-04-01T21:58:34
FI,Finland,1518,19,300,2020-04-02T23:25:14
FI,Finland,1615,20,300,2020-04-03T23:56:18
FI,Finland,1882,25,300,2020-04-04T23:34:04
FI,Finland,1927,28,300,2020-04-05T23:06:26
FI,Finland,2176,27,300,2020-04-06T23:21:55
FI,Finland,2308,34,300,2020-04-07T23:04:29
FI,Finland,2487,40,300,2020-04-08T22:51:39
FI,Finland,2605,42,300,2020-04-09T23:02:19
FI,Finland,2769,48,300,2020-04-10T22:53:48
FI,Finland,2905,49,300,2020-04-11T23:56:45
FI,Finland,2905,49,300,2020-04-12T03:31:35
FI,Finland,3064,59,300,2020-04-13T23:07:34
FI,Finland,3161,64,300,2020-04-14T23:33:12
FI,Finland,3237,72,300,2020-04-15T22:56:32
FI,Finland,3369,75,1700,2020-04-16T23:30:31
FI,Finland,3489,82,1700,2020-04-17T23:30:32
FI,Finland,3681,90,1700,2020-04-18T22:32:28
FI,Finland,3783,94,1700,2020-04-19T23:40:41
FI,Finland,3868,98,2000,2020-04-20T23:36:27
FI,Finland,4014,141,2000,2020-04-21T23:30:30
FI,Finland,4129,149,2000,2020-04-22T23:30:32
FI,Finland,4284,172,2000,2020-04-23T23:30:31
FI,Finland,4395,177,2500,2020-04-24T21:30:34
FI,Finland,4475,186,2500,2020-04-25T23:30:33
FI,Finland,4576,190,2500,2020-04-26T23:30:31
FI,Finland,4695,193,2500,2020-04-27T23:30:31
FI,Finland,4740,199,2800,2020-04-28T23:32:24
FI,Finland,4906,206,2800,2020-04-29T23:32:26
FI,Finland,4995,211,3000,2020-04-30T23:32:27
FI,Finland,5051,218,3000,2020-05-01T23:32:36
FI,Finland,5176,220,3000,2020-05-02T23:32:31
FI,Finland,5254,230,3000,2020-05-03T23:32:29
FI,Finland,5327,240,3500,2020-05-04T22:32:33
FI,Finland,5412,246,3500,2020-05-05T23:32:29
FI,Finland,5573,252,3500,2020-05-06T23:32:28
FI,Finland,5673,255,3500,2020-05-07T22:32:32
FI,Finland,5738,260,4000,2020-05-08T23:32:35
FI,Finland,5880,265,4000,2020-05-09T23:32:33
FI,Finland,5962,267,4000,2020-05-10T23:32:32
FI,Finland,5984,271,4000,2020-05-11T23:32:30
FI,Finland,6003,275,4300,2020-05-12T23:32:26
FI,Finland,6054,284,4300,2020-05-13T23:32:26
FI,Finland,6145,287,4300,2020-05-14T23:32:28
FI,Finland,6228,293,5000,2020-05-15T23:32:20
FI,Finland,6286,297,5000,2020-05-16T23:32:19
FI,Finland,6347,298,5000,2020-05-17T23:32:23
FI,Finland,6380,300,5000,2020-05-18T23:32:29
FI,Finland,6399,301,5000,2020-05-19T23:32:20
FI,Finland,6443,304,4800,2020-05-20T23:32:52
FI,Finland,6493,306,4800,2020-05-21T23:32:39
FI,Finland,6537,306,4800,2020-05-22T23:32:40
FI,Finland,6568,306,4800,2020-05-23T19:06:14
