country,name,cases,deaths,recovered,last_update
FR,France,2,0,0,2020-01-24T17:00:00
FR,France,3,0,0,2020-01-25T17:00:00
FR,France,3,0,0,2020-01-26T16:00:00
FR,France,3,0,0,2020-01-27T23:59:00
FR,France,4,0,0,2020-01-28T23:00:00
FR,France,5,0,0,2020-01-29T19:30:00
FR,France,5,0,0,2020-01-30T16:00:00
FR,France,5,0,0,2020-01-31T23:59:00
FR,France,6,0,0,2020-02-01T01:52:00
FR,France,6,0,0,2020-02-01T01:52:40
FR,France,11,0,0,2020-02-08T09:53:01
FR,France,11,0,2,2020-02-12T18:53:02
FR,France,12,1,4,2020-02-15T20:53:02
FR,France,14,1,11,2020-02-25T21:23:03
FR,France,18,2,11,2020-02-26T20:03:06
FR,France,38,2,11,2020-02-27T22:13:10
FR,France,57,2,11,2020-02-28T20:13:09
FR,France,100,2,12,2020-02-29T19:03:04
FR,France,130,2,12,2020-03-01T20:43:02
FR,France,191,3,12,2020-03-02T20:33:02
FR,France,204,4,12,2020-03-03T15:23:03
FR,France,285,4,12,2020-03-04T20:43:02
FR,France,377,6,12,2020-03-05T15:13:22
FR,France,653,9,12,2020-03-06T20:13:13
FR,France,949,11,12,2020-03-07T20:33:02
FR,France,1126,19,12,2020-03-08T18:03:04
FR,France,1209,19,12,2020-03-09T00:43:03
FR,France,1784,33,12,2020-03-10T18:53:02
FR,France,3667,79,12,2020-03-11T20:00:00
FR,France,2284,48,12,2020-03-11T22:53:03
FR,France,4480,91,12,2020-03-14T20:13:16
FR,France,4513,91,12,2020-03-15T18:20:19
FR,France,6650,148,12,2020-03-16T20:13:11
FR,France,7683,148,12,2020-03-17T19:13:08
FR,France,9052,148,12,2020-03-18T18:33:02
FR,France,10886,243,12,2020-03-19T20:43:02
FR,France,12632,450,12,2020-03-20T22:43:03
FR,France,14308,562,12,2020-03-21T20:43:02
FR,France,16214,676,2201,2020-03-22T23:45:00
FR,France,20123,862,2207,2020-03-23T23:19:21
FR,France,22622,1102,3288,2020-03-24T23:37:15
FR,France,25600,1333,3907,2020-03-25T23:33:04
FR,France,29551,1698,4955,2020-03-26T23:48:18
FR,France,33402,1997,5707,2020-03-27T23:23:03
FR,France,38105,2317,5724,2020-03-28T23:05:25
FR,France,40708,2611,7226,2020-03-29T23:08:13
FR,France,45170,3030,7964,2020-03-30T22:52:33
FR,France,52827,3532,9513,2020-03-31T23:43:43
FR,France,57749,4043,11053,2020-04-01T21:58:34
FR,France,59929,5398,12548,2020-04-02T23:25:14
FR,France,65202,6520,14135,2020-04-03T23:56:18
FR,France,90848,7574,15572,2020-04-04T23:34:04
FR,France,93773,8093,16349,2020-04-05T23:06:26
FR,France,98963,8926,17428,2020-04-06T23:21:55
FR,France,110065,10343,19523,2020-04-07T23:04:29
FR,France,113959,10887,21452,2020-04-08T22:51:39
FR,France,118781,12228,23413,2020-04-09T23:02:19
FR,France,125931,13215,25195,2020-04-10T22:53:48
FR,France,130727,13851,26663,2020-04-11T23:56:45
FR,France,130730,13851,26671,2020-04-12T03:31:35
FR,France,137875,14986,28001,2020-04-13T23:07:34
FR,France,131361,15748,29098,2020-04-14T23:33:12
FR,France,134582,17188,31470,2020-04-15T22:56:32
FR,France,147091,17941,33327,2020-04-16T23:30:31
FR,France,149130,18703,35006,2020-04-17T23:30:32
FR,France,149149,19345,36587,2020-04-18T22:32:28
FR,France,154097,19744,37183,2020-04-19T23:40:41
FR,France,156480,20292,38036,2020-04-20T23:36:27
FR,France,159297,20829,39819,2020-04-21T23:30:30
FR,France,157125,21373,41326,2020-04-22T23:30:32
FR,France,159460,21889,42762,2020-04-23T23:30:31
FR,France,159495,22278,44197,2020-04-24T21:30:34
FR,France,161639,22648,45372,2020-04-25T23:30:33
FR,France,162220,22890,45681,2020-04-26T23:30:31
FR,France,165962,23327,46293,2020-04-27T23:30:31
FR,France,169053,23694,47775,2020-04-28T23:32:24
FR,France,166541,24121,49117,2020-04-29T23:32:26
FR,France,167299,24410,50380,2020-04-30T23:32:27
FR,France,167305,24628,51124,2020-05-01T23:32:36
FR,France,168518,24763,50663,2020-05-02T23:32:31
FR,France,168814,24898,50885,2020-05-03T23:32:29
FR,France,169583,25204,51474,2020-05-04T22:32:33
FR,France,170687,25537,52842,2020-05-05T23:32:29
FR,France,174224,25812,54078,2020-05-06T23:32:28
FR,France,174917,25990,55189,2020-05-07T22:32:32
FR,France,176209,26233,55893,2020-05-08T23:32:35
FR,France,176782,26313,56148,2020-05-09T23:32:33
FR,France,177094,26383,56327,2020-05-10T23:32:32
FR,France,177547,26646,56835,2020-05-11T23:32:30
FR,France,178349,26994,57898,2020-05-12T23:32:26
FR,France,178184,27077,58786,2020-05-13T23:32:26
FR,France,178994,27428,59719,2020-05-14T23:32:28
FR,France,179630,27532,60562,2020-05-15T23:32:20
FR,France,179630,27532,60562,2020-05-16T23:32:19
FR,France,179693,28111,61327,2020-05-17T23:32:23
FR,France,180051,28242,61842,2020-05-18T23:32:29
FR,France,180051,28242,61843,2020-05-19T14:32:25
