country,name,cases,deaths,recovered,last_update
GA,Gabon,1,0,0,2020-03-14T13:33:04
GA,Gabon,3,1,0,2020-03-20T15:13:21
GA,Gabon,4,1,0,2020-03-21T02:13:32
GA,Gabon,5,1,0,2020-03-22T23:45:00
GA,Gabon,5,1,0,2020-03-23T23:19:21
GA,Gabon,6,1,0,2020-03-24T23:37:15
GA,Gabon,6,1,0,2020-03-25T23:33:04
GA,Gabon,7,1,0,2020-03-26T23:48:18
GA,Gabon,7,1,0,2020-03-27T23:23:03
GA,Gabon,7,1,0,2020-03-28T23:05:25
GA,Gabon,7,1,0,2020-03-29T23:08:13
GA,Gabon,7,1,0,2020-03-30T22:52:33
GA,Gabon,16,1,0,2020-03-31T23:43:43
GA,Gabon,18,1,0,2020-04-01T21:58:34
GA,Gabon,21,1,0,2020-04-02T23:25:14
GA,Gabon,21,1,1,2020-04-03T23:56:18
GA,Gabon,21,1,1,2020-04-04T23:34:04
GA,Gabon,21,1,1,2020-04-05T23:06:26
GA,Gabon,24,1,1,2020-04-06T23:21:55
GA,Gabon,30,1,1,2020-04-07T23:04:29
GA,Gabon,34,1,1,2020-04-08T22:51:39
GA,Gabon,44,1,1,2020-04-09T23:02:19
GA,Gabon,44,1,1,2020-04-10T22:53:48
GA,Gabon,46,1,1,2020-04-11T23:56:45
GA,Gabon,46,1,1,2020-04-12T03:31:35
GA,Gabon,57,1,1,2020-04-13T23:07:34
GA,Gabon,57,1,1,2020-04-14T23:33:12
GA,Gabon,80,1,4,2020-04-15T22:56:32
GA,Gabon,80,1,4,2020-04-16T23:30:31
GA,Gabon,108,1,7,2020-04-17T23:30:32
GA,Gabon,108,1,7,2020-04-18T22:32:28
GA,Gabon,109,1,7,2020-04-19T23:40:41
GA,Gabon,120,1,7,2020-04-20T23:36:27
GA,Gabon,156,1,16,2020-04-21T23:30:30
GA,Gabon,166,1,24,2020-04-22T23:30:32
GA,Gabon,167,2,24,2020-04-23T23:30:31
GA,Gabon,172,3,26,2020-04-24T21:30:34
GA,Gabon,172,3,26,2020-04-25T23:30:33
GA,Gabon,176,3,30,2020-04-26T23:30:31
GA,Gabon,211,3,43,2020-04-27T23:30:31
GA,Gabon,238,3,53,2020-04-28T23:32:24
GA,Gabon,238,3,53,2020-04-29T23:32:26
GA,Gabon,276,3,67,2020-04-30T23:32:27
GA,Gabon,276,3,67,2020-05-01T23:32:36
GA,Gabon,335,5,85,2020-05-02T23:32:31
GA,Gabon,335,5,85,2020-05-03T23:32:29
GA,Gabon,367,6,93,2020-05-04T22:32:33
GA,Gabon,397,6,93,2020-05-05T23:32:29
GA,Gabon,397,6,93,2020-05-06T23:32:28
GA,Gabon,504,8,110,2020-05-07T22:32:32
GA,Gabon,504,8,110,2020-05-08T23:32:35
GA,Gabon,661,8,110,2020-05-09T23:32:33
GA,Gabon,661,8,110,2020-05-10T23:32:32
GA,Gabon,802,9,127,2020-05-11T23:32:30
GA,Gabon,863,9,137,2020-05-12T23:32:26
GA,Gabon,863,9,137,2020-05-13T23:32:26
GA,Gabon,1104,10,182,2020-05-14T23:32:28
GA,Gabon,1209,10,219,2020-05-15T23:32:20
GA,Gabon,1320,11,244,2020-05-16T23:32:19
GA,Gabon,1320,11,244,2020-05-17T23:32:23
GA,Gabon,1320,11,244,2020-05-18T23:32:29
GA,Gabon,1432,11,301,2020-05-19T14:32:25
