country,name,cases,deaths,recovered,last_update
GB,United Kingdom of Great Britain and Northern Ireland,2,0,0,2020-01-31T23:59:00
GB,United Kingdom of Great Britain and Northern Ireland,2,0,0,2020-02-01T01:52:00
GB,United Kingdom of Great Britain and Northern Ireland,2,0,0,2020-02-01T01:52:40
GB,United Kingdom of Great Britain and Northern Ireland,3,0,0,2020-02-07T18:33:02
GB,United Kingdom of Great Britain and Northern Ireland,8,0,0,2020-02-10T19:03:02
GB,United Kingdom of Great Britain and Northern Ireland,9,0,1,2020-02-12T19:03:06
GB,United Kingdom of Great Britain and Northern Ireland,9,0,8,2020-02-16T16:23:06
GB,United Kingdom of Great Britain and Northern Ireland,13,0,8,2020-02-24T08:33:02
GB,United Kingdom of Great Britain and Northern Ireland,15,0,8,2020-02-27T13:23:02
GB,United Kingdom of Great Britain and Northern Ireland,20,0,8,2020-02-28T20:13:09
GB,United Kingdom of Great Britain and Northern Ireland,23,0,8,2020-02-29T18:03:05
GB,United Kingdom of Great Britain and Northern Ireland,36,0,8,2020-03-01T23:23:02
GB,United Kingdom of Great Britain and Northern Ireland,40,0,8,2020-03-02T20:33:02
GB,United Kingdom of Great Britain and Northern Ireland,51,0,8,2020-03-03T15:13:26
GB,United Kingdom of Great Britain and Northern Ireland,85,0,8,2020-03-04T19:33:03
GB,United Kingdom of Great Britain and Northern Ireland,115,1,8,2020-03-05T18:03:03
GB,United Kingdom of Great Britain and Northern Ireland,163,2,8,2020-03-06T15:33:03
GB,United Kingdom of Great Britain and Northern Ireland,206,2,18,2020-03-07T17:43:05
GB,United Kingdom of Great Britain and Northern Ireland,273,3,18,2020-03-08T22:03:10
GB,United Kingdom of Great Britain and Northern Ireland,321,4,18,2020-03-09T18:33:03
GB,United Kingdom of Great Britain and Northern Ireland,382,6,18,2020-03-10T23:53:02
GB,United Kingdom of Great Britain and Northern Ireland,801,8,19,2020-03-11T20:00:00
GB,United Kingdom of Great Britain and Northern Ireland,459,8,19,2020-03-11T21:33:03
GB,United Kingdom of Great Britain and Northern Ireland,1143,21,19,2020-03-14T16:33:03
GB,United Kingdom of Great Britain and Northern Ireland,1144,21,19,2020-03-15T18:20:19
GB,United Kingdom of Great Britain and Northern Ireland,1551,56,21,2020-03-16T19:13:13
GB,United Kingdom of Great Britain and Northern Ireland,1960,56,53,2020-03-17T15:13:09
GB,United Kingdom of Great Britain and Northern Ireland,2642,72,67,2020-03-18T14:53:05
GB,United Kingdom of Great Britain and Northern Ireland,2716,138,67,2020-03-19T20:13:56
GB,United Kingdom of Great Britain and Northern Ireland,4014,178,67,2020-03-20T20:43:03
GB,United Kingdom of Great Britain and Northern Ireland,5067,234,67,2020-03-21T21:13:29
GB,United Kingdom of Great Britain and Northern Ireland,5741,282,95,2020-03-22T23:45:00
GB,United Kingdom of Great Britain and Northern Ireland,6726,336,140,2020-03-23T23:19:21
GB,United Kingdom of Great Britain and Northern Ireland,8164,423,140,2020-03-24T23:37:15
GB,United Kingdom of Great Britain and Northern Ireland,9640,466,140,2020-03-25T23:33:04
GB,United Kingdom of Great Britain and Northern Ireland,11812,580,150,2020-03-26T23:48:18
GB,United Kingdom of Great Britain and Northern Ireland,14745,761,151,2020-03-27T23:23:03
GB,United Kingdom of Great Britain and Northern Ireland,17312,1021,151,2020-03-28T23:05:25
GB,United Kingdom of Great Britain and Northern Ireland,19780,1231,151,2020-03-29T23:08:13
GB,United Kingdom of Great Britain and Northern Ireland,22453,1411,171,2020-03-30T22:52:33
GB,United Kingdom of Great Britain and Northern Ireland,25481,1793,179,2020-03-31T23:43:43
GB,United Kingdom of Great Britain and Northern Ireland,29865,2357,179,2020-04-01T21:58:34
GB,United Kingdom of Great Britain and Northern Ireland,34173,2926,192,2020-04-02T23:25:14
