country,name,cases,deaths,recovered,last_update
GE,Georgia,1,0,0,2020-02-26T19:03:08
GE,Georgia,1,0,0,2020-02-27T16:23:03
GE,Georgia,3,0,0,2020-03-01T15:43:03
GE,Georgia,4,0,0,2020-03-05T13:53:03
GE,Georgia,13,0,0,2020-03-08T05:23:03
GE,Georgia,15,0,0,2020-03-09T10:13:06
GE,Georgia,25,0,0,2020-03-11T20:00:00
GE,Georgia,24,0,0,2020-03-11T22:13:12
GE,Georgia,30,0,0,2020-03-14T12:33:03
GE,Georgia,33,0,1,2020-03-16T02:13:16
GE,Georgia,34,0,1,2020-03-17T11:13:29
GE,Georgia,38,0,1,2020-03-18T11:33:04
GE,Georgia,40,0,1,2020-03-19T10:53:03
GE,Georgia,43,0,1,2020-03-20T14:43:04
GE,Georgia,49,0,1,2020-03-21T17:43:03
GE,Georgia,54,0,1,2020-03-22T23:45:00
GE,Georgia,61,0,8,2020-03-23T23:19:21
GE,Georgia,70,0,9,2020-03-24T23:37:15
GE,Georgia,75,0,10,2020-03-25T23:33:04
GE,Georgia,79,0,11,2020-03-26T23:48:18
GE,Georgia,83,0,14,2020-03-27T23:23:03
GE,Georgia,90,0,14,2020-03-28T23:05:25
GE,Georgia,91,0,18,2020-03-29T23:08:13
GE,Georgia,103,0,20,2020-03-30T22:52:33
GE,Georgia,110,0,21,2020-03-31T23:43:43
GE,Georgia,117,0,23,2020-04-01T21:58:34
GE,Georgia,134,0,26,2020-04-02T23:25:14
GE,Georgia,155,0,28,2020-04-03T23:56:18
GE,Georgia,162,1,36,2020-04-04T23:34:04
GE,Georgia,174,2,36,2020-04-05T23:06:26
GE,Georgia,188,2,39,2020-04-06T23:21:55
GE,Georgia,196,3,46,2020-04-07T23:04:29
GE,Georgia,211,3,50,2020-04-08T22:51:39
GE,Georgia,218,3,51,2020-04-09T23:02:19
GE,Georgia,234,3,54,2020-04-10T22:53:48
GE,Georgia,242,3,60,2020-04-11T23:56:45
GE,Georgia,242,3,60,2020-04-12T03:31:35
GE,Georgia,272,3,68,2020-04-13T23:07:34
GE,Georgia,300,3,69,2020-04-14T23:33:12
GE,Georgia,306,3,71,2020-04-15T22:56:32
GE,Georgia,348,3,76,2020-04-16T23:30:31
GE,Georgia,370,3,79,2020-04-17T23:30:32
GE,Georgia,388,4,86,2020-04-18T22:32:28
GE,Georgia,394,4,93,2020-04-19T23:40:41
GE,Georgia,402,4,95,2020-04-20T23:36:27
GE,Georgia,408,4,97,2020-04-21T23:30:30
GE,Georgia,416,5,107,2020-04-22T23:30:32
GE,Georgia,425,5,111,2020-04-23T23:30:31
GE,Georgia,444,5,132,2020-04-24T21:30:34
GE,Georgia,456,5,139,2020-04-25T23:30:33
GE,Georgia,486,6,149,2020-04-26T23:30:31
GE,Georgia,497,6,156,2020-04-27T23:30:31
GE,Georgia,511,6,168,2020-04-28T23:32:24
GE,Georgia,517,6,178,2020-04-29T23:32:26
GE,Georgia,539,6,184,2020-04-30T23:32:27
GE,Georgia,566,7,207,2020-05-01T23:32:36
GE,Georgia,582,8,207,2020-05-02T23:32:31
GE,Georgia,589,9,221,2020-05-03T23:32:29
GE,Georgia,593,9,223,2020-05-04T22:32:33
GE,Georgia,604,9,240,2020-05-05T23:32:29
GE,Georgia,610,9,269,2020-05-06T23:32:28
GE,Georgia,615,9,275,2020-05-07T22:32:32
GE,Georgia,623,10,288,2020-05-08T23:32:35
GE,Georgia,626,10,297,2020-05-09T23:32:33
GE,Georgia,635,10,309,2020-05-10T23:32:32
GE,Georgia,638,11,317,2020-05-11T23:32:30
GE,Georgia,642,11,349,2020-05-12T23:32:26
GE,Georgia,647,11,372,2020-05-13T23:32:26
GE,Georgia,667,12,383,2020-05-14T23:32:28
GE,Georgia,671,12,393,2020-05-15T23:32:20
GE,Georgia,683,12,419,2020-05-16T23:32:19
GE,Georgia,695,12,425,2020-05-17T23:32:23
GE,Georgia,701,12,432,2020-05-18T23:32:29
GE,Georgia,702,12,456,2020-05-19T14:32:25
