country,name,cases,deaths,recovered,last_update
GH,Ghana,3,0,0,2020-03-14T23:13:05
GH,Ghana,6,0,0,2020-03-15T18:20:18
GH,Ghana,7,0,0,2020-03-17T19:33:02
GH,Ghana,11,0,0,2020-03-19T17:13:24
GH,Ghana,16,0,0,2020-03-20T15:43:24
GH,Ghana,19,1,0,2020-03-21T23:13:17
GH,Ghana,23,1,0,2020-03-22T23:45:00
GH,Ghana,27,2,0,2020-03-23T23:19:21
GH,Ghana,53,2,0,2020-03-24T23:37:15
GH,Ghana,93,4,0,2020-03-25T23:33:04
GH,Ghana,132,4,1,2020-03-26T23:48:18
GH,Ghana,137,4,2,2020-03-27T23:23:03
GH,Ghana,141,5,2,2020-03-28T23:05:25
GH,Ghana,152,5,2,2020-03-29T23:08:13
GH,Ghana,152,5,2,2020-03-30T22:52:33
GH,Ghana,161,5,31,2020-03-31T23:43:43
GH,Ghana,195,5,31,2020-04-01T21:58:34
GH,Ghana,204,5,31,2020-04-02T23:25:14
GH,Ghana,205,5,31,2020-04-03T23:56:18
GH,Ghana,205,5,31,2020-04-04T23:34:04
GH,Ghana,214,5,31,2020-04-05T23:06:26
GH,Ghana,214,5,31,2020-04-06T23:21:55
GH,Ghana,287,5,31,2020-04-07T23:04:29
GH,Ghana,313,6,34,2020-04-08T22:51:39
GH,Ghana,378,6,3,2020-04-09T23:02:19
GH,Ghana,378,6,4,2020-04-10T22:53:48
GH,Ghana,408,8,4,2020-04-11T23:56:45
GH,Ghana,408,8,4,2020-04-12T03:31:35
GH,Ghana,566,8,4,2020-04-13T23:07:34
GH,Ghana,636,8,17,2020-04-14T23:33:12
GH,Ghana,636,8,17,2020-04-15T22:56:32
GH,Ghana,641,8,83,2020-04-16T23:30:31
GH,Ghana,641,8,83,2020-04-17T23:30:32
GH,Ghana,834,9,99,2020-04-18T22:32:28
GH,Ghana,1042,9,99,2020-04-19T23:40:41
GH,Ghana,1042,9,99,2020-04-20T23:36:27
GH,Ghana,1042,9,99,2020-04-21T23:30:30
GH,Ghana,1154,9,99,2020-04-22T23:30:32
GH,Ghana,1154,9,99,2020-04-23T23:30:31
GH,Ghana,1279,10,134,2020-04-24T21:30:34
GH,Ghana,1279,10,134,2020-04-25T23:30:33
GH,Ghana,1550,11,155,2020-04-26T23:30:31
GH,Ghana,1550,11,155,2020-04-27T23:30:31
GH,Ghana,1671,16,188,2020-04-28T23:32:24
GH,Ghana,1671,16,188,2020-04-29T23:32:26
GH,Ghana,2074,17,212,2020-04-30T23:32:27
GH,Ghana,2074,17,212,2020-05-01T23:32:36
GH,Ghana,2169,18,229,2020-05-02T23:32:31
GH,Ghana,2169,18,229,2020-05-03T23:32:29
GH,Ghana,2719,18,294,2020-05-04T22:32:33
GH,Ghana,2719,18,294,2020-05-05T23:32:29
GH,Ghana,2719,18,294,2020-05-06T23:32:28
GH,Ghana,3091,18,303,2020-05-07T22:32:32
GH,Ghana,4012,18,323,2020-05-08T23:32:35
GH,Ghana,4263,22,378,2020-05-09T23:32:33
GH,Ghana,4263,22,378,2020-05-10T23:32:32
GH,Ghana,4700,22,494,2020-05-11T23:32:30
GH,Ghana,5127,22,494,2020-05-12T23:32:26
GH,Ghana,5408,24,514,2020-05-13T23:32:26
GH,Ghana,5530,24,674,2020-05-14T23:32:28
GH,Ghana,5530,24,674,2020-05-15T23:32:20
GH,Ghana,5735,29,1754,2020-05-16T23:32:19
GH,Ghana,5735,29,1754,2020-05-17T23:32:23
GH,Ghana,5735,29,1754,2020-05-18T23:32:29
GH,Ghana,6096,31,1773,2020-05-19T23:32:20
GH,Ghana,6096,31,1773,2020-05-20T23:32:52
GH,Ghana,6269,31,1898,2020-05-21T23:32:39
GH,Ghana,6486,31,1951,2020-05-22T23:32:40
GH,Ghana,6617,31,1978,2020-05-23T19:06:14
