country,name,cases,deaths,recovered,last_update
GN,Guinea,1,0,0,2020-03-11T20:00:00
GN,Guinea,1,0,0,2020-03-13T15:33:33
GN,Guinea,1,0,0,2020-03-15T06:41:54
GN,Guinea,2,0,0,2020-03-21T02:13:32
GN,Guinea,2,0,0,2020-03-22T23:45:00
GN,Guinea,4,0,0,2020-03-23T23:19:21
GN,Guinea,4,0,0,2020-03-24T23:37:15
GN,Guinea,4,0,0,2020-03-25T23:33:04
GN,Guinea,4,0,0,2020-03-26T23:48:18
GN,Guinea,8,0,0,2020-03-27T23:23:03
GN,Guinea,8,0,0,2020-03-28T23:05:25
GN,Guinea,16,0,0,2020-03-29T23:08:13
GN,Guinea,22,0,0,2020-03-30T22:52:33
GN,Guinea,22,0,0,2020-03-31T23:43:43
GN,Guinea,30,0,0,2020-04-01T21:58:34
GN,Guinea,52,0,0,2020-04-02T23:25:14
GN,Guinea,73,0,2,2020-04-03T23:56:18
GN,Guinea,111,0,5,2020-04-04T23:34:04
GN,Guinea,121,0,5,2020-04-05T23:06:26
GN,Guinea,128,0,5,2020-04-06T23:21:55
GN,Guinea,144,0,5,2020-04-07T23:04:29
GN,Guinea,164,0,5,2020-04-08T22:51:39
GN,Guinea,194,0,11,2020-04-09T23:02:19
GN,Guinea,212,0,15,2020-04-10T22:53:48
GN,Guinea,250,0,17,2020-04-11T23:56:45
GN,Guinea,250,0,17,2020-04-12T03:31:35
GN,Guinea,319,0,17,2020-04-13T23:07:34
GN,Guinea,363,0,31,2020-04-14T23:33:12
GN,Guinea,404,1,31,2020-04-15T22:56:32
GN,Guinea,438,1,49,2020-04-16T23:30:31
GN,Guinea,477,3,59,2020-04-17T23:30:32
GN,Guinea,518,3,65,2020-04-18T22:32:28
GN,Guinea,579,5,87,2020-04-19T23:40:41
GN,Guinea,622,5,122,2020-04-20T23:36:27
GN,Guinea,688,6,127,2020-04-21T23:30:30
GN,Guinea,761,6,164,2020-04-22T23:30:32
GN,Guinea,862,6,170,2020-04-23T23:30:31
GN,Guinea,862,6,170,2020-04-24T21:30:34
GN,Guinea,996,7,208,2020-04-25T23:30:33
GN,Guinea,996,7,208,2020-04-26T23:30:31
GN,Guinea,1163,7,246,2020-04-27T23:30:31
GN,Guinea,1240,7,269,2020-04-28T23:32:24
GN,Guinea,1351,7,313,2020-04-29T23:32:26
GN,Guinea,1495,7,329,2020-04-30T23:32:27
GN,Guinea,1537,7,342,2020-05-01T23:32:36
GN,Guinea,1586,7,405,2020-05-02T23:32:31
GN,Guinea,1586,7,405,2020-05-03T23:32:29
GN,Guinea,1710,9,450,2020-05-04T22:32:33
GN,Guinea,1811,10,498,2020-05-05T23:32:29
GN,Guinea,1856,11,597,2020-05-06T23:32:28
GN,Guinea,1927,11,629,2020-05-07T22:32:32
GN,Guinea,2009,11,663,2020-05-08T23:32:35
GN,Guinea,2042,11,698,2020-05-09T23:32:33
GN,Guinea,2146,11,714,2020-05-10T23:32:32
GN,Guinea,2146,11,714,2020-05-11T23:32:30
GN,Guinea,2298,11,816,2020-05-12T23:32:26
GN,Guinea,2374,14,856,2020-05-13T23:32:26
GN,Guinea,2473,15,895,2020-05-14T23:32:28
GN,Guinea,2473,15,895,2020-05-15T23:32:20
GN,Guinea,2658,16,1133,2020-05-16T23:32:19
GN,Guinea,2658,16,1133,2020-05-17T23:32:23
GN,Guinea,2658,16,1133,2020-05-18T18:01:58
