country,name,cases,deaths,recovered,last_update
GQ,Equatorial Guinea,1,0,0,2020-03-15T06:41:54
GQ,Equatorial Guinea,4,0,0,2020-03-18T14:33:15
GQ,Equatorial Guinea,6,0,0,2020-03-19T20:43:03
GQ,Equatorial Guinea,6,0,0,2020-03-22T23:45:00
GQ,Equatorial Guinea,9,0,0,2020-03-23T23:19:21
GQ,Equatorial Guinea,9,0,0,2020-03-24T23:37:15
GQ,Equatorial Guinea,9,0,0,2020-03-25T23:33:04
GQ,Equatorial Guinea,12,0,0,2020-03-26T23:48:18
GQ,Equatorial Guinea,12,0,0,2020-03-27T23:23:03
GQ,Equatorial Guinea,12,0,0,2020-03-28T23:05:25
GQ,Equatorial Guinea,12,0,0,2020-03-29T23:08:13
GQ,Equatorial Guinea,12,0,0,2020-03-30T22:52:33
GQ,Equatorial Guinea,12,0,1,2020-03-31T23:43:43
GQ,Equatorial Guinea,15,0,1,2020-04-01T21:58:34
GQ,Equatorial Guinea,15,0,1,2020-04-02T23:25:14
GQ,Equatorial Guinea,16,0,1,2020-04-03T23:56:18
GQ,Equatorial Guinea,16,0,1,2020-04-04T23:34:04
GQ,Equatorial Guinea,16,0,1,2020-04-05T23:06:26
GQ,Equatorial Guinea,16,0,3,2020-04-06T23:21:55
GQ,Equatorial Guinea,16,0,3,2020-04-07T23:04:29
GQ,Equatorial Guinea,18,0,3,2020-04-08T22:51:39
GQ,Equatorial Guinea,18,0,3,2020-04-09T23:02:19
GQ,Equatorial Guinea,18,0,3,2020-04-10T22:53:48
GQ,Equatorial Guinea,18,0,3,2020-04-11T23:56:45
GQ,Equatorial Guinea,18,0,3,2020-04-12T03:31:35
GQ,Equatorial Guinea,21,0,4,2020-04-13T23:07:34
GQ,Equatorial Guinea,41,0,4,2020-04-14T23:33:12
GQ,Equatorial Guinea,51,0,4,2020-04-15T22:56:32
GQ,Equatorial Guinea,51,0,4,2020-04-16T23:30:31
GQ,Equatorial Guinea,79,0,4,2020-04-17T23:30:32
GQ,Equatorial Guinea,79,0,4,2020-04-18T22:32:28
GQ,Equatorial Guinea,79,0,4,2020-04-19T23:40:41
GQ,Equatorial Guinea,79,0,7,2020-04-20T23:36:27
GQ,Equatorial Guinea,83,0,7,2020-04-21T23:30:30
GQ,Equatorial Guinea,84,1,7,2020-04-22T23:30:32
GQ,Equatorial Guinea,84,1,7,2020-04-23T23:30:31
GQ,Equatorial Guinea,214,1,7,2020-04-24T21:30:34
GQ,Equatorial Guinea,258,1,7,2020-04-25T23:30:33
GQ,Equatorial Guinea,258,1,8,2020-04-26T23:30:31
GQ,Equatorial Guinea,258,1,9,2020-04-27T23:30:31
GQ,Equatorial Guinea,315,1,9,2020-04-28T23:32:24
GQ,Equatorial Guinea,315,1,9,2020-04-29T23:32:26
GQ,Equatorial Guinea,315,1,9,2020-04-30T23:32:27
GQ,Equatorial Guinea,315,1,9,2020-05-01T23:32:36
GQ,Equatorial Guinea,315,1,9,2020-05-02T23:32:31
GQ,Equatorial Guinea,315,1,9,2020-05-03T23:32:29
GQ,Equatorial Guinea,315,3,13,2020-05-04T22:32:33
GQ,Equatorial Guinea,315,3,13,2020-05-05T23:32:29
GQ,Equatorial Guinea,439,4,13,2020-05-06T23:32:28
GQ,Equatorial Guinea,439,4,13,2020-05-07T22:32:32
GQ,Equatorial Guinea,439,4,13,2020-05-08T23:32:35
GQ,Equatorial Guinea,439,4,13,2020-05-09T23:32:33
GQ,Equatorial Guinea,439,4,13,2020-05-10T23:32:32
GQ,Equatorial Guinea,439,4,13,2020-05-11T23:32:30
GQ,Equatorial Guinea,439,4,13,2020-05-12T23:32:26
GQ,Equatorial Guinea,522,6,13,2020-05-13T23:32:26
GQ,Equatorial Guinea,583,7,13,2020-05-14T23:32:28
GQ,Equatorial Guinea,594,7,22,2020-05-15T23:32:20
GQ,Equatorial Guinea,594,7,22,2020-05-16T23:32:19
GQ,Equatorial Guinea,594,7,22,2020-05-17T23:32:23
GQ,Equatorial Guinea,719,7,22,2020-05-18T23:32:29
GQ,Equatorial Guinea,825,7,22,2020-05-19T23:32:20
GQ,Equatorial Guinea,890,7,22,2020-05-20T23:32:52
GQ,Equatorial Guinea,903,10,22,2020-05-21T23:32:39
GQ,Equatorial Guinea,960,11,165,2020-05-22T23:32:40
GQ,Equatorial Guinea,960,11,165,2020-05-23T19:06:14
