country,name,cases,deaths,recovered,last_update
GR,Greece,1,0,0,2020-02-26T15:53:05
GR,Greece,3,0,0,2020-02-27T14:03:03
GR,Greece,4,0,0,2020-02-28T15:33:03
GR,Greece,7,0,0,2020-03-01T23:23:02
GR,Greece,9,0,0,2020-03-04T19:33:03
GR,Greece,31,0,0,2020-03-05T14:23:03
GR,Greece,45,0,0,2020-03-06T13:03:12
GR,Greece,46,0,0,2020-03-07T18:13:27
GR,Greece,73,0,0,2020-03-08T17:23:07
GR,Greece,89,0,0,2020-03-10T10:53:03
GR,Greece,190,1,0,2020-03-11T20:00:00
GR,Greece,99,1,0,2020-03-11T23:53:02
GR,Greece,228,3,8,2020-03-14T22:33:03
GR,Greece,331,4,8,2020-03-15T18:20:18
GR,Greece,331,4,8,2020-03-16T00:22:10
GR,Greece,387,5,8,2020-03-17T16:33:04
GR,Greece,418,5,8,2020-03-18T16:59:34
GR,Greece,418,6,8,2020-03-19T11:13:18
GR,Greece,495,6,19,2020-03-20T16:13:10
GR,Greece,530,13,19,2020-03-21T17:43:03
GR,Greece,624,15,19,2020-03-22T23:45:00
GR,Greece,695,17,29,2020-03-23T23:19:21
GR,Greece,743,20,29,2020-03-24T23:37:15
GR,Greece,821,22,36,2020-03-25T23:33:04
GR,Greece,892,26,36,2020-03-26T23:48:18
GR,Greece,966,28,52,2020-03-27T23:23:03
GR,Greece,1061,32,52,2020-03-28T23:05:25
GR,Greece,1156,38,52,2020-03-29T23:08:13
GR,Greece,1212,43,52,2020-03-30T22:52:33
GR,Greece,1314,49,52,2020-03-31T23:43:43
GR,Greece,1415,50,52,2020-04-01T21:58:34
GR,Greece,1544,53,61,2020-04-02T23:25:14
GR,Greece,1613,63,78,2020-04-03T23:56:18
GR,Greece,1673,68,78,2020-04-04T23:34:04
GR,Greece,1735,73,78,2020-04-05T23:06:26
GR,Greece,1755,79,269,2020-04-06T23:21:55
GR,Greece,1832,81,269,2020-04-07T23:04:29
GR,Greece,1884,83,269,2020-04-08T22:51:39
GR,Greece,1955,87,269,2020-04-09T23:02:19
GR,Greece,2011,92,269,2020-04-10T22:53:48
GR,Greece,2081,93,269,2020-04-11T23:56:45
GR,Greece,2081,93,269,2020-04-12T03:31:35
GR,Greece,2145,99,269,2020-04-13T23:07:34
GR,Greece,2170,101,269,2020-04-14T23:33:12
GR,Greece,2192,102,269,2020-04-15T22:56:32
GR,Greece,2207,105,269,2020-04-16T23:30:31
GR,Greece,2224,108,269,2020-04-17T23:30:32
GR,Greece,2235,110,269,2020-04-18T22:32:28
GR,Greece,2235,113,269,2020-04-19T23:40:41
GR,Greece,2245,116,269,2020-04-20T23:36:27
GR,Greece,2401,121,577,2020-04-21T23:30:30
GR,Greece,2408,121,577,2020-04-22T23:30:32
GR,Greece,2463,125,577,2020-04-23T23:30:31
GR,Greece,2490,130,577,2020-04-24T21:30:34
GR,Greece,2506,130,577,2020-04-25T23:30:33
GR,Greece,2517,134,577,2020-04-26T23:30:31
GR,Greece,2534,136,577,2020-04-27T23:30:31
GR,Greece,2566,138,577,2020-04-28T23:32:24
GR,Greece,2576,139,577,2020-04-29T23:32:26
GR,Greece,2591,140,1374,2020-04-30T23:32:27
GR,Greece,2612,140,1374,2020-05-01T23:32:36
GR,Greece,2620,143,1374,2020-05-02T23:32:31
GR,Greece,2626,144,1374,2020-05-03T23:32:29
GR,Greece,2632,146,1374,2020-05-04T22:32:33
GR,Greece,2642,146,1374,2020-05-05T23:32:29
GR,Greece,2663,147,1374,2020-05-06T23:32:28
GR,Greece,2678,148,1374,2020-05-07T22:32:32
GR,Greece,2691,150,1374,2020-05-08T23:32:35
GR,Greece,2710,151,1374,2020-05-09T23:32:33
GR,Greece,2716,151,1374,2020-05-10T23:32:32
GR,Greece,2726,151,1374,2020-05-11T23:32:30
GR,Greece,2744,152,1374,2020-05-12T23:32:26
GR,Greece,2760,155,1374,2020-05-13T23:32:26
GR,Greece,2770,156,1374,2020-05-14T23:32:28
GR,Greece,2810,160,1374,2020-05-15T23:32:20
GR,Greece,2819,162,1374,2020-05-16T23:32:19
GR,Greece,2834,163,1374,2020-05-17T23:32:23
GR,Greece,2836,165,1374,2020-05-18T23:32:29
GR,Greece,2836,165,1374,2020-05-19T14:32:25
