country,name,cases,deaths,recovered,last_update
GW,Guinea-Bissau,2,0,0,2020-03-25T23:33:04
GW,Guinea-Bissau,2,0,0,2020-03-26T23:48:18
GW,Guinea-Bissau,2,0,0,2020-03-27T23:23:03
GW,Guinea-Bissau,2,0,0,2020-03-28T23:05:25
GW,Guinea-Bissau,2,0,0,2020-03-29T23:08:13
GW,Guinea-Bissau,8,0,0,2020-03-30T22:52:33
GW,Guinea-Bissau,8,0,0,2020-03-31T23:43:43
GW,Guinea-Bissau,9,0,0,2020-04-01T21:58:34
GW,Guinea-Bissau,9,0,0,2020-04-02T23:25:14
GW,Guinea-Bissau,15,0,0,2020-04-03T23:56:18
GW,Guinea-Bissau,18,0,0,2020-04-04T23:34:04
GW,Guinea-Bissau,18,0,0,2020-04-05T23:06:26
GW,Guinea-Bissau,18,0,0,2020-04-06T23:21:55
GW,Guinea-Bissau,33,0,0,2020-04-07T23:04:29
GW,Guinea-Bissau,33,0,0,2020-04-08T22:51:39
GW,Guinea-Bissau,36,0,0,2020-04-09T23:02:19
GW,Guinea-Bissau,36,0,0,2020-04-10T22:53:48
GW,Guinea-Bissau,38,0,0,2020-04-11T23:56:45
GW,Guinea-Bissau,38,0,0,2020-04-12T03:31:35
GW,Guinea-Bissau,38,0,0,2020-04-13T23:07:34
GW,Guinea-Bissau,38,0,0,2020-04-14T23:33:12
GW,Guinea-Bissau,43,0,0,2020-04-15T22:56:32
GW,Guinea-Bissau,43,0,0,2020-04-16T23:30:31
GW,Guinea-Bissau,43,0,0,2020-04-17T23:30:32
GW,Guinea-Bissau,46,0,0,2020-04-18T22:32:28
GW,Guinea-Bissau,50,0,3,2020-04-19T23:40:41
GW,Guinea-Bissau,50,0,3,2020-04-20T23:36:27
GW,Guinea-Bissau,50,0,3,2020-04-21T23:30:30
GW,Guinea-Bissau,50,0,3,2020-04-22T23:30:32
GW,Guinea-Bissau,50,0,3,2020-04-23T23:30:31
GW,Guinea-Bissau,50,0,3,2020-04-24T21:30:34
GW,Guinea-Bissau,52,0,3,2020-04-25T23:30:33
GW,Guinea-Bissau,53,1,3,2020-04-26T23:30:31
GW,Guinea-Bissau,73,1,18,2020-04-27T23:30:31
GW,Guinea-Bissau,73,1,18,2020-04-28T23:32:24
GW,Guinea-Bissau,73,1,18,2020-04-29T22:32:31
GW,Guinea-Bissau,205,1,19,2020-04-30T23:32:27
GW,Guinea-Bissau,257,1,19,2020-05-01T23:32:36
GW,Guinea-Bissau,257,1,19,2020-05-02T23:32:31
GW,Guinea-Bissau,257,1,19,2020-05-03T23:32:29
GW,Guinea-Bissau,257,1,19,2020-05-04T22:32:33
GW,Guinea-Bissau,413,1,19,2020-05-05T23:32:29
GW,Guinea-Bissau,475,2,24,2020-05-06T23:32:28
GW,Guinea-Bissau,564,2,25,2020-05-07T22:32:32
GW,Guinea-Bissau,594,2,25,2020-05-08T23:32:35
GW,Guinea-Bissau,641,3,25,2020-05-09T23:32:33
GW,Guinea-Bissau,726,3,26,2020-05-10T23:32:32
GW,Guinea-Bissau,761,3,26,2020-05-11T23:32:30
GW,Guinea-Bissau,761,3,26,2020-05-12T23:32:26
GW,Guinea-Bissau,836,3,26,2020-05-13T23:32:26
GW,Guinea-Bissau,913,3,26,2020-05-14T23:32:28
GW,Guinea-Bissau,913,3,26,2020-05-15T23:32:20
GW,Guinea-Bissau,969,4,26,2020-05-16T23:32:19
GW,Guinea-Bissau,990,4,26,2020-05-17T23:32:23
GW,Guinea-Bissau,990,4,26,2020-05-18T18:01:58
