country,name,cases,deaths,recovered,last_update
GY,Guyana,1,1,0,2020-03-11T20:00:00
GY,Guyana,1,1,0,2020-03-12T05:53:03
GY,Guyana,1,1,0,2020-03-14T23:33:02
GY,Guyana,4,1,0,2020-03-15T18:20:19
GY,Guyana,7,1,0,2020-03-17T10:53:03
GY,Guyana,18,1,0,2020-03-22T23:45:00
GY,Guyana,20,1,0,2020-03-23T23:19:21
GY,Guyana,5,1,0,2020-03-24T23:37:15
GY,Guyana,5,1,0,2020-03-25T23:33:04
GY,Guyana,5,1,0,2020-03-26T23:48:18
GY,Guyana,5,1,0,2020-03-27T23:23:03
GY,Guyana,8,1,0,2020-03-28T23:05:25
GY,Guyana,8,1,0,2020-03-29T23:08:13
GY,Guyana,8,1,0,2020-03-30T22:52:33
GY,Guyana,12,2,0,2020-03-31T23:43:43
GY,Guyana,19,2,0,2020-04-01T21:58:34
GY,Guyana,19,4,0,2020-04-02T23:25:14
GY,Guyana,23,4,0,2020-04-03T23:56:18
GY,Guyana,23,4,0,2020-04-04T23:34:04
GY,Guyana,24,4,0,2020-04-05T23:06:26
GY,Guyana,31,4,8,2020-04-06T23:21:55
GY,Guyana,33,5,8,2020-04-07T23:04:29
GY,Guyana,37,6,8,2020-04-08T22:51:39
GY,Guyana,37,6,8,2020-04-09T23:02:19
GY,Guyana,37,6,8,2020-04-10T22:53:48
GY,Guyana,45,6,8,2020-04-11T23:56:45
GY,Guyana,45,6,8,2020-04-12T03:31:35
GY,Guyana,45,6,8,2020-04-13T23:07:34
GY,Guyana,47,6,8,2020-04-14T23:33:12
GY,Guyana,55,6,8,2020-04-15T22:56:32
GY,Guyana,55,6,8,2020-04-16T23:30:31
GY,Guyana,63,6,9,2020-04-17T23:30:32
GY,Guyana,63,6,9,2020-04-18T22:32:28
GY,Guyana,65,7,9,2020-04-19T23:40:41
GY,Guyana,65,7,9,2020-04-20T23:36:27
GY,Guyana,66,7,9,2020-04-21T23:30:30
GY,Guyana,67,7,9,2020-04-22T23:30:32
GY,Guyana,67,7,9,2020-04-23T23:30:31
GY,Guyana,73,7,12,2020-04-24T21:30:34
GY,Guyana,73,7,12,2020-04-25T23:30:33
GY,Guyana,74,8,12,2020-04-26T23:30:31
GY,Guyana,74,8,15,2020-04-27T23:30:31
GY,Guyana,74,8,15,2020-04-28T23:32:24
GY,Guyana,74,8,15,2020-04-29T23:32:26
GY,Guyana,82,9,22,2020-04-30T23:32:27
GY,Guyana,82,9,22,2020-05-01T23:32:36
GY,Guyana,82,9,22,2020-05-02T23:32:31
GY,Guyana,82,9,22,2020-05-03T23:32:29
GY,Guyana,92,9,27,2020-05-04T22:32:33
GY,Guyana,92,9,27,2020-05-05T23:32:29
GY,Guyana,93,10,27,2020-05-06T23:32:28
GY,Guyana,93,10,27,2020-05-07T22:32:32
GY,Guyana,94,10,34,2020-05-08T23:32:35
GY,Guyana,94,10,35,2020-05-09T23:32:33
GY,Guyana,104,10,35,2020-05-10T23:32:32
GY,Guyana,109,10,36,2020-05-11T23:32:30
GY,Guyana,113,10,36,2020-05-12T23:32:26
GY,Guyana,113,10,41,2020-05-13T23:32:26
GY,Guyana,113,10,42,2020-05-14T23:32:28
GY,Guyana,113,10,42,2020-05-15T23:32:20
GY,Guyana,117,10,43,2020-05-16T23:32:19
GY,Guyana,117,10,43,2020-05-17T23:32:23
GY,Guyana,124,10,44,2020-05-18T23:32:29
GY,Guyana,125,10,46,2020-05-19T23:32:20
GY,Guyana,125,10,47,2020-05-20T23:32:52
GY,Guyana,127,10,57,2020-05-21T23:32:39
GY,Guyana,127,10,57,2020-05-22T23:32:40
GY,Guyana,127,10,57,2020-05-23T19:06:14
