country,name,cases,deaths,recovered,last_update
HK,Hong Kong,0,0,0,2020-01-22T17:00:00
HK,Hong Kong,2,0,0,2020-01-23T17:00:00
HK,Hong Kong,2,0,0,2020-01-24T17:00:00
HK,Hong Kong,5,0,0,2020-01-25T17:00:00
HK,Hong Kong,8,0,0,2020-01-26T16:00:00
HK,Hong Kong,8,0,0,2020-01-27T23:59:00
HK,Hong Kong,8,0,0,2020-01-28T23:00:00
HK,Hong Kong,10,0,0,2020-01-29T19:30:00
HK,Hong Kong,10,0,0,2020-01-30T16:00:00
HK,Hong Kong,12,0,0,2020-01-31T23:59:00
HK,Hong Kong,13,0,0,2020-02-01T05:37:00
HK,Hong Kong,15,0,0,2020-02-02T23:53:02
HK,Hong Kong,17,1,0,2020-02-04T09:03:02
HK,Hong Kong,21,1,0,2020-02-05T13:13:10
HK,Hong Kong,24,1,0,2020-02-06T14:43:02
HK,Hong Kong,25,1,0,2020-02-07T11:53:02
HK,Hong Kong,26,1,0,2020-02-08T00:03:07
HK,Hong Kong,29,1,0,2020-02-09T09:53:02
HK,Hong Kong,38,1,0,2020-02-10T10:13:06
HK,Hong Kong,49,1,0,2020-02-11T09:43:02
HK,Hong Kong,50,1,1,2020-02-12T09:53:02
HK,Hong Kong,53,1,1,2020-02-13T14:53:02
HK,Hong Kong,56,1,1,2020-02-14T09:03:12
HK,Hong Kong,57,1,2,2020-02-16T09:53:01
HK,Hong Kong,60,1,2,2020-02-17T22:53:01
HK,Hong Kong,62,1,2,2020-02-18T23:43:02
HK,Hong Kong,63,2,5,2020-02-19T12:13:08
HK,Hong Kong,68,2,6,2020-02-20T23:13:05
HK,Hong Kong,68,2,5,2020-02-21T03:43:02
HK,Hong Kong,69,2,6,2020-02-22T13:23:05
HK,Hong Kong,74,2,11,2020-02-23T09:53:02
HK,Hong Kong,79,2,19,2020-02-24T11:23:06
HK,Hong Kong,84,2,19,2020-02-25T09:43:02
HK,Hong Kong,91,2,24,2020-02-26T23:43:02
HK,Hong Kong,92,2,24,2020-02-27T09:53:02
HK,Hong Kong,94,2,30,2020-02-28T10:03:12
HK,Hong Kong,95,2,33,2020-02-29T23:53:02
HK,Hong Kong,96,2,36,2020-03-01T14:33:16
HK,Hong Kong,100,2,36,2020-03-02T23:53:02
HK,Hong Kong,100,2,37,2020-03-03T11:53:01
HK,Hong Kong,105,2,37,2020-03-04T23:23:01
HK,Hong Kong,105,2,43,2020-03-05T00:23:07
HK,Hong Kong,107,2,46,2020-03-06T23:13:06
HK,Hong Kong,108,2,51,2020-03-07T10:13:22
HK,Hong Kong,114,3,58,2020-03-08T14:43:03
HK,Hong Kong,115,3,59,2020-03-09T10:03:17
HK,Hong Kong,120,3,65,2020-03-10T23:53:02
