country,name,cases,deaths,recovered,last_update
HN,Honduras,2,0,0,2020-03-11T18:52:03
HN,Honduras,2,0,0,2020-03-11T20:00:00
HN,Honduras,2,0,0,2020-03-13T22:22:02
HN,Honduras,3,0,0,2020-03-15T18:20:19
HN,Honduras,6,0,0,2020-03-16T14:38:45
HN,Honduras,8,0,0,2020-03-17T12:13:16
HN,Honduras,9,0,0,2020-03-18T11:53:04
HN,Honduras,12,0,0,2020-03-19T10:53:03
HN,Honduras,24,0,0,2020-03-20T14:13:08
HN,Honduras,26,0,0,2020-03-22T23:45:00
HN,Honduras,27,0,0,2020-03-23T23:19:21
HN,Honduras,30,0,0,2020-03-24T23:37:15
HN,Honduras,36,0,0,2020-03-25T23:33:04
HN,Honduras,52,1,0,2020-03-26T23:48:18
HN,Honduras,68,1,0,2020-03-27T23:23:03
HN,Honduras,95,1,3,2020-03-28T23:05:25
HN,Honduras,110,3,3,2020-03-29T23:08:13
HN,Honduras,139,7,3,2020-03-30T22:52:33
HN,Honduras,141,7,3,2020-03-31T23:43:43
HN,Honduras,172,10,3,2020-04-01T21:58:34
HN,Honduras,219,14,3,2020-04-02T23:25:14
HN,Honduras,222,15,3,2020-04-03T23:56:18
HN,Honduras,264,15,3,2020-04-04T23:34:04
HN,Honduras,268,22,6,2020-04-05T23:06:26
HN,Honduras,298,22,6,2020-04-06T23:21:55
HN,Honduras,305,22,6,2020-04-07T23:04:29
HN,Honduras,312,22,6,2020-04-08T22:51:39
HN,Honduras,343,23,6,2020-04-09T23:02:19
HN,Honduras,382,23,7,2020-04-10T22:53:48
HN,Honduras,392,24,7,2020-04-11T23:56:45
HN,Honduras,393,25,7,2020-04-12T03:31:35
HN,Honduras,397,25,7,2020-04-13T23:07:34
HN,Honduras,407,26,7,2020-04-14T23:33:12
HN,Honduras,419,31,9,2020-04-15T22:56:32
HN,Honduras,426,35,9,2020-04-16T23:30:31
HN,Honduras,442,41,10,2020-04-17T23:30:32
HN,Honduras,457,46,10,2020-04-18T22:32:28
HN,Honduras,472,46,15,2020-04-19T23:40:41
HN,Honduras,477,46,25,2020-04-20T23:36:27
HN,Honduras,494,46,29,2020-04-21T23:30:30
HN,Honduras,510,46,30,2020-04-22T23:30:32
HN,Honduras,519,47,31,2020-04-23T23:30:31
HN,Honduras,562,47,50,2020-04-24T21:30:34
HN,Honduras,591,55,58,2020-04-25T23:30:33
HN,Honduras,627,59,65,2020-04-26T23:30:31
HN,Honduras,661,61,79,2020-04-27T23:30:31
HN,Honduras,702,64,79,2020-04-28T23:32:24
HN,Honduras,738,66,73,2020-04-29T23:32:26
HN,Honduras,771,71,79,2020-04-30T23:32:27
HN,Honduras,804,75,112,2020-05-01T23:32:36
HN,Honduras,899,75,112,2020-05-02T23:32:31
HN,Honduras,1010,76,116,2020-05-03T23:32:29
HN,Honduras,1055,82,118,2020-05-04T22:32:33
HN,Honduras,1178,83,122,2020-05-05T23:32:29
HN,Honduras,1270,93,122,2020-05-06T23:32:28
HN,Honduras,1461,99,132,2020-05-07T22:32:32
HN,Honduras,1685,105,154,2020-05-08T23:32:35
HN,Honduras,1771,107,192,2020-05-09T23:32:33
HN,Honduras,1830,108,195,2020-05-10T23:32:32
HN,Honduras,1972,108,203,2020-05-11T23:32:30
HN,Honduras,2100,116,206,2020-05-12T23:32:26
HN,Honduras,2080,121,211,2020-05-13T23:32:26
HN,Honduras,2255,123,237,2020-05-14T23:32:28
HN,Honduras,2318,133,253,2020-05-15T23:32:20
HN,Honduras,2460,134,264,2020-05-16T23:32:19
HN,Honduras,2565,138,278,2020-05-17T23:32:23
HN,Honduras,2646,142,319,2020-05-18T23:32:29
HN,Honduras,2798,146,340,2020-05-19T23:32:20
HN,Honduras,2955,147,349,2020-05-20T23:32:52
HN,Honduras,3100,151,355,2020-05-21T23:32:39
HN,Honduras,3204,156,397,2020-05-22T12:32:39
