country,name,cases,deaths,recovered,last_update
HR,Croatia,1,0,0,2020-02-25T18:55:32
HR,Croatia,3,0,0,2020-02-26T20:03:06
HR,Croatia,5,0,0,2020-02-28T15:43:03
HR,Croatia,6,0,0,2020-02-29T18:03:05
HR,Croatia,7,0,0,2020-03-01T23:33:03
HR,Croatia,9,0,0,2020-03-03T09:53:08
HR,Croatia,10,0,0,2020-03-04T16:53:02
HR,Croatia,11,0,0,2020-03-06T08:33:03
HR,Croatia,12,0,0,2020-03-07T10:13:23
HR,Croatia,14,0,0,2020-03-10T16:53:13
HR,Croatia,32,0,1,2020-03-11T20:00:00
HR,Croatia,19,0,0,2020-03-11T22:13:12
HR,Croatia,38,0,1,2020-03-14T20:33:03
HR,Croatia,49,0,1,2020-03-15T18:20:18
HR,Croatia,57,0,2,2020-03-16T14:38:45
HR,Croatia,65,0,4,2020-03-17T10:53:03
HR,Croatia,81,0,4,2020-03-18T11:13:43
HR,Croatia,105,1,5,2020-03-19T16:43:03
HR,Croatia,128,1,5,2020-03-20T20:43:02
HR,Croatia,206,1,5,2020-03-21T17:43:03
HR,Croatia,254,1,5,2020-03-22T23:45:00
HR,Croatia,315,1,5,2020-03-23T23:19:21
HR,Croatia,382,1,5,2020-03-24T23:37:15
HR,Croatia,442,1,22,2020-03-25T23:33:04
HR,Croatia,495,3,22,2020-03-26T23:48:18
HR,Croatia,586,3,37,2020-03-27T23:23:03
HR,Croatia,657,5,45,2020-03-28T23:05:25
HR,Croatia,713,6,52,2020-03-29T23:08:13
HR,Croatia,790,6,67,2020-03-30T22:52:33
HR,Croatia,867,6,67,2020-03-31T23:43:43
HR,Croatia,963,6,73,2020-04-01T21:58:34
HR,Croatia,1011,7,88,2020-04-02T23:25:14
HR,Croatia,1079,8,92,2020-04-03T23:56:18
HR,Croatia,1126,12,119,2020-04-04T23:34:04
HR,Croatia,1182,15,125,2020-04-05T23:06:26
HR,Croatia,1222,16,130,2020-04-06T23:21:55
HR,Croatia,1282,18,167,2020-04-07T23:04:29
HR,Croatia,1343,19,179,2020-04-08T22:51:39
HR,Croatia,1407,20,219,2020-04-09T23:02:19
HR,Croatia,1495,21,231,2020-04-10T22:53:48
HR,Croatia,1534,21,323,2020-04-11T23:56:45
HR,Croatia,1534,21,323,2020-04-12T03:31:35
HR,Croatia,1650,25,400,2020-04-13T23:07:34
HR,Croatia,1704,31,415,2020-04-14T23:33:12
HR,Croatia,1741,33,473,2020-04-15T22:56:32
HR,Croatia,1791,35,529,2020-04-16T23:30:31
HR,Croatia,1814,36,600,2020-04-17T23:30:32
HR,Croatia,1832,39,615,2020-04-18T22:32:28
HR,Croatia,1871,47,709,2020-04-19T23:40:41
HR,Croatia,1881,47,771,2020-04-20T23:36:27
HR,Croatia,1908,48,801,2020-04-21T23:30:30
HR,Croatia,1950,48,869,2020-04-22T23:30:32
HR,Croatia,1981,50,883,2020-04-23T23:30:31
HR,Croatia,2009,51,982,2020-04-24T21:30:34
HR,Croatia,2016,54,1034,2020-04-25T23:30:33
HR,Croatia,2030,55,1103,2020-04-26T23:30:31
HR,Croatia,2039,59,1166,2020-04-27T23:30:31
HR,Croatia,2047,63,1232,2020-04-28T23:32:24
HR,Croatia,2062,67,1288,2020-04-29T23:32:26
HR,Croatia,2076,69,1348,2020-04-30T23:32:27
HR,Croatia,2085,75,1421,2020-05-01T23:32:36
HR,Croatia,2088,77,1463,2020-05-02T23:32:31
HR,Croatia,2096,79,1489,2020-05-03T23:32:29
HR,Croatia,2101,80,1522,2020-05-04T22:32:33
HR,Croatia,2112,83,1560,2020-05-05T23:32:29
HR,Croatia,2119,85,1601,2020-05-06T23:32:28
HR,Croatia,2125,86,1641,2020-05-07T22:32:32
HR,Croatia,2161,86,1689,2020-05-08T23:32:35
HR,Croatia,2176,87,1726,2020-05-09T23:32:33
HR,Croatia,2187,90,1764,2020-05-10T23:32:32
HR,Croatia,2196,91,1784,2020-05-11T23:32:30
HR,Croatia,2207,91,1808,2020-05-12T23:32:26
HR,Croatia,2213,94,1834,2020-05-13T23:32:26
HR,Croatia,2221,94,1850,2020-05-14T23:32:28
HR,Croatia,2222,95,1869,2020-05-15T23:32:20
HR,Croatia,2224,95,1913,2020-05-16T23:32:19
HR,Croatia,2226,95,1936,2020-05-17T23:32:23
HR,Croatia,2228,95,1946,2020-05-18T18:01:58
