country,name,cases,deaths,recovered,last_update
HU,Hungary,2,0,0,2020-03-04T19:33:03
HU,Hungary,2,0,0,2020-03-05T17:13:27
HU,Hungary,4,0,0,2020-03-07T03:53:03
HU,Hungary,7,0,0,2020-03-08T15:03:02
HU,Hungary,9,0,0,2020-03-09T09:43:03
HU,Hungary,19,0,0,2020-03-11T20:00:00
HU,Hungary,13,0,0,2020-03-11T22:13:12
HU,Hungary,30,0,1,2020-03-14T22:53:02
HU,Hungary,32,1,1,2020-03-15T18:20:18
HU,Hungary,39,1,1,2020-03-16T14:38:45
HU,Hungary,50,1,2,2020-03-17T11:13:29
HU,Hungary,58,1,2,2020-03-18T11:13:43
HU,Hungary,73,1,2,2020-03-19T10:53:03
HU,Hungary,85,3,2,2020-03-20T14:43:04
HU,Hungary,103,4,7,2020-03-21T12:13:19
HU,Hungary,131,6,16,2020-03-22T23:45:00
HU,Hungary,167,7,16,2020-03-23T23:19:21
HU,Hungary,187,9,21,2020-03-24T23:37:15
HU,Hungary,226,10,21,2020-03-25T23:33:04
HU,Hungary,261,10,28,2020-03-26T23:48:18
HU,Hungary,300,10,34,2020-03-27T23:23:03
HU,Hungary,343,11,34,2020-03-28T23:05:25
HU,Hungary,408,13,34,2020-03-29T23:08:13
HU,Hungary,447,15,34,2020-03-30T22:52:33
HU,Hungary,492,16,37,2020-03-31T23:43:43
HU,Hungary,525,20,40,2020-04-01T21:58:34
HU,Hungary,585,21,42,2020-04-02T23:25:14
HU,Hungary,623,26,43,2020-04-03T23:56:18
HU,Hungary,678,32,58,2020-04-04T23:34:04
HU,Hungary,733,34,66,2020-04-05T23:06:26
HU,Hungary,744,38,67,2020-04-06T23:21:55
HU,Hungary,817,47,71,2020-04-07T23:04:29
HU,Hungary,895,58,94,2020-04-08T22:51:39
HU,Hungary,980,66,96,2020-04-09T23:02:19
HU,Hungary,1190,77,112,2020-04-10T22:53:48
HU,Hungary,1310,85,115,2020-04-11T23:56:45
HU,Hungary,1310,85,115,2020-04-12T03:31:35
HU,Hungary,1458,109,120,2020-04-13T23:07:34
HU,Hungary,1512,122,122,2020-04-14T23:33:12
HU,Hungary,1579,134,192,2020-04-15T22:56:32
HU,Hungary,1652,142,199,2020-04-16T23:30:31
HU,Hungary,1763,156,207,2020-04-17T23:30:32
HU,Hungary,1834,172,231,2020-04-18T22:32:28
HU,Hungary,1916,189,250,2020-04-19T23:40:41
HU,Hungary,1984,199,267,2020-04-20T23:36:27
HU,Hungary,2098,213,287,2020-04-21T23:30:30
HU,Hungary,2168,225,295,2020-04-22T23:30:32
HU,Hungary,2284,239,390,2020-04-23T23:30:31
HU,Hungary,2383,250,401,2020-04-24T21:30:34
HU,Hungary,2443,262,458,2020-04-25T23:30:33
HU,Hungary,2500,272,485,2020-04-26T23:30:31
HU,Hungary,2583,280,498,2020-04-27T23:30:31
HU,Hungary,2649,291,516,2020-04-28T23:32:24
HU,Hungary,2727,300,536,2020-04-29T23:32:26
HU,Hungary,2775,312,581,2020-04-30T23:32:27
HU,Hungary,2863,323,609,2020-05-01T23:32:36
HU,Hungary,2942,335,625,2020-05-02T23:32:31
HU,Hungary,2998,340,629,2020-05-03T23:32:29
HU,Hungary,3035,351,630,2020-05-04T22:32:33
HU,Hungary,3065,363,709,2020-05-05T23:32:29
HU,Hungary,3111,373,759,2020-05-06T23:32:28
HU,Hungary,3150,383,801,2020-05-07T22:32:32
HU,Hungary,3178,392,865,2020-05-08T23:32:35
HU,Hungary,3213,405,904,2020-05-09T23:32:33
HU,Hungary,3263,413,933,2020-05-10T23:32:32
HU,Hungary,3284,421,958,2020-05-11T23:32:30
HU,Hungary,3313,425,1007,2020-05-12T23:32:26
HU,Hungary,3341,430,1102,2020-05-13T23:32:26
HU,Hungary,3380,436,1169,2020-05-14T23:32:28
HU,Hungary,3417,442,1287,2020-05-15T23:32:20
HU,Hungary,3473,448,1371,2020-05-16T23:32:19
HU,Hungary,3509,451,1396,2020-05-17T23:32:23
HU,Hungary,3535,462,1400,2020-05-18T18:01:58
