country,name,cases,deaths,recovered,last_update
ID,Indonesia,2,0,0,2020-03-02T18:03:04
ID,Indonesia,4,0,0,2020-03-06T12:33:03
ID,Indonesia,6,0,0,2020-03-08T10:03:13
ID,Indonesia,19,0,0,2020-03-09T11:33:10
ID,Indonesia,27,0,2,2020-03-10T12:53:02
ID,Indonesia,34,1,2,2020-03-11T11:14:26
ID,Indonesia,69,4,2,2020-03-11T20:00:00
ID,Indonesia,96,5,8,2020-03-14T22:53:02
ID,Indonesia,117,5,8,2020-03-15T18:20:18
ID,Indonesia,134,5,8,2020-03-16T14:38:45
ID,Indonesia,172,5,8,2020-03-17T10:33:03
ID,Indonesia,227,19,11,2020-03-18T10:53:02
ID,Indonesia,311,25,11,2020-03-19T10:13:16
ID,Indonesia,369,32,15,2020-03-20T14:43:04
ID,Indonesia,450,38,15,2020-03-21T11:43:06
ID,Indonesia,514,48,29,2020-03-22T23:45:00
ID,Indonesia,579,49,30,2020-03-23T23:19:21
ID,Indonesia,686,55,30,2020-03-24T23:37:15
ID,Indonesia,790,58,31,2020-03-25T23:33:04
ID,Indonesia,893,78,35,2020-03-26T23:48:18
ID,Indonesia,1046,87,46,2020-03-27T23:23:03
ID,Indonesia,1155,102,59,2020-03-28T23:05:25
ID,Indonesia,1285,114,64,2020-03-29T23:08:13
ID,Indonesia,1414,122,75,2020-03-30T22:52:33
ID,Indonesia,1528,136,81,2020-03-31T23:43:43
ID,Indonesia,1677,157,103,2020-04-01T21:58:34
ID,Indonesia,1790,170,112,2020-04-02T23:25:14
ID,Indonesia,1986,181,134,2020-04-03T23:56:18
ID,Indonesia,2092,191,150,2020-04-04T23:34:04
ID,Indonesia,2273,198,164,2020-04-05T23:06:26
ID,Indonesia,2491,209,192,2020-04-06T23:21:55
ID,Indonesia,2738,221,204,2020-04-07T23:04:29
ID,Indonesia,2956,240,222,2020-04-08T22:51:39
ID,Indonesia,3293,280,252,2020-04-09T23:02:19
ID,Indonesia,3512,306,282,2020-04-10T22:53:48
ID,Indonesia,3842,327,286,2020-04-11T23:56:45
ID,Indonesia,3842,327,286,2020-04-12T03:31:35
ID,Indonesia,4557,399,380,2020-04-13T23:07:34
ID,Indonesia,4839,459,426,2020-04-14T23:33:12
ID,Indonesia,5136,469,446,2020-04-15T22:56:32
ID,Indonesia,5516,496,548,2020-04-16T23:30:31
ID,Indonesia,5923,520,607,2020-04-17T23:30:32
ID,Indonesia,6248,535,631,2020-04-18T22:32:28
ID,Indonesia,6575,582,686,2020-04-19T23:40:41
ID,Indonesia,6760,590,747,2020-04-20T23:36:27
ID,Indonesia,7135,616,842,2020-04-21T23:30:30
ID,Indonesia,7418,635,913,2020-04-22T23:30:32
ID,Indonesia,7775,647,960,2020-04-23T23:30:31
ID,Indonesia,8211,689,1002,2020-04-24T21:30:34
ID,Indonesia,8607,720,1042,2020-04-25T23:30:33
ID,Indonesia,8882,743,1107,2020-04-26T23:30:31
ID,Indonesia,9096,765,1151,2020-04-27T23:30:31
ID,Indonesia,9511,773,1254,2020-04-28T23:32:24
ID,Indonesia,9771,784,1391,2020-04-29T23:32:26
ID,Indonesia,10118,792,1522,2020-04-30T23:32:27
ID,Indonesia,10551,800,1591,2020-05-01T23:32:36
ID,Indonesia,10843,831,1665,2020-05-02T23:32:31
ID,Indonesia,11192,845,1876,2020-05-03T23:32:29
ID,Indonesia,11587,864,1954,2020-05-04T22:32:33
ID,Indonesia,12071,872,2197,2020-05-05T23:32:29
ID,Indonesia,12438,895,2317,2020-05-06T23:32:28
ID,Indonesia,12776,930,2381,2020-05-07T22:32:32
ID,Indonesia,13112,943,2494,2020-05-08T23:32:35
ID,Indonesia,13645,959,2607,2020-05-09T23:32:33
ID,Indonesia,14032,973,2698,2020-05-10T23:32:32
ID,Indonesia,14265,991,2881,2020-05-11T23:32:30
ID,Indonesia,14749,1007,3063,2020-05-12T23:32:26
ID,Indonesia,15438,1028,3287,2020-05-13T23:32:26
ID,Indonesia,16006,1043,3518,2020-05-14T23:32:28
ID,Indonesia,16496,1076,3803,2020-05-15T23:32:20
ID,Indonesia,17025,1089,3911,2020-05-16T23:32:19
ID,Indonesia,17514,1148,4129,2020-05-17T23:32:23
ID,Indonesia,18010,1191,4324,2020-05-18T23:32:29
ID,Indonesia,18496,1221,4467,2020-05-19T23:32:20
ID,Indonesia,19189,1242,4575,2020-05-20T23:32:52
ID,Indonesia,20162,1278,4838,2020-05-21T23:32:39
ID,Indonesia,20796,1326,5057,2020-05-22T12:32:39
