country,name,cases,deaths,recovered,last_update
IL,Israel,1,0,0,2020-02-21T15:33:03
IL,Israel,1,0,0,2020-02-22T20:53:02
IL,Israel,2,0,0,2020-02-26T20:33:02
IL,Israel,3,0,1,2020-02-27T14:03:03
IL,Israel,4,0,1,2020-02-28T15:53:03
IL,Israel,7,0,1,2020-02-29T01:53:03
IL,Israel,10,0,1,2020-03-01T23:23:02
IL,Israel,12,0,1,2020-03-03T04:23:07
IL,Israel,15,0,1,2020-03-04T12:43:03
IL,Israel,16,0,1,2020-03-05T17:53:02
IL,Israel,21,0,2,2020-03-06T20:33:03
IL,Israel,39,0,2,2020-03-08T21:03:03
IL,Israel,58,0,4,2020-03-10T12:53:02
IL,Israel,161,0,4,2020-03-11T20:00:00
IL,Israel,109,0,4,2020-03-11T21:13:18
IL,Israel,131,0,4,2020-03-12T21:39:09
IL,Israel,193,0,4,2020-03-14T20:13:16
IL,Israel,251,0,4,2020-03-15T18:20:18
IL,Israel,255,0,4,2020-03-16T14:38:45
IL,Israel,337,0,11,2020-03-17T20:53:02
IL,Israel,433,0,11,2020-03-18T14:33:15
IL,Israel,677,0,11,2020-03-19T20:43:02
IL,Israel,705,0,14,2020-03-20T14:43:04
IL,Israel,883,1,36,2020-03-21T11:43:06
IL,Israel,1071,1,37,2020-03-22T23:45:00
IL,Israel,1442,1,41,2020-03-23T23:19:21
IL,Israel,1930,3,53,2020-03-24T23:37:15
IL,Israel,2369,5,58,2020-03-25T23:33:04
IL,Israel,2693,8,68,2020-03-26T23:48:18
IL,Israel,3035,12,79,2020-03-27T23:23:03
IL,Israel,3619,12,89,2020-03-28T23:05:25
IL,Israel,4247,15,132,2020-03-29T23:08:13
IL,Israel,4695,16,161,2020-03-30T22:52:33
IL,Israel,5358,20,224,2020-03-31T23:43:43
IL,Israel,6092,26,241,2020-04-01T21:58:34
IL,Israel,6857,36,338,2020-04-02T23:25:14
IL,Israel,7428,40,403,2020-04-03T23:56:18
IL,Israel,7851,44,427,2020-04-04T23:34:04
IL,Israel,8430,49,477,2020-04-05T23:06:26
IL,Israel,8904,57,585,2020-04-06T23:21:55
IL,Israel,9248,65,770,2020-04-07T23:04:29
IL,Israel,9404,73,801,2020-04-08T22:51:39
IL,Israel,9968,86,1011,2020-04-09T23:02:19
IL,Israel,10408,95,1183,2020-04-10T22:53:48
IL,Israel,10743,101,1341,2020-04-11T23:56:45
IL,Israel,10743,101,1341,2020-04-12T03:31:35
IL,Israel,11586,116,1855,2020-04-13T23:07:34
IL,Israel,12046,123,2195,2020-04-14T23:33:12
IL,Israel,12501,130,2563,2020-04-15T22:56:32
IL,Israel,12758,142,2818,2020-04-16T23:30:31
IL,Israel,12982,151,3126,2020-04-17T23:30:32
IL,Israel,13265,164,3456,2020-04-18T22:32:28
IL,Israel,13491,172,3754,2020-04-19T23:40:41
IL,Israel,13713,177,4049,2020-04-20T23:36:27
IL,Israel,13942,184,4507,2020-04-21T23:30:30
IL,Israel,14498,189,5215,2020-04-22T23:30:32
IL,Israel,14803,192,5611,2020-04-23T23:30:31
IL,Israel,15058,194,6003,2020-04-24T21:30:34
IL,Israel,15298,199,6435,2020-04-25T23:30:33
IL,Israel,15443,201,6731,2020-04-26T23:30:31
IL,Israel,15555,204,7200,2020-04-27T23:30:31
IL,Israel,15728,210,7746,2020-04-28T23:32:24
IL,Israel,15834,215,8233,2020-04-29T23:32:26
IL,Israel,15946,222,8561,2020-04-30T23:32:27
IL,Israel,16101,225,9156,2020-05-01T23:32:36
IL,Israel,16185,229,9593,2020-05-02T23:32:31
IL,Israel,16208,232,9749,2020-05-03T23:32:29
IL,Israel,16246,235,10064,2020-05-04T22:32:33
IL,Israel,16289,238,10465,2020-05-05T23:32:29
IL,Israel,16310,239,10637,2020-05-06T23:32:28
IL,Israel,16381,240,10873,2020-05-07T22:32:32
IL,Israel,16436,245,11229,2020-05-08T23:32:35
IL,Israel,16454,247,11376,2020-05-09T23:32:33
IL,Israel,16477,252,11430,2020-05-10T23:32:32
IL,Israel,16506,258,11843,2020-05-11T23:32:30
IL,Israel,16529,260,12083,2020-05-12T23:32:26
IL,Israel,16548,264,12232,2020-05-13T23:32:26
IL,Israel,16579,265,12521,2020-05-14T23:32:28
IL,Israel,16589,266,12587,2020-05-15T23:32:20
IL,Israel,16608,268,12855,2020-05-16T23:32:19
IL,Israel,16617,272,12942,2020-05-17T23:32:23
IL,Israel,16643,276,13253,2020-05-18T18:01:58
