country,name,cases,deaths,recovered,last_update
IN,India,1,0,0,2020-01-30T16:00:00
IN,India,1,0,0,2020-01-31T08:15:00
IN,India,1,0,0,2020-01-31T23:59:00
IN,India,2,0,0,2020-02-02T06:03:08
IN,India,3,0,0,2020-02-03T21:43:02
IN,India,3,0,0,2020-02-13T18:53:02
IN,India,3,0,3,2020-02-16T07:43:02
IN,India,5,0,3,2020-03-02T22:33:09
IN,India,28,0,3,2020-03-04T12:33:03
IN,India,30,0,3,2020-03-05T13:53:03
IN,India,31,0,3,2020-03-06T13:03:12
IN,India,34,0,3,2020-03-07T18:13:27
IN,India,39,0,3,2020-03-08T09:23:05
IN,India,43,0,3,2020-03-09T09:13:17
IN,India,56,0,4,2020-03-10T10:13:28
IN,India,82,2,4,2020-03-11T20:00:00
IN,India,62,1,4,2020-03-11T22:13:12
IN,India,73,1,4,2020-03-12T08:33:13
IN,India,102,2,4,2020-03-14T20:33:03
IN,India,113,2,13,2020-03-15T18:20:18
IN,India,119,2,13,2020-03-16T14:38:45
IN,India,142,3,14,2020-03-17T15:33:06
IN,India,156,3,14,2020-03-18T13:33:12
IN,India,194,4,15,2020-03-19T20:43:02
IN,India,244,5,20,2020-03-20T15:13:21
IN,India,330,4,23,2020-03-21T17:43:03
IN,India,396,7,24,2020-03-22T23:45:00
IN,India,499,10,34,2020-03-23T23:19:21
IN,India,536,10,40,2020-03-24T23:37:15
IN,India,657,12,43,2020-03-25T23:33:04
IN,India,727,20,45,2020-03-26T23:48:18
IN,India,887,20,73,2020-03-27T23:23:03
IN,India,987,24,84,2020-03-28T23:05:25
IN,India,1024,27,95,2020-03-29T23:08:13
IN,India,1251,32,102,2020-03-30T22:52:33
IN,India,1397,35,123,2020-03-31T23:43:43
IN,India,1998,58,148,2020-04-01T21:58:34
IN,India,2543,72,191,2020-04-02T23:25:14
IN,India,2567,72,192,2020-04-03T23:56:18
IN,India,3082,86,229,2020-04-04T23:34:04
IN,India,3588,99,229,2020-04-05T23:06:26
IN,India,4778,136,375,2020-04-06T23:21:55
IN,India,5311,150,421,2020-04-07T23:04:29
IN,India,5916,178,506,2020-04-08T22:51:39
IN,India,6725,226,620,2020-04-09T23:02:19
IN,India,7598,246,774,2020-04-10T22:53:48
IN,India,8446,288,969,2020-04-11T23:56:45
IN,India,8446,288,969,2020-04-12T03:31:35
IN,India,10453,358,1181,2020-04-13T23:07:34
IN,India,11487,393,1359,2020-04-14T23:33:12
IN,India,12322,405,1432,2020-04-15T22:56:32
IN,India,13430,448,1768,2020-04-16T23:30:31
IN,India,14352,486,2041,2020-04-17T23:30:32
IN,India,15722,521,2463,2020-04-18T22:32:28
IN,India,17615,559,2854,2020-04-19T23:40:41
IN,India,18539,592,3273,2020-04-20T23:36:27
IN,India,20080,645,3975,2020-04-21T23:30:30
IN,India,21370,681,4370,2020-04-22T23:30:32
IN,India,23039,721,5012,2020-04-23T23:30:31
IN,India,24447,780,5496,2020-04-24T21:30:34
IN,India,26283,825,5939,2020-04-25T23:30:33
IN,India,27890,882,6523,2020-04-26T23:30:31
IN,India,29451,939,7137,2020-04-27T23:30:31
IN,India,31360,1008,7747,2020-04-28T23:32:24
IN,India,33062,1079,8437,2020-04-29T23:32:26
IN,India,34862,1154,9068,2020-04-30T23:32:27
IN,India,37257,1223,10007,2020-05-01T23:32:36
IN,India,39699,1323,10819,2020-05-02T23:32:31
IN,India,42505,1391,11775,2020-05-03T23:32:29
IN,India,46437,1566,12847,2020-05-04T22:32:33
IN,India,49400,1693,14142,2020-05-05T23:32:29
IN,India,52987,1785,15331,2020-05-06T23:32:28
IN,India,56351,1889,16776,2020-05-07T22:32:32
IN,India,59693,1985,17887,2020-05-08T23:32:35
IN,India,62808,2101,19301,2020-05-09T23:32:33
IN,India,67161,2212,20969,2020-05-10T23:32:32
IN,India,70768,2294,22549,2020-05-11T23:32:30
IN,India,74243,2415,24420,2020-05-12T23:32:26
IN,India,78055,2551,26400,2020-05-13T23:32:26
IN,India,81997,2649,27969,2020-05-14T23:32:28
IN,India,85784,2753,30234,2020-05-15T23:32:20
IN,India,90648,2871,34224,2020-05-16T23:32:19
IN,India,95698,3025,36795,2020-05-17T23:32:23
IN,India,100340,3156,39233,2020-05-18T23:32:29
IN,India,106475,3302,42309,2020-05-19T23:32:20
IN,India,112028,3434,45422,2020-05-20T23:32:52
IN,India,118226,3584,48553,2020-05-21T23:32:39
IN,India,124794,3726,51824,2020-05-22T23:32:40
IN,India,131423,3868,54385,2020-05-23T19:06:14
