country,name,cases,deaths,recovered,last_update
IQ,Iraq,0,0,0,2020-02-23T18:23:06
IQ,Iraq,1,0,0,2020-02-24T23:33:02
IQ,Iraq,5,0,0,2020-02-26T04:53:02
IQ,Iraq,7,0,0,2020-02-27T22:23:11
IQ,Iraq,13,0,0,2020-02-29T18:03:05
IQ,Iraq,19,0,0,2020-03-01T16:43:02
IQ,Iraq,26,0,0,2020-03-02T20:53:02
IQ,Iraq,32,0,0,2020-03-03T20:03:06
IQ,Iraq,35,2,0,2020-03-04T20:43:02
IQ,Iraq,40,3,0,2020-03-06T13:23:06
IQ,Iraq,54,4,0,2020-03-07T18:13:27
IQ,Iraq,60,6,0,2020-03-08T21:03:03
IQ,Iraq,60,6,9,2020-03-09T23:33:02
IQ,Iraq,71,7,3,2020-03-10T05:13:07
IQ,Iraq,101,9,24,2020-03-11T20:00:00
IQ,Iraq,71,7,15,2020-03-11T22:13:12
IQ,Iraq,71,8,15,2020-03-12T08:33:13
IQ,Iraq,110,10,26,2020-03-14T22:33:03
IQ,Iraq,124,10,26,2020-03-16T02:13:15
IQ,Iraq,154,11,32,2020-03-17T15:33:06
IQ,Iraq,164,12,43,2020-03-18T12:33:02
IQ,Iraq,192,13,43,2020-03-19T20:13:34
IQ,Iraq,208,17,49,2020-03-20T20:43:02
IQ,Iraq,214,17,51,2020-03-21T17:43:03
IQ,Iraq,233,20,57,2020-03-22T23:45:00
IQ,Iraq,266,23,62,2020-03-23T23:19:21
IQ,Iraq,316,27,75,2020-03-24T23:37:15
IQ,Iraq,346,29,103,2020-03-25T23:33:04
IQ,Iraq,382,36,105,2020-03-26T23:48:18
IQ,Iraq,458,40,122,2020-03-27T23:23:03
IQ,Iraq,506,42,131,2020-03-28T23:05:25
IQ,Iraq,547,42,143,2020-03-29T23:08:13
IQ,Iraq,630,46,152,2020-03-30T22:52:33
IQ,Iraq,694,50,170,2020-03-31T23:43:43
IQ,Iraq,728,52,182,2020-04-01T21:58:34
IQ,Iraq,772,54,202,2020-04-02T23:25:14
IQ,Iraq,820,54,226,2020-04-03T23:56:18
IQ,Iraq,878,56,259,2020-04-04T23:34:04
IQ,Iraq,961,61,279,2020-04-05T23:06:26
IQ,Iraq,1031,64,344,2020-04-06T23:21:55
IQ,Iraq,1122,65,373,2020-04-07T23:04:29
IQ,Iraq,1202,69,452,2020-04-08T22:51:39
IQ,Iraq,1232,69,496,2020-04-09T23:02:19
IQ,Iraq,1279,70,550,2020-04-10T22:53:48
IQ,Iraq,1318,72,601,2020-04-11T23:56:45
IQ,Iraq,1318,72,601,2020-04-12T03:31:35
IQ,Iraq,1378,78,717,2020-04-13T23:07:34
IQ,Iraq,1400,78,766,2020-04-14T23:33:12
IQ,Iraq,1415,79,812,2020-04-15T22:56:32
IQ,Iraq,1434,80,856,2020-04-16T23:30:31
IQ,Iraq,1482,81,906,2020-04-17T23:30:32
IQ,Iraq,1513,82,953,2020-04-18T22:32:28
IQ,Iraq,1539,82,1009,2020-04-19T23:40:41
IQ,Iraq,1574,82,1043,2020-04-20T23:36:27
IQ,Iraq,1602,83,1096,2020-04-21T23:30:30
IQ,Iraq,1631,83,1146,2020-04-22T23:30:32
IQ,Iraq,1677,83,1171,2020-04-23T23:30:31
IQ,Iraq,1708,86,1204,2020-04-24T21:30:34
IQ,Iraq,1763,86,1224,2020-04-25T23:30:33
IQ,Iraq,1820,87,1263,2020-04-26T23:30:31
IQ,Iraq,1847,88,1286,2020-04-27T23:30:31
IQ,Iraq,1928,90,1319,2020-04-28T23:32:24
IQ,Iraq,2003,92,1346,2020-04-29T23:32:26
IQ,Iraq,2085,93,1375,2020-04-30T23:32:27
IQ,Iraq,2153,94,1414,2020-05-01T23:32:36
IQ,Iraq,2219,95,1473,2020-05-02T23:32:31
IQ,Iraq,2296,97,1490,2020-05-03T23:32:29
IQ,Iraq,2346,98,1544,2020-05-04T22:32:33
IQ,Iraq,2431,102,1571,2020-05-05T23:32:29
IQ,Iraq,2480,102,1602,2020-05-06T23:32:28
IQ,Iraq,2543,102,1626,2020-05-07T22:32:32
IQ,Iraq,2603,104,1661,2020-05-08T23:32:35
IQ,Iraq,2679,107,1702,2020-05-09T23:32:33
IQ,Iraq,2767,109,1734,2020-05-10T23:32:32
IQ,Iraq,2818,110,1790,2020-05-11T23:32:30
IQ,Iraq,2913,112,1903,2020-05-12T23:32:26
IQ,Iraq,3032,115,1966,2020-05-13T23:32:26
IQ,Iraq,3143,115,2028,2020-05-14T23:32:28
IQ,Iraq,3193,117,2089,2020-05-15T23:32:20
IQ,Iraq,3260,121,2126,2020-05-16T23:32:19
IQ,Iraq,3404,123,2218,2020-05-17T23:32:23
IQ,Iraq,3554,127,2310,2020-05-18T23:32:29
IQ,Iraq,3611,131,2366,2020-05-19T23:32:20
IQ,Iraq,3724,134,2438,2020-05-20T23:32:52
IQ,Iraq,3877,140,2483,2020-05-21T23:32:39
IQ,Iraq,3877,140,2483,2020-05-22T12:32:39
