country,name,cases,deaths,recovered,last_update
IR,Islamic Republic of Iran,2,2,0,2020-02-19T23:43:02
IR,Islamic Republic of Iran,5,2,0,2020-02-20T17:33:02
IR,Islamic Republic of Iran,18,4,0,2020-02-21T18:53:02
IR,Islamic Republic of Iran,28,5,0,2020-02-22T10:03:05
IR,Islamic Republic of Iran,43,8,0,2020-02-23T15:13:15
IR,Islamic Republic of Iran,61,12,0,2020-02-24T11:13:10
IR,Islamic Republic of Iran,95,16,0,2020-02-25T14:53:03
IR,Islamic Republic of Iran,139,19,49,2020-02-26T23:43:03
IR,Islamic Republic of Iran,245,26,49,2020-02-27T12:03:04
IR,Islamic Republic of Iran,388,34,73,2020-02-28T15:43:03
IR,Islamic Republic of Iran,593,43,123,2020-02-29T14:53:04
IR,Islamic Republic of Iran,978,54,175,2020-03-01T15:33:03
IR,Islamic Republic of Iran,1501,66,291,2020-03-02T20:23:16
IR,Islamic Republic of Iran,2336,77,291,2020-03-03T14:23:03
IR,Islamic Republic of Iran,2922,92,552,2020-03-04T12:33:03
IR,Islamic Republic of Iran,3513,107,739,2020-03-05T13:43:04
IR,Islamic Republic of Iran,4747,124,913,2020-03-06T12:23:04
IR,Islamic Republic of Iran,5823,145,1669,2020-03-07T17:43:05
IR,Islamic Republic of Iran,6566,194,2134,2020-03-08T11:03:30
IR,Islamic Republic of Iran,7161,237,2394,2020-03-09T10:53:03
IR,Islamic Republic of Iran,8042,291,2731,2020-03-10T19:13:20
IR,Islamic Republic of Iran,9000,354,2959,2020-03-11T18:52:03
IR,Islamic Republic of Iran,11364,514,2959,2020-03-11T20:00:00
IR,Islamic Republic of Iran,10075,429,2959,2020-03-12T11:13:27
IR,Islamic Republic of Iran,12729,611,2959,2020-03-14T11:33:06
IR,Islamic Republic of Iran,13938,724,4590,2020-03-15T18:20:18
IR,Islamic Republic of Iran,14991,853,4590,2020-03-16T14:38:45
IR,Islamic Republic of Iran,16169,988,5389,2020-03-17T15:13:09
IR,Islamic Republic of Iran,17361,1135,5389,2020-03-18T12:33:02
IR,Islamic Republic of Iran,18407,1284,5710,2020-03-19T11:33:29
IR,Islamic Republic of Iran,19644,1433,6745,2020-03-20T15:13:21
IR,Islamic Republic of Iran,20610,1556,7635,2020-03-21T11:13:12
IR,Islamic Republic of Iran,21638,1685,7635,2020-03-22T23:45:00
IR,Islamic Republic of Iran,23049,1812,8376,2020-03-23T23:19:21
IR,Islamic Republic of Iran,24811,1934,8913,2020-03-24T23:37:15
IR,Islamic Republic of Iran,27017,2077,9625,2020-03-25T23:33:04
IR,Islamic Republic of Iran,29406,2234,10457,2020-03-26T23:48:18
IR,Islamic Republic of Iran,32332,2378,11133,2020-03-27T23:23:03
IR,Islamic Republic of Iran,35408,2517,11679,2020-03-28T23:05:25
IR,Islamic Republic of Iran,38309,2640,12391,2020-03-29T23:08:13
IR,Islamic Republic of Iran,41495,2757,13911,2020-03-30T22:52:33
IR,Islamic Republic of Iran,44605,2898,14656,2020-03-31T23:43:43
IR,Islamic Republic of Iran,47593,3036,15473,2020-04-01T21:58:34
IR,Islamic Republic of Iran,50468,3160,16711,2020-04-02T23:25:14
IR,Islamic Republic of Iran,53183,3294,17935,2020-04-03T23:56:18
IR,Islamic Republic of Iran,55743,3452,19736,2020-04-04T23:34:04
IR,Islamic Republic of Iran,58226,3603,19736,2020-04-05T23:06:26
IR,Islamic Republic of Iran,60500,3739,24236,2020-04-06T23:21:55
IR,Islamic Republic of Iran,62589,3872,27039,2020-04-07T23:04:29
IR,Islamic Republic of Iran,64586,3993,29812,2020-04-08T22:51:39
IR,Islamic Republic of Iran,66220,4110,32309,2020-04-09T23:02:19
IR,Islamic Republic of Iran,68192,4232,35465,2020-04-10T22:53:48
IR,Islamic Republic of Iran,70029,4357,41947,2020-04-11T23:56:45
IR,Islamic Republic of Iran,70029,4357,41947,2020-04-12T03:31:35
IR,Islamic Republic of Iran,73303,4585,45983,2020-04-13T23:07:34
IR,Islamic Republic of Iran,74877,4683,48129,2020-04-14T23:33:12
IR,Islamic Republic of Iran,76389,4777,49933,2020-04-15T22:56:32
IR,Islamic Republic of Iran,77995,4869,52229,2020-04-16T23:30:31
IR,Islamic Republic of Iran,79494,4958,54064,2020-04-17T23:30:32
IR,Islamic Republic of Iran,80868,5031,55987,2020-04-18T22:32:28
IR,Islamic Republic of Iran,82211,5118,57023,2020-04-19T23:40:41
IR,Islamic Republic of Iran,83505,5209,59273,2020-04-20T23:36:27
IR,Islamic Republic of Iran,84802,5297,60965,2020-04-21T23:30:30
IR,Islamic Republic of Iran,85996,5391,63113,2020-04-22T23:30:32
IR,Islamic Republic of Iran,87026,5481,64843,2020-04-23T23:30:31
IR,Islamic Republic of Iran,88194,5574,66599,2020-04-24T21:30:34
IR,Islamic Republic of Iran,89328,5650,68193,2020-04-25T23:30:33
IR,Islamic Republic of Iran,90481,5710,69657,2020-04-26T23:30:31
IR,Islamic Republic of Iran,91472,5806,70933,2020-04-27T23:30:31
IR,Islamic Republic of Iran,92584,5877,72439,2020-04-28T23:32:24
IR,Islamic Republic of Iran,93657,5957,73791,2020-04-29T23:32:26
IR,Islamic Republic of Iran,94640,6028,75103,2020-04-30T23:32:27
IR,Islamic Republic of Iran,95646,6091,76318,2020-05-01T23:32:36
IR,Islamic Republic of Iran,96448,6156,77350,2020-05-02T23:32:31
IR,Islamic Republic of Iran,97424,6203,78422,2020-05-03T23:32:29
IR,Islamic Republic of Iran,98647,6277,79379,2020-05-04T22:32:33
IR,Islamic Republic of Iran,99970,6340,80475,2020-05-05T23:32:29
IR,Islamic Republic of Iran,101650,6418,81587,2020-05-06T23:32:28
IR,Islamic Republic of Iran,103135,6486,82744,2020-05-07T22:32:32
IR,Islamic Republic of Iran,104691,6541,83837,2020-05-08T23:32:35
IR,Islamic Republic of Iran,106220,6589,85064,2020-05-09T23:32:33
IR,Islamic Republic of Iran,107603,6640,86143,2020-05-10T23:32:32
IR,Islamic Republic of Iran,109286,6685,87422,2020-05-11T23:32:30
IR,Islamic Republic of Iran,110767,6733,88357,2020-05-12T23:32:26
IR,Islamic Republic of Iran,112725,6783,89428,2020-05-13T23:32:26
IR,Islamic Republic of Iran,114533,6854,90539,2020-05-14T23:32:28
IR,Islamic Republic of Iran,116635,6902,91836,2020-05-15T23:32:20
IR,Islamic Republic of Iran,118392,6937,93147,2020-05-16T23:32:19
IR,Islamic Republic of Iran,120198,6988,94464,2020-05-17T23:32:23
IR,Islamic Republic of Iran,122492,7057,95661,2020-05-18T23:32:29
IR,Islamic Republic of Iran,124603,7119,97173,2020-05-19T14:32:25
