country,name,cases,deaths,recovered,last_update
IS,Iceland,1,0,0,2020-02-28T15:33:03
IS,Iceland,1,0,0,2020-02-29T00:33:01
IS,Iceland,3,0,0,2020-03-01T23:33:03
IS,Iceland,6,0,0,2020-03-02T22:33:09
IS,Iceland,11,0,0,2020-03-03T15:13:26
IS,Iceland,26,0,0,2020-03-04T19:33:03
IS,Iceland,34,0,0,2020-03-05T13:53:03
IS,Iceland,43,0,0,2020-03-06T15:33:03
IS,Iceland,50,0,0,2020-03-07T18:13:27
IS,Iceland,58,0,0,2020-03-09T10:03:17
IS,Iceland,69,0,1,2020-03-10T12:53:02
IS,Iceland,85,0,1,2020-03-11T13:53:24
IS,Iceland,134,0,1,2020-03-11T20:00:00
IS,Iceland,103,0,1,2020-03-12T21:39:09
IS,Iceland,156,0,1,2020-03-14T14:53:04
IS,Iceland,171,5,8,2020-03-15T18:20:18
IS,Iceland,180,0,0,2020-03-16T02:13:15
IS,Iceland,220,1,0,2020-03-17T15:33:06
IS,Iceland,250,1,5,2020-03-18T12:33:02
IS,Iceland,330,1,5,2020-03-19T11:33:29
IS,Iceland,409,0,5,2020-03-20T15:13:21
IS,Iceland,473,1,22,2020-03-21T17:13:18
IS,Iceland,568,1,5,2020-03-22T23:45:00
IS,Iceland,588,1,51,2020-03-23T23:19:21
IS,Iceland,648,2,51,2020-03-24T23:37:15
IS,Iceland,737,2,56,2020-03-25T23:33:04
IS,Iceland,802,2,82,2020-03-26T23:48:18
IS,Iceland,890,2,97,2020-03-27T23:23:03
IS,Iceland,963,2,114,2020-03-28T23:05:25
IS,Iceland,1020,2,135,2020-03-29T23:08:13
IS,Iceland,1086,2,157,2020-03-30T22:52:33
IS,Iceland,1135,2,198,2020-03-31T23:43:43
IS,Iceland,1220,2,225,2020-04-01T21:58:34
IS,Iceland,1319,4,284,2020-04-02T23:25:14
IS,Iceland,1364,4,309,2020-04-03T23:56:18
IS,Iceland,1417,4,396,2020-04-04T23:34:04
IS,Iceland,1486,4,428,2020-04-05T23:06:26
IS,Iceland,1562,6,460,2020-04-06T23:21:55
IS,Iceland,1586,6,559,2020-04-07T23:04:29
IS,Iceland,1616,6,633,2020-04-08T22:51:39
IS,Iceland,1648,6,688,2020-04-09T23:02:19
IS,Iceland,1675,7,751,2020-04-10T22:53:48
IS,Iceland,1689,8,841,2020-04-11T23:56:45
IS,Iceland,1689,8,841,2020-04-12T03:31:35
IS,Iceland,1711,8,933,2020-04-13T23:07:34
IS,Iceland,1720,8,989,2020-04-14T23:33:12
IS,Iceland,1727,8,1077,2020-04-15T22:56:32
IS,Iceland,1739,8,1144,2020-04-16T23:30:31
IS,Iceland,1754,9,1224,2020-04-17T23:30:32
IS,Iceland,1760,9,1291,2020-04-18T22:32:28
IS,Iceland,1771,9,1291,2020-04-19T23:40:41
IS,Iceland,1773,10,1362,2020-04-20T23:36:27
IS,Iceland,1778,10,1417,2020-04-21T23:30:30
IS,Iceland,1785,10,1462,2020-04-22T23:30:32
IS,Iceland,1789,10,1509,2020-04-23T23:30:31
IS,Iceland,1789,10,1542,2020-04-24T21:30:34
IS,Iceland,1790,10,1570,2020-04-25T23:30:33
IS,Iceland,1792,10,1608,2020-04-26T23:30:31
IS,Iceland,1792,10,1624,2020-04-27T23:30:31
IS,Iceland,1795,10,1636,2020-04-28T23:32:24
IS,Iceland,1797,10,1656,2020-04-29T23:32:26
IS,Iceland,1797,10,1670,2020-04-30T23:32:27
IS,Iceland,1798,10,1689,2020-05-01T23:32:36
IS,Iceland,1798,10,1706,2020-05-02T23:32:31
IS,Iceland,1799,10,1717,2020-05-03T23:32:29
IS,Iceland,1799,10,1723,2020-05-04T22:32:33
IS,Iceland,1799,10,1733,2020-05-05T23:32:29
IS,Iceland,1799,10,1750,2020-05-06T23:32:28
IS,Iceland,1801,10,1755,2020-05-07T22:32:32
IS,Iceland,1801,10,1765,2020-05-08T23:32:35
IS,Iceland,1801,10,1773,2020-05-09T23:32:33
IS,Iceland,1801,10,1773,2020-05-10T23:32:32
IS,Iceland,1801,10,1773,2020-05-11T23:32:30
IS,Iceland,1801,10,1776,2020-05-12T23:32:26
IS,Iceland,1802,10,1780,2020-05-13T23:32:26
IS,Iceland,1802,10,1780,2020-05-14T23:32:28
IS,Iceland,1802,10,1782,2020-05-15T23:32:20
IS,Iceland,1802,10,1786,2020-05-16T23:32:19
IS,Iceland,1802,10,1786,2020-05-17T23:32:23
IS,Iceland,1802,10,1786,2020-05-18T23:32:29
IS,Iceland,1802,10,1789,2020-05-19T23:32:20
IS,Iceland,1803,10,1789,2020-05-20T23:32:52
IS,Iceland,1803,10,1790,2020-05-21T23:32:39
IS,Iceland,1803,10,1791,2020-05-22T23:32:40
IS,Iceland,1804,10,1791,2020-05-23T19:06:14
