country,name,cases,deaths,recovered,last_update
JO,Jordan,1,0,0,2020-03-03T15:33:02
JO,Jordan,1,0,1,2020-03-11T20:00:00
JO,Jordan,1,0,1,2020-03-14T12:53:07
JO,Jordan,8,0,1,2020-03-15T18:20:18
JO,Jordan,17,0,1,2020-03-16T15:13:35
JO,Jordan,34,0,1,2020-03-17T11:13:29
JO,Jordan,52,0,1,2020-03-18T14:53:05
JO,Jordan,69,0,1,2020-03-19T18:13:29
JO,Jordan,85,0,1,2020-03-20T20:43:02
JO,Jordan,112,0,1,2020-03-22T23:45:00
JO,Jordan,127,0,1,2020-03-23T23:19:21
JO,Jordan,154,0,1,2020-03-24T23:37:15
JO,Jordan,172,0,1,2020-03-25T23:33:04
JO,Jordan,212,0,1,2020-03-26T23:48:18
JO,Jordan,235,1,18,2020-03-27T23:23:03
JO,Jordan,246,1,18,2020-03-28T23:05:25
JO,Jordan,259,3,18,2020-03-29T23:08:13
JO,Jordan,268,5,26,2020-03-30T22:52:33
JO,Jordan,274,5,30,2020-03-31T23:43:43
JO,Jordan,278,5,36,2020-04-01T21:58:34
JO,Jordan,299,5,45,2020-04-02T23:25:14
JO,Jordan,310,5,58,2020-04-03T23:56:18
JO,Jordan,323,5,74,2020-04-04T23:34:04
JO,Jordan,345,5,110,2020-04-05T23:06:26
JO,Jordan,349,6,126,2020-04-06T23:21:55
JO,Jordan,353,6,138,2020-04-07T23:04:29
JO,Jordan,358,6,150,2020-04-08T22:51:39
JO,Jordan,372,7,161,2020-04-09T23:02:19
JO,Jordan,372,7,170,2020-04-10T22:53:48
JO,Jordan,381,7,177,2020-04-11T23:56:45
JO,Jordan,381,7,177,2020-04-12T03:31:35
JO,Jordan,391,7,215,2020-04-13T23:07:34
JO,Jordan,397,7,235,2020-04-14T23:33:12
JO,Jordan,401,7,250,2020-04-15T22:56:32
JO,Jordan,402,7,259,2020-04-16T23:30:31
JO,Jordan,407,7,265,2020-04-17T23:30:32
JO,Jordan,413,7,269,2020-04-18T22:32:28
JO,Jordan,417,7,276,2020-04-19T23:40:41
JO,Jordan,425,7,282,2020-04-20T23:36:27
JO,Jordan,428,7,297,2020-04-21T23:30:30
JO,Jordan,435,7,315,2020-04-22T23:30:32
JO,Jordan,437,7,318,2020-04-23T23:30:31
JO,Jordan,441,7,326,2020-04-24T21:30:34
JO,Jordan,444,7,332,2020-04-25T23:30:33
JO,Jordan,447,7,337,2020-04-26T23:30:31
JO,Jordan,449,7,342,2020-04-27T23:30:31
JO,Jordan,449,8,348,2020-04-28T23:32:24
JO,Jordan,451,8,356,2020-04-29T23:32:26
JO,Jordan,453,8,362,2020-04-30T23:32:27
JO,Jordan,459,8,364,2020-05-01T23:32:36
JO,Jordan,460,9,367,2020-05-02T23:32:31
JO,Jordan,461,9,367,2020-05-03T23:32:29
JO,Jordan,465,9,370,2020-05-04T22:32:33
JO,Jordan,471,9,375,2020-05-05T23:32:29
JO,Jordan,473,9,377,2020-05-06T23:32:28
JO,Jordan,494,9,381,2020-05-07T22:32:32
JO,Jordan,508,9,385,2020-05-08T23:32:35
JO,Jordan,522,9,387,2020-05-09T23:32:33
JO,Jordan,540,9,389,2020-05-10T23:32:32
JO,Jordan,562,9,390,2020-05-11T23:32:30
JO,Jordan,576,9,390,2020-05-12T23:32:26
JO,Jordan,582,9,392,2020-05-13T23:32:26
JO,Jordan,586,9,393,2020-05-14T23:32:28
JO,Jordan,596,9,401,2020-05-15T23:32:20
JO,Jordan,607,9,404,2020-05-16T23:32:19
JO,Jordan,613,9,408,2020-05-17T23:32:23
JO,Jordan,629,9,413,2020-05-18T23:32:29
JO,Jordan,649,9,417,2020-05-19T23:32:20
JO,Jordan,672,9,446,2020-05-20T23:32:52
JO,Jordan,684,9,457,2020-05-21T23:32:39
JO,Jordan,684,9,457,2020-05-22T12:32:39
