country,name,cases,deaths,recovered,last_update
JP,Japan,2,0,0,2020-01-22T17:00:00
JP,Japan,1,0,0,2020-01-23T17:00:00
JP,Japan,2,0,0,2020-01-24T17:00:00
JP,Japan,2,0,0,2020-01-25T17:00:00
JP,Japan,4,0,1,2020-01-26T16:00:00
JP,Japan,4,0,1,2020-01-27T23:59:00
JP,Japan,7,0,1,2020-01-28T23:00:00
JP,Japan,7,0,1,2020-01-29T19:30:00
JP,Japan,11,0,1,2020-01-30T16:00:00
JP,Japan,15,0,1,2020-01-31T23:59:00
JP,Japan,20,0,1,2020-02-01T18:53:00
JP,Japan,20,0,1,2020-02-01T18:53:03
JP,Japan,22,0,1,2020-02-04T16:43:03
JP,Japan,45,0,1,2020-02-06T02:53:03
JP,Japan,25,0,1,2020-02-07T04:13:20
JP,Japan,26,0,1,2020-02-09T06:13:11
JP,Japan,26,0,4,2020-02-10T21:33:02
JP,Japan,26,0,9,2020-02-11T02:53:02
JP,Japan,28,0,9,2020-02-12T02:43:03
JP,Japan,28,1,9,2020-02-13T12:23:05
JP,Japan,29,1,9,2020-02-14T03:53:02
JP,Japan,43,1,12,2020-02-15T17:43:06
JP,Japan,59,1,12,2020-02-16T17:43:03
JP,Japan,66,1,12,2020-02-17T14:33:04
JP,Japan,74,1,13,2020-02-18T17:23:04
JP,Japan,84,1,18,2020-02-19T20:33:02
JP,Japan,94,1,18,2020-02-20T15:53:03
JP,Japan,105,1,22,2020-02-21T19:03:06
JP,Japan,122,1,22,2020-02-22T14:53:02
JP,Japan,147,1,22,2020-02-23T23:33:07
JP,Japan,159,1,22,2020-02-24T14:23:03
JP,Japan,170,1,22,2020-02-25T14:53:03
JP,Japan,189,2,22,2020-02-26T23:43:03
JP,Japan,214,4,22,2020-02-27T23:33:02
JP,Japan,228,4,22,2020-02-28T12:43:02
JP,Japan,241,5,32,2020-02-29T15:53:04
JP,Japan,256,6,32,2020-03-01T23:33:03
JP,Japan,274,6,32,2020-03-02T20:33:02
JP,Japan,293,6,43,2020-03-03T20:03:06
JP,Japan,331,6,43,2020-03-04T19:23:03
JP,Japan,360,6,43,2020-03-05T13:43:04
JP,Japan,420,6,46,2020-03-06T20:13:13
JP,Japan,461,6,76,2020-03-07T17:43:05
JP,Japan,502,6,76,2020-03-08T14:53:11
JP,Japan,511,17,76,2020-03-09T09:13:17
JP,Japan,581,10,101,2020-03-10T16:13:16
JP,Japan,701,19,118,2020-03-11T20:00:00
JP,Japan,639,15,118,2020-03-11T21:33:03
JP,Japan,639,16,118,2020-03-12T05:13:02
JP,Japan,773,22,118,2020-03-14T22:33:03
JP,Japan,825,27,144,2020-03-16T14:38:45
JP,Japan,878,29,144,2020-03-17T16:53:04
JP,Japan,889,29,144,2020-03-18T12:33:02
JP,Japan,924,29,150,2020-03-19T10:13:15
JP,Japan,963,33,191,2020-03-20T14:13:08
JP,Japan,1007,35,232,2020-03-21T20:43:02
JP,Japan,1086,36,235,2020-03-22T23:45:00
JP,Japan,1128,42,235,2020-03-23T23:19:21
JP,Japan,1193,43,285,2020-03-24T23:37:15
JP,Japan,1307,45,310,2020-03-25T23:33:04
JP,Japan,1387,47,359,2020-03-26T23:48:18
JP,Japan,1468,49,372,2020-03-27T23:23:03
JP,Japan,1693,52,404,2020-03-28T23:05:25
JP,Japan,1866,54,424,2020-03-29T23:08:13
JP,Japan,1866,54,424,2020-03-30T22:52:33
JP,Japan,1953,56,424,2020-03-31T23:43:43
JP,Japan,2178,57,472,2020-04-01T21:58:34
JP,Japan,2495,62,472,2020-04-02T23:25:14
JP,Japan,2617,63,514,2020-04-03T23:56:18
JP,Japan,3139,77,514,2020-04-04T23:34:04
JP,Japan,3139,77,514,2020-04-05T23:06:26
JP,Japan,3654,85,575,2020-04-06T23:21:55
JP,Japan,3906,92,592,2020-04-07T23:04:29
JP,Japan,4257,93,622,2020-04-08T22:51:39
JP,Japan,4667,94,632,2020-04-09T23:02:19
JP,Japan,5530,99,685,2020-04-10T22:53:48
JP,Japan,6005,99,762,2020-04-11T23:56:45
JP,Japan,6748,108,762,2020-04-12T03:31:35
JP,Japan,7370,123,784,2020-04-13T23:07:34
JP,Japan,7645,143,799,2020-04-14T23:33:12
JP,Japan,8100,146,853,2020-04-15T22:56:32
JP,Japan,8626,178,901,2020-04-16T23:30:31
JP,Japan,9787,190,935,2020-04-17T23:30:32
JP,Japan,10296,222,1069,2020-04-18T22:32:28
JP,Japan,10797,236,1159,2020-04-19T23:40:41
JP,Japan,10797,236,1159,2020-04-20T23:36:27
JP,Japan,11135,263,1239,2020-04-21T23:30:30
JP,Japan,11512,281,1356,2020-04-22T23:30:32
JP,Japan,11950,299,1424,2020-04-23T23:30:31
JP,Japan,12368,328,1494,2020-04-24T21:30:34
JP,Japan,12829,345,1530,2020-04-25T23:30:33
JP,Japan,13231,360,1656,2020-04-26T23:30:31
JP,Japan,13441,372,1809,2020-04-27T23:30:31
JP,Japan,13614,385,1899,2020-04-28T23:32:24
JP,Japan,13736,394,1899,2020-04-29T23:32:26
JP,Japan,13965,425,2368,2020-04-30T23:32:27
JP,Japan,14088,430,2460,2020-05-01T23:32:36
JP,Japan,14305,455,2975,2020-05-02T23:32:31
JP,Japan,14571,474,3205,2020-05-03T23:32:29
JP,Japan,14877,487,3981,2020-05-04T22:32:33
JP,Japan,15078,536,4156,2020-05-05T23:32:29
JP,Japan,15253,556,4496,2020-05-06T23:32:28
JP,Japan,15477,577,4918,2020-05-07T22:32:32
JP,Japan,15575,590,5146,2020-05-08T23:32:35
JP,Japan,15575,590,5146,2020-05-09T23:32:33
JP,Japan,15663,607,5906,2020-05-10T23:32:32
JP,Japan,15777,624,8127,2020-05-11T23:32:30
JP,Japan,15847,633,8293,2020-05-12T23:32:26
JP,Japan,15968,657,8531,2020-05-13T23:32:26
JP,Japan,16049,678,8920,2020-05-14T23:32:28
JP,Japan,16203,713,10338,2020-05-15T23:32:20
JP,Japan,16203,713,10338,2020-05-16T23:32:19
JP,Japan,16285,744,11153,2020-05-17T23:32:23
JP,Japan,16305,749,11564,2020-05-18T23:32:29
