country,name,cases,deaths,recovered,last_update
KE,Kenya,1,0,0,2020-03-11T20:00:00
KE,Kenya,1,0,0,2020-03-13T22:22:03
KE,Kenya,3,0,0,2020-03-16T00:22:11
KE,Kenya,7,0,0,2020-03-19T02:33:08
KE,Kenya,15,0,0,2020-03-22T23:45:00
KE,Kenya,16,0,0,2020-03-23T23:19:21
KE,Kenya,25,0,0,2020-03-24T23:37:15
KE,Kenya,28,0,1,2020-03-25T23:33:04
KE,Kenya,31,1,1,2020-03-26T23:48:18
KE,Kenya,31,1,1,2020-03-27T23:23:03
KE,Kenya,38,1,1,2020-03-28T23:05:25
KE,Kenya,42,1,1,2020-03-29T23:08:13
KE,Kenya,50,1,1,2020-03-30T22:52:33
KE,Kenya,59,1,1,2020-03-31T23:43:43
KE,Kenya,81,1,3,2020-04-01T21:58:34
KE,Kenya,110,3,4,2020-04-02T23:25:14
KE,Kenya,122,4,4,2020-04-03T23:56:18
KE,Kenya,126,4,4,2020-04-04T23:34:04
KE,Kenya,142,4,4,2020-04-05T23:06:26
KE,Kenya,158,6,4,2020-04-06T23:21:55
KE,Kenya,172,6,7,2020-04-07T23:04:29
KE,Kenya,179,6,9,2020-04-08T22:51:39
KE,Kenya,184,7,12,2020-04-09T23:02:19
KE,Kenya,189,7,22,2020-04-10T22:53:48
KE,Kenya,191,7,24,2020-04-11T23:56:45
KE,Kenya,191,7,24,2020-04-12T03:31:35
KE,Kenya,208,9,40,2020-04-13T23:07:34
KE,Kenya,216,9,41,2020-04-14T23:33:12
KE,Kenya,225,10,53,2020-04-15T22:56:32
KE,Kenya,234,11,53,2020-04-16T23:30:31
KE,Kenya,246,11,53,2020-04-17T23:30:32
KE,Kenya,262,12,60,2020-04-18T22:32:28
KE,Kenya,270,14,67,2020-04-19T23:40:41
KE,Kenya,281,14,69,2020-04-20T23:36:27
KE,Kenya,296,14,74,2020-04-21T23:30:30
KE,Kenya,303,14,74,2020-04-22T23:30:32
KE,Kenya,320,14,89,2020-04-23T23:30:31
KE,Kenya,336,14,94,2020-04-24T21:30:34
KE,Kenya,343,14,98,2020-04-25T23:30:33
KE,Kenya,355,14,106,2020-04-26T23:30:31
KE,Kenya,363,14,114,2020-04-27T23:30:31
KE,Kenya,374,14,124,2020-04-28T23:32:24
KE,Kenya,384,15,129,2020-04-29T23:32:26
KE,Kenya,396,17,144,2020-04-30T23:32:27
KE,Kenya,411,21,150,2020-05-01T23:32:36
KE,Kenya,435,22,152,2020-05-02T23:32:31
KE,Kenya,465,24,167,2020-05-03T23:32:29
KE,Kenya,490,24,173,2020-05-04T22:32:33
KE,Kenya,535,24,182,2020-05-05T23:32:29
KE,Kenya,582,26,190,2020-05-06T23:32:28
KE,Kenya,607,29,197,2020-05-07T22:32:32
KE,Kenya,621,29,202,2020-05-08T23:32:35
KE,Kenya,649,30,207,2020-05-09T23:32:33
KE,Kenya,672,32,239,2020-05-10T23:32:32
KE,Kenya,700,33,251,2020-05-11T23:32:30
KE,Kenya,715,36,259,2020-05-12T23:32:26
KE,Kenya,737,40,281,2020-05-13T23:32:26
KE,Kenya,758,42,284,2020-05-14T23:32:28
KE,Kenya,781,45,284,2020-05-15T23:32:20
KE,Kenya,830,50,301,2020-05-16T23:32:19
KE,Kenya,887,50,313,2020-05-17T23:32:23
KE,Kenya,912,50,336,2020-05-18T23:32:29
KE,Kenya,963,50,358,2020-05-19T23:32:20
KE,Kenya,1029,50,366,2020-05-20T23:32:52
KE,Kenya,1109,50,375,2020-05-21T23:32:39
KE,Kenya,1161,50,380,2020-05-22T23:32:40
KE,Kenya,1192,50,380,2020-05-23T19:06:14
