country,name,cases,deaths,recovered,last_update
KG,Kyrgyzstan,3,0,0,2020-03-18T11:53:04
KG,Kyrgyzstan,6,0,0,2020-03-20T14:13:36
KG,Kyrgyzstan,14,0,0,2020-03-21T17:43:03
KG,Kyrgyzstan,14,0,0,2020-03-22T23:45:00
KG,Kyrgyzstan,16,0,0,2020-03-23T23:19:21
KG,Kyrgyzstan,42,0,0,2020-03-24T23:37:15
KG,Kyrgyzstan,44,0,0,2020-03-25T23:33:04
KG,Kyrgyzstan,44,0,0,2020-03-26T23:48:18
KG,Kyrgyzstan,58,0,0,2020-03-27T23:23:03
KG,Kyrgyzstan,58,0,0,2020-03-28T23:05:25
KG,Kyrgyzstan,84,0,0,2020-03-29T23:08:13
KG,Kyrgyzstan,94,0,3,2020-03-30T22:52:33
KG,Kyrgyzstan,107,0,3,2020-03-31T23:43:43
KG,Kyrgyzstan,111,0,3,2020-04-01T21:58:34
KG,Kyrgyzstan,116,0,5,2020-04-02T23:25:14
KG,Kyrgyzstan,130,1,6,2020-04-03T23:56:18
KG,Kyrgyzstan,144,1,9,2020-04-04T23:34:04
KG,Kyrgyzstan,147,1,9,2020-04-05T23:06:26
KG,Kyrgyzstan,216,4,33,2020-04-06T23:21:55
KG,Kyrgyzstan,228,4,33,2020-04-07T23:04:29
KG,Kyrgyzstan,270,4,33,2020-04-08T22:51:39
KG,Kyrgyzstan,280,4,35,2020-04-09T23:02:19
KG,Kyrgyzstan,298,5,35,2020-04-10T22:53:48
KG,Kyrgyzstan,339,5,44,2020-04-11T23:56:45
KG,Kyrgyzstan,339,5,44,2020-04-12T03:31:35
KG,Kyrgyzstan,419,5,67,2020-04-13T23:07:34
KG,Kyrgyzstan,430,5,71,2020-04-14T23:33:12
KG,Kyrgyzstan,449,5,78,2020-04-15T22:56:32
KG,Kyrgyzstan,466,5,91,2020-04-16T23:30:31
KG,Kyrgyzstan,489,5,114,2020-04-17T23:30:32
KG,Kyrgyzstan,506,5,130,2020-04-18T22:32:28
KG,Kyrgyzstan,554,5,133,2020-04-19T23:40:41
KG,Kyrgyzstan,568,7,201,2020-04-20T23:36:27
KG,Kyrgyzstan,590,7,216,2020-04-21T23:30:30
KG,Kyrgyzstan,612,7,254,2020-04-22T23:30:32
KG,Kyrgyzstan,631,8,302,2020-04-23T23:30:31
KG,Kyrgyzstan,656,8,322,2020-04-24T21:30:34
KG,Kyrgyzstan,665,8,345,2020-04-25T23:30:33
KG,Kyrgyzstan,682,8,370,2020-04-26T23:30:31
KG,Kyrgyzstan,695,8,395,2020-04-27T23:30:31
KG,Kyrgyzstan,708,8,416,2020-04-28T23:32:24
KG,Kyrgyzstan,729,8,437,2020-04-29T23:32:26
KG,Kyrgyzstan,746,8,462,2020-04-30T23:32:27
KG,Kyrgyzstan,756,8,504,2020-05-01T23:32:36
KG,Kyrgyzstan,769,8,527,2020-05-02T23:32:31
KG,Kyrgyzstan,795,10,564,2020-05-03T23:32:29
KG,Kyrgyzstan,830,10,575,2020-05-04T22:32:33
KG,Kyrgyzstan,843,11,600,2020-05-05T23:32:29
KG,Kyrgyzstan,871,12,614,2020-05-06T23:32:28
KG,Kyrgyzstan,895,12,637,2020-05-07T22:32:32
KG,Kyrgyzstan,906,12,650,2020-05-08T23:32:35
KG,Kyrgyzstan,931,12,658,2020-05-09T23:32:33
KG,Kyrgyzstan,1002,12,675,2020-05-10T23:32:32
KG,Kyrgyzstan,1016,12,688,2020-05-11T23:32:30
KG,Kyrgyzstan,1037,12,709,2020-05-12T23:32:26
KG,Kyrgyzstan,1044,12,726,2020-05-13T23:32:26
KG,Kyrgyzstan,1082,12,735,2020-05-14T23:32:28
KG,Kyrgyzstan,1111,14,745,2020-05-15T23:32:20
KG,Kyrgyzstan,1117,14,783,2020-05-16T23:32:19
KG,Kyrgyzstan,1138,14,804,2020-05-17T23:32:23
KG,Kyrgyzstan,1216,14,827,2020-05-18T18:01:58
