country,name,cases,deaths,recovered,last_update
KM,Comoros,1,0,0,2020-04-30T23:32:27
KM,Comoros,1,0,0,2020-05-01T23:32:36
KM,Comoros,3,0,0,2020-05-02T23:32:31
KM,Comoros,3,0,0,2020-05-03T23:32:29
KM,Comoros,3,0,0,2020-05-04T22:32:33
KM,Comoros,3,0,0,2020-05-05T23:32:29
KM,Comoros,4,1,0,2020-05-06T23:32:28
KM,Comoros,8,1,0,2020-05-07T22:32:32
KM,Comoros,8,1,0,2020-05-08T23:32:35
KM,Comoros,11,1,0,2020-05-09T23:32:33
KM,Comoros,11,1,0,2020-05-10T23:32:32
KM,Comoros,11,1,0,2020-05-11T23:32:30
KM,Comoros,11,1,0,2020-05-12T23:32:26
KM,Comoros,11,1,0,2020-05-13T23:32:26
KM,Comoros,11,1,3,2020-05-14T23:32:28
KM,Comoros,11,1,3,2020-05-15T23:32:20
KM,Comoros,11,1,3,2020-05-16T23:32:19
KM,Comoros,11,1,3,2020-05-17T23:32:23
KM,Comoros,11,1,3,2020-05-18T23:32:29
KM,Comoros,11,1,3,2020-05-19T23:32:20
KM,Comoros,34,1,8,2020-05-20T23:32:52
KM,Comoros,34,1,8,2020-05-21T23:32:39
KM,Comoros,78,1,18,2020-05-22T23:32:40
KM,Comoros,78,1,18,2020-05-23T19:06:14
