country,name,cases,deaths,recovered,last_update
KR,Republic of Korea,1,0,0,2020-01-22T17:00:00
KR,Republic of Korea,1,0,0,2020-01-23T17:00:00
KR,Republic of Korea,2,0,0,2020-01-24T17:00:00
KR,Republic of Korea,2,0,0,2020-01-25T17:00:00
KR,Republic of Korea,3,0,0,2020-01-26T16:00:00
KR,Republic of Korea,4,0,0,2020-01-27T23:59:00
KR,Republic of Korea,4,0,0,2020-01-28T23:00:00
KR,Republic of Korea,4,0,0,2020-01-29T19:30:00
KR,Republic of Korea,4,0,0,2020-01-30T16:00:00
KR,Republic of Korea,11,0,0,2020-01-31T23:59:00
KR,Republic of Korea,12,0,0,2020-02-01T10:43:00
KR,Republic of Korea,15,0,0,2020-02-02T02:23:13
KR,Republic of Korea,16,0,0,2020-02-04T15:33:03
KR,Republic of Korea,19,0,0,2020-02-05T15:33:01
KR,Republic of Korea,23,0,0,2020-02-06T02:53:03
KR,Republic of Korea,24,0,1,2020-02-07T03:03:03
KR,Republic of Korea,25,0,3,2020-02-09T02:33:02
KR,Republic of Korea,27,0,3,2020-02-10T03:03:09
KR,Republic of Korea,28,0,3,2020-02-11T02:53:02
KR,Republic of Korea,28,0,7,2020-02-12T14:43:03
KR,Republic of Korea,28,0,9,2020-02-15T23:33:02
KR,Republic of Korea,29,0,9,2020-02-16T01:33:02
KR,Republic of Korea,30,0,10,2020-02-17T23:43:01
KR,Republic of Korea,31,0,12,2020-02-18T03:43:02
KR,Republic of Korea,104,1,16,2020-02-20T09:53:02
KR,Republic of Korea,204,2,16,2020-02-21T13:43:02
KR,Republic of Korea,433,2,16,2020-02-22T08:33:02
KR,Republic of Korea,602,6,18,2020-02-23T23:33:07
KR,Republic of Korea,833,8,18,2020-02-24T11:13:10
KR,Republic of Korea,977,10,22,2020-02-25T08:13:19
KR,Republic of Korea,1261,12,22,2020-02-26T11:03:11
KR,Republic of Korea,1766,13,22,2020-02-27T12:03:04
KR,Republic of Korea,2337,13,22,2020-02-28T08:53:03
KR,Republic of Korea,3150,16,27,2020-02-29T18:13:07
KR,Republic of Korea,3736,17,30,2020-03-01T23:43:03
KR,Republic of Korea,4335,28,30,2020-03-02T20:23:16
KR,Republic of Korea,5186,28,30,2020-03-03T09:43:02
KR,Republic of Korea,5621,35,41,2020-03-04T19:23:03
KR,Republic of Korea,6088,35,41,2020-03-05T09:03:09
KR,Republic of Korea,6593,42,135,2020-03-06T13:33:03
KR,Republic of Korea,7041,44,135,2020-03-07T10:13:22
KR,Republic of Korea,7314,50,118,2020-03-08T12:53:03
KR,Republic of Korea,7478,53,118,2020-03-09T09:03:03
KR,Republic of Korea,7513,54,247,2020-03-10T19:13:20
KR,Republic of Korea,7979,66,510,2020-03-11T20:00:00
KR,Republic of Korea,7755,60,288,2020-03-11T21:13:18
