country,name,cases,deaths,recovered,last_update
KW,Kuwait,1,0,0,2020-02-24T23:33:02
KW,Kuwait,11,0,0,2020-02-25T23:43:03
KW,Kuwait,26,0,0,2020-02-26T19:23:04
KW,Kuwait,43,0,0,2020-02-27T13:33:03
KW,Kuwait,45,0,0,2020-02-28T16:23:03
KW,Kuwait,56,0,0,2020-03-02T20:33:02
KW,Kuwait,58,0,0,2020-03-05T13:43:04
KW,Kuwait,61,0,0,2020-03-07T18:13:26
KW,Kuwait,64,0,1,2020-03-08T15:33:04
KW,Kuwait,69,0,1,2020-03-10T10:13:28
KW,Kuwait,72,0,2,2020-03-11T09:53:03
KW,Kuwait,80,0,5,2020-03-11T20:00:00
KW,Kuwait,80,0,5,2020-03-12T09:13:24
KW,Kuwait,104,0,5,2020-03-14T16:14:34
KW,Kuwait,112,0,5,2020-03-15T18:20:18
KW,Kuwait,123,0,9,2020-03-16T14:38:45
KW,Kuwait,130,0,9,2020-03-17T10:53:03
KW,Kuwait,142,0,15,2020-03-18T10:53:02
KW,Kuwait,148,0,18,2020-03-19T10:13:23
KW,Kuwait,159,0,18,2020-03-20T14:43:04
KW,Kuwait,176,0,27,2020-03-21T12:13:19
KW,Kuwait,188,0,30,2020-03-22T23:45:00
KW,Kuwait,189,0,30,2020-03-23T23:19:21
KW,Kuwait,191,0,39,2020-03-24T23:37:15
KW,Kuwait,195,0,43,2020-03-25T23:33:04
KW,Kuwait,208,0,49,2020-03-26T23:48:18
KW,Kuwait,225,0,57,2020-03-27T23:23:03
KW,Kuwait,235,0,64,2020-03-28T23:05:25
KW,Kuwait,255,0,67,2020-03-29T23:08:13
KW,Kuwait,266,0,72,2020-03-30T22:52:33
KW,Kuwait,289,0,73,2020-03-31T23:43:43
KW,Kuwait,317,0,80,2020-04-01T21:58:34
KW,Kuwait,342,0,81,2020-04-02T23:25:14
KW,Kuwait,417,0,82,2020-04-03T23:56:18
KW,Kuwait,479,1,93,2020-04-04T23:34:04
KW,Kuwait,556,1,99,2020-04-05T23:06:26
KW,Kuwait,665,1,103,2020-04-06T23:21:55
KW,Kuwait,743,1,105,2020-04-07T23:04:29
KW,Kuwait,855,1,111,2020-04-08T22:51:39
KW,Kuwait,910,1,111,2020-04-09T23:02:19
KW,Kuwait,993,1,123,2020-04-10T22:53:48
KW,Kuwait,1154,1,133,2020-04-11T23:56:45
KW,Kuwait,1154,1,133,2020-04-12T03:31:35
KW,Kuwait,1300,2,150,2020-04-13T23:07:34
KW,Kuwait,1355,3,176,2020-04-14T23:33:12
KW,Kuwait,1405,3,206,2020-04-15T22:56:32
KW,Kuwait,1524,3,225,2020-04-16T23:30:31
KW,Kuwait,1658,5,258,2020-04-17T23:30:32
KW,Kuwait,1751,6,280,2020-04-18T22:32:28
KW,Kuwait,1915,7,305,2020-04-19T23:40:41
KW,Kuwait,1995,9,367,2020-04-20T23:36:27
KW,Kuwait,2080,11,412,2020-04-21T23:30:30
KW,Kuwait,2248,13,443,2020-04-22T23:30:32
KW,Kuwait,2399,14,498,2020-04-23T23:30:31
KW,Kuwait,2614,15,613,2020-04-24T21:30:34
KW,Kuwait,2892,19,656,2020-04-25T23:30:33
KW,Kuwait,3075,20,806,2020-04-26T23:30:31
KW,Kuwait,3288,22,1012,2020-04-27T23:30:31
KW,Kuwait,3440,23,1176,2020-04-28T23:32:24
KW,Kuwait,3740,24,1389,2020-04-29T23:32:26
KW,Kuwait,4024,26,1539,2020-04-30T23:32:27
KW,Kuwait,4377,30,1602,2020-05-01T23:32:36
KW,Kuwait,4619,33,1703,2020-05-02T23:32:31
KW,Kuwait,4983,38,1776,2020-05-03T23:32:29
KW,Kuwait,5278,40,1947,2020-05-04T22:32:33
KW,Kuwait,5804,40,2032,2020-05-05T23:32:29
KW,Kuwait,6289,42,2219,2020-05-06T23:32:28
KW,Kuwait,6567,44,2381,2020-05-07T22:32:32
KW,Kuwait,7208,47,2466,2020-05-08T23:32:35
KW,Kuwait,7623,49,2622,2020-05-09T23:32:33
KW,Kuwait,8688,58,2729,2020-05-10T23:32:32
KW,Kuwait,9286,65,2907,2020-05-11T23:32:30
KW,Kuwait,10277,75,3101,2020-05-12T23:32:26
KW,Kuwait,11028,82,3263,2020-05-13T23:32:26
KW,Kuwait,11975,88,3451,2020-05-14T23:32:28
KW,Kuwait,12860,96,3640,2020-05-15T23:32:20
KW,Kuwait,13802,107,3843,2020-05-16T23:32:19
KW,Kuwait,14850,112,4093,2020-05-17T23:32:23
KW,Kuwait,15691,118,4339,2020-05-18T23:32:29
KW,Kuwait,16764,121,4681,2020-05-19T14:32:25
