country,name,cases,deaths,recovered,last_update
KZ,Kazakhstan,4,0,0,2020-03-11T20:00:00
KZ,Kazakhstan,6,0,0,2020-03-14T12:53:07
KZ,Kazakhstan,9,0,0,2020-03-15T18:20:18
KZ,Kazakhstan,10,0,0,2020-03-16T14:38:45
KZ,Kazakhstan,33,0,0,2020-03-17T15:53:12
KZ,Kazakhstan,35,0,0,2020-03-18T11:33:04
KZ,Kazakhstan,44,0,0,2020-03-19T10:53:03
KZ,Kazakhstan,49,3,0,2020-03-20T14:13:08
KZ,Kazakhstan,53,0,0,2020-03-21T12:43:08
KZ,Kazakhstan,59,0,0,2020-03-22T23:45:00
KZ,Kazakhstan,62,0,0,2020-03-23T23:19:21
KZ,Kazakhstan,72,0,0,2020-03-24T23:37:15
KZ,Kazakhstan,81,0,0,2020-03-25T23:33:04
KZ,Kazakhstan,111,1,2,2020-03-26T23:48:18
KZ,Kazakhstan,150,1,3,2020-03-27T23:23:03
KZ,Kazakhstan,228,1,16,2020-03-28T23:05:25
KZ,Kazakhstan,284,1,20,2020-03-29T23:08:13
KZ,Kazakhstan,302,1,21,2020-03-30T22:52:33
KZ,Kazakhstan,343,2,24,2020-03-31T23:43:43
KZ,Kazakhstan,380,3,26,2020-04-01T21:58:34
KZ,Kazakhstan,435,3,27,2020-04-02T23:25:14
KZ,Kazakhstan,464,6,29,2020-04-03T23:56:18
KZ,Kazakhstan,531,5,36,2020-04-04T23:34:04
KZ,Kazakhstan,584,6,42,2020-04-05T23:06:26
KZ,Kazakhstan,662,6,46,2020-04-06T23:21:55
KZ,Kazakhstan,697,6,51,2020-04-07T23:04:29
KZ,Kazakhstan,727,7,54,2020-04-08T22:51:39
KZ,Kazakhstan,781,8,60,2020-04-09T23:02:19
KZ,Kazakhstan,812,10,64,2020-04-10T22:53:48
KZ,Kazakhstan,865,10,81,2020-04-11T23:56:45
KZ,Kazakhstan,865,10,81,2020-04-12T03:31:35
KZ,Kazakhstan,1091,12,138,2020-04-13T23:07:34
KZ,Kazakhstan,1232,14,203,2020-04-14T23:33:12
KZ,Kazakhstan,1295,16,240,2020-04-15T22:56:32
KZ,Kazakhstan,1402,17,277,2020-04-16T23:30:31
KZ,Kazakhstan,1546,17,347,2020-04-17T23:30:32
KZ,Kazakhstan,1615,17,377,2020-04-18T22:32:28
KZ,Kazakhstan,1676,17,400,2020-04-19T23:40:41
KZ,Kazakhstan,1852,19,447,2020-04-20T23:36:27
KZ,Kazakhstan,1995,19,489,2020-04-21T23:30:30
KZ,Kazakhstan,2135,19,515,2020-04-22T23:30:32
KZ,Kazakhstan,2289,20,560,2020-04-23T23:30:31
KZ,Kazakhstan,2416,25,604,2020-04-24T21:30:34
KZ,Kazakhstan,2601,25,646,2020-04-25T23:30:33
KZ,Kazakhstan,2717,25,682,2020-04-26T23:30:31
KZ,Kazakhstan,2835,25,720,2020-04-27T23:30:31
KZ,Kazakhstan,3027,25,774,2020-04-28T23:32:24
KZ,Kazakhstan,3138,25,819,2020-04-29T23:32:26
KZ,Kazakhstan,3402,25,866,2020-04-30T23:32:27
KZ,Kazakhstan,3597,25,922,2020-05-01T23:32:36
KZ,Kazakhstan,3857,25,985,2020-05-02T23:32:31
KZ,Kazakhstan,3913,27,1084,2020-05-03T23:32:29
KZ,Kazakhstan,4049,29,1173,2020-05-04T22:32:33
KZ,Kazakhstan,4205,29,1279,2020-05-05T23:32:29
KZ,Kazakhstan,4422,30,1408,2020-05-06T23:32:28
KZ,Kazakhstan,4578,30,1518,2020-05-07T22:32:32
KZ,Kazakhstan,4834,31,1631,2020-05-08T23:32:35
KZ,Kazakhstan,4975,31,1776,2020-05-09T23:32:33
KZ,Kazakhstan,5076,31,1901,2020-05-10T23:32:32
KZ,Kazakhstan,5207,32,2074,2020-05-11T23:32:30
KZ,Kazakhstan,5279,32,2108,2020-05-12T23:32:26
KZ,Kazakhstan,5417,32,2408,2020-05-13T23:32:26
KZ,Kazakhstan,5571,32,2531,2020-05-14T23:32:28
KZ,Kazakhstan,5689,34,2707,2020-05-15T23:32:20
KZ,Kazakhstan,5850,34,2980,2020-05-16T23:32:19
KZ,Kazakhstan,6157,34,3256,2020-05-17T23:32:23
KZ,Kazakhstan,6440,35,3469,2020-05-18T23:32:29
KZ,Kazakhstan,6751,35,3572,2020-05-19T14:32:25
