country,name,cases,deaths,recovered,last_update
LK,Sri Lanka,1,0,0,2020-01-27T23:59:00
LK,Sri Lanka,1,0,0,2020-01-28T23:00:00
LK,Sri Lanka,1,0,0,2020-01-29T19:30:00
LK,Sri Lanka,1,0,0,2020-01-30T16:00:00
LK,Sri Lanka,1,0,0,2020-01-31T08:15:00
LK,Sri Lanka,1,0,0,2020-01-31T08:15:53
LK,Sri Lanka,1,0,0,2020-01-31T23:59:00
LK,Sri Lanka,1,0,1,2020-02-08T03:43:03
LK,Sri Lanka,1,0,1,2020-03-10T08:33:03
LK,Sri Lanka,2,0,1,2020-03-11T09:33:12
LK,Sri Lanka,6,0,1,2020-03-11T20:00:00
LK,Sri Lanka,10,0,1,2020-03-14T16:14:58
LK,Sri Lanka,18,0,1,2020-03-15T18:20:18
LK,Sri Lanka,28,0,1,2020-03-16T15:53:45
LK,Sri Lanka,44,0,1,2020-03-17T15:53:12
LK,Sri Lanka,51,0,1,2020-03-18T13:13:13
LK,Sri Lanka,60,0,3,2020-03-19T16:13:36
LK,Sri Lanka,73,0,3,2020-03-20T16:13:11
LK,Sri Lanka,77,0,1,2020-03-21T17:43:03
LK,Sri Lanka,82,0,3,2020-03-22T23:45:00
LK,Sri Lanka,97,0,2,2020-03-23T23:19:21
LK,Sri Lanka,102,0,2,2020-03-24T23:37:15
LK,Sri Lanka,102,0,3,2020-03-25T23:33:04
LK,Sri Lanka,106,0,7,2020-03-26T23:48:18
LK,Sri Lanka,106,0,7,2020-03-27T23:23:03
LK,Sri Lanka,113,1,9,2020-03-28T23:05:25
LK,Sri Lanka,117,1,11,2020-03-29T23:08:13
LK,Sri Lanka,122,2,15,2020-03-30T22:52:33
LK,Sri Lanka,143,2,17,2020-03-31T23:43:43
LK,Sri Lanka,146,3,21,2020-04-01T21:58:34
LK,Sri Lanka,151,4,21,2020-04-02T23:25:14
LK,Sri Lanka,159,4,24,2020-04-03T23:56:18
LK,Sri Lanka,166,5,27,2020-04-04T23:34:04
LK,Sri Lanka,176,5,33,2020-04-05T23:06:26
LK,Sri Lanka,178,5,38,2020-04-06T23:21:55
LK,Sri Lanka,185,6,42,2020-04-07T23:04:29
LK,Sri Lanka,189,7,44,2020-04-08T22:51:39
LK,Sri Lanka,190,7,49,2020-04-09T23:02:19
LK,Sri Lanka,190,7,54,2020-04-10T22:53:48
LK,Sri Lanka,198,7,54,2020-04-11T23:56:45
LK,Sri Lanka,199,7,54,2020-04-12T03:31:35
LK,Sri Lanka,217,7,56,2020-04-13T23:07:34
LK,Sri Lanka,233,7,61,2020-04-14T23:33:12
LK,Sri Lanka,238,7,63,2020-04-15T22:56:32
LK,Sri Lanka,238,7,68,2020-04-16T23:30:31
LK,Sri Lanka,244,7,77,2020-04-17T23:30:32
LK,Sri Lanka,254,7,86,2020-04-18T22:32:28
LK,Sri Lanka,271,7,96,2020-04-19T23:40:41
LK,Sri Lanka,304,7,98,2020-04-20T23:36:27
LK,Sri Lanka,310,7,102,2020-04-21T23:30:30
LK,Sri Lanka,330,7,105,2020-04-22T23:30:32
LK,Sri Lanka,368,7,107,2020-04-23T23:30:31
LK,Sri Lanka,417,7,109,2020-04-24T21:30:34
LK,Sri Lanka,452,7,118,2020-04-25T23:30:33
LK,Sri Lanka,523,7,120,2020-04-26T23:30:31
LK,Sri Lanka,588,7,126,2020-04-27T23:30:31
LK,Sri Lanka,619,7,134,2020-04-28T23:32:24
LK,Sri Lanka,649,7,136,2020-04-29T23:32:26
LK,Sri Lanka,663,7,154,2020-04-30T23:32:27
LK,Sri Lanka,690,7,162,2020-05-01T23:32:36
LK,Sri Lanka,702,7,172,2020-05-02T23:32:31
LK,Sri Lanka,718,7,184,2020-05-03T23:32:29
LK,Sri Lanka,751,8,194,2020-05-04T22:32:33
LK,Sri Lanka,771,9,213,2020-05-05T23:32:29
LK,Sri Lanka,797,9,215,2020-05-06T23:32:28
LK,Sri Lanka,823,9,232,2020-05-07T22:32:32
LK,Sri Lanka,835,9,240,2020-05-08T23:32:35
LK,Sri Lanka,847,9,260,2020-05-09T23:32:33
LK,Sri Lanka,856,9,321,2020-05-10T23:32:32
LK,Sri Lanka,863,9,343,2020-05-11T23:32:30
LK,Sri Lanka,889,9,366,2020-05-12T23:32:26
LK,Sri Lanka,893,9,382,2020-05-13T23:32:26
LK,Sri Lanka,925,9,445,2020-05-14T23:32:28
LK,Sri Lanka,935,9,477,2020-05-15T23:32:20
LK,Sri Lanka,957,9,520,2020-05-16T23:32:19
LK,Sri Lanka,981,9,538,2020-05-17T23:32:23
LK,Sri Lanka,992,9,559,2020-05-18T23:32:29
LK,Sri Lanka,1020,9,569,2020-05-19T14:32:25
