country,name,cases,deaths,recovered,last_update
LR,Liberia,1,0,0,2020-03-16T14:38:46
LR,Liberia,1,0,0,2020-03-17T12:13:16
LR,Liberia,2,0,0,2020-03-18T03:13:22
LR,Liberia,3,0,0,2020-03-21T12:43:08
LR,Liberia,3,0,0,2020-03-22T23:45:00
LR,Liberia,3,0,0,2020-03-23T23:19:21
LR,Liberia,3,0,0,2020-03-24T23:37:15
LR,Liberia,3,0,0,2020-03-25T23:33:04
LR,Liberia,3,0,0,2020-03-26T23:48:18
LR,Liberia,3,0,0,2020-03-27T23:23:03
LR,Liberia,3,0,0,2020-03-28T23:05:25
LR,Liberia,3,0,0,2020-03-29T23:08:13
LR,Liberia,3,0,0,2020-03-30T22:52:33
LR,Liberia,3,0,0,2020-03-31T23:43:43
LR,Liberia,6,0,0,2020-04-01T21:58:34
LR,Liberia,6,0,0,2020-04-02T23:25:14
LR,Liberia,7,0,0,2020-04-03T23:56:18
LR,Liberia,10,1,3,2020-04-04T23:34:04
LR,Liberia,13,3,3,2020-04-05T23:06:26
LR,Liberia,14,3,3,2020-04-06T23:21:55
LR,Liberia,14,3,3,2020-04-07T23:04:29
LR,Liberia,31,4,3,2020-04-08T22:51:39
LR,Liberia,31,4,3,2020-04-09T23:02:19
LR,Liberia,37,5,3,2020-04-10T22:53:48
LR,Liberia,48,5,3,2020-04-11T23:56:45
LR,Liberia,48,5,3,2020-04-12T03:31:35
LR,Liberia,59,6,4,2020-04-13T23:07:34
LR,Liberia,59,6,4,2020-04-14T23:33:12
LR,Liberia,59,6,4,2020-04-15T22:56:32
LR,Liberia,59,6,4,2020-04-16T23:30:31
LR,Liberia,76,7,7,2020-04-17T23:30:32
LR,Liberia,76,7,7,2020-04-18T22:32:28
LR,Liberia,91,8,7,2020-04-19T23:40:41
LR,Liberia,99,8,7,2020-04-20T23:36:27
LR,Liberia,101,8,7,2020-04-21T23:30:30
LR,Liberia,101,8,20,2020-04-22T23:30:32
LR,Liberia,101,8,20,2020-04-23T23:30:31
LR,Liberia,117,8,25,2020-04-24T21:30:34
LR,Liberia,120,11,25,2020-04-25T23:30:33
LR,Liberia,124,12,25,2020-04-26T23:30:31
LR,Liberia,124,12,25,2020-04-27T23:30:31
LR,Liberia,141,16,45,2020-04-28T23:32:24
LR,Liberia,141,16,45,2020-04-29T23:32:26
LR,Liberia,141,16,45,2020-04-30T23:32:27
LR,Liberia,152,18,45,2020-05-01T23:32:36
LR,Liberia,154,18,48,2020-05-02T23:32:31
LR,Liberia,158,18,58,2020-05-03T23:32:29
LR,Liberia,166,18,58,2020-05-04T22:32:33
LR,Liberia,170,20,58,2020-05-05T23:32:29
LR,Liberia,178,20,75,2020-05-06T23:32:28
LR,Liberia,189,20,79,2020-05-07T22:32:32
LR,Liberia,199,20,79,2020-05-08T23:32:35
LR,Liberia,199,20,79,2020-05-09T23:32:33
LR,Liberia,199,20,79,2020-05-10T23:32:32
LR,Liberia,211,20,85,2020-05-11T23:32:30
LR,Liberia,211,20,85,2020-05-12T23:32:26
LR,Liberia,213,20,101,2020-05-13T23:32:26
LR,Liberia,215,20,105,2020-05-14T23:32:28
LR,Liberia,219,20,108,2020-05-15T23:32:20
LR,Liberia,223,20,116,2020-05-16T23:32:19
LR,Liberia,226,21,120,2020-05-17T23:32:23
LR,Liberia,229,22,123,2020-05-18T23:32:29
LR,Liberia,233,23,125,2020-05-19T23:32:20
LR,Liberia,238,23,128,2020-05-20T23:32:52
LR,Liberia,240,23,131,2020-05-21T23:32:39
LR,Liberia,249,24,136,2020-05-22T23:32:40
LR,Liberia,255,26,136,2020-05-23T19:06:14
