country,name,cases,deaths,recovered,last_update
LV,Latvia,1,0,0,2020-03-02T20:13:49
LV,Latvia,1,0,0,2020-03-04T01:33:07
LV,Latvia,2,0,0,2020-03-08T10:33:03
LV,Latvia,6,0,0,2020-03-09T09:13:18
LV,Latvia,8,0,1,2020-03-10T10:13:41
LV,Latvia,10,0,1,2020-03-11T13:53:24
LV,Latvia,17,0,1,2020-03-11T20:00:00
LV,Latvia,26,0,1,2020-03-14T12:33:03
LV,Latvia,30,0,1,2020-03-15T18:20:18
LV,Latvia,34,0,1,2020-03-16T14:38:45
LV,Latvia,49,0,1,2020-03-17T11:13:29
LV,Latvia,71,0,1,2020-03-18T11:13:43
LV,Latvia,86,0,1,2020-03-19T10:53:03
LV,Latvia,111,0,1,2020-03-20T14:43:04
LV,Latvia,124,0,1,2020-03-21T12:13:19
LV,Latvia,139,0,1,2020-03-22T23:45:00
LV,Latvia,180,0,1,2020-03-23T23:19:21
LV,Latvia,197,0,1,2020-03-24T23:37:15
LV,Latvia,221,0,1,2020-03-25T23:33:04
LV,Latvia,244,0,1,2020-03-26T23:48:18
LV,Latvia,280,0,1,2020-03-27T23:23:03
LV,Latvia,305,0,1,2020-03-28T23:05:25
LV,Latvia,347,0,1,2020-03-29T23:08:13
LV,Latvia,376,0,1,2020-03-30T22:52:33
LV,Latvia,398,0,1,2020-03-31T23:43:43
LV,Latvia,446,0,1,2020-04-01T21:58:34
LV,Latvia,458,0,31,2020-04-02T23:25:14
LV,Latvia,493,1,1,2020-04-03T23:56:18
LV,Latvia,509,1,1,2020-04-04T23:34:04
LV,Latvia,533,1,1,2020-04-05T23:06:26
LV,Latvia,542,1,16,2020-04-06T23:21:55
LV,Latvia,548,2,16,2020-04-07T23:04:29
LV,Latvia,577,2,16,2020-04-08T22:51:39
LV,Latvia,589,3,16,2020-04-09T23:02:19
LV,Latvia,612,3,16,2020-04-10T22:53:48
LV,Latvia,630,3,16,2020-04-11T23:56:45
LV,Latvia,630,3,16,2020-04-12T03:31:35
LV,Latvia,655,5,16,2020-04-13T23:07:34
LV,Latvia,657,5,16,2020-04-14T23:33:12
LV,Latvia,666,5,44,2020-04-15T22:56:32
LV,Latvia,675,5,57,2020-04-16T23:30:31
LV,Latvia,682,5,88,2020-04-17T23:30:32
LV,Latvia,712,5,88,2020-04-18T22:32:28
LV,Latvia,727,5,88,2020-04-19T23:40:41
LV,Latvia,739,5,88,2020-04-20T23:36:27
LV,Latvia,748,9,133,2020-04-21T23:30:30
LV,Latvia,761,11,133,2020-04-22T23:30:32
LV,Latvia,778,11,133,2020-04-23T23:30:31
LV,Latvia,784,12,267,2020-04-24T21:30:34
LV,Latvia,804,12,267,2020-04-25T23:30:33
LV,Latvia,812,12,267,2020-04-26T23:30:31
LV,Latvia,818,13,267,2020-04-27T23:30:31
LV,Latvia,836,13,267,2020-04-28T23:32:24
LV,Latvia,849,15,348,2020-04-29T23:32:26
LV,Latvia,858,15,348,2020-04-30T23:32:27
LV,Latvia,870,16,348,2020-05-01T23:32:36
LV,Latvia,871,16,348,2020-05-02T23:32:31
LV,Latvia,879,16,348,2020-05-03T23:32:29
LV,Latvia,896,16,348,2020-05-04T22:32:33
LV,Latvia,896,17,348,2020-05-05T23:32:29
LV,Latvia,900,17,464,2020-05-06T23:32:28
LV,Latvia,909,18,464,2020-05-07T22:32:32
LV,Latvia,928,18,464,2020-05-08T23:32:35
LV,Latvia,930,18,464,2020-05-09T23:32:33
LV,Latvia,939,18,464,2020-05-10T23:32:32
LV,Latvia,946,18,464,2020-05-11T23:32:30
LV,Latvia,950,18,627,2020-05-12T23:32:26
LV,Latvia,951,19,627,2020-05-13T23:32:26
LV,Latvia,962,19,627,2020-05-14T23:32:28
LV,Latvia,970,19,662,2020-05-15T23:32:20
LV,Latvia,997,19,662,2020-05-16T23:32:19
LV,Latvia,1008,19,662,2020-05-17T23:32:23
LV,Latvia,1009,19,662,2020-05-18T23:32:29
LV,Latvia,1012,21,694,2020-05-19T23:32:20
LV,Latvia,1016,21,694,2020-05-20T23:32:52
LV,Latvia,1025,22,694,2020-05-21T23:32:39
LV,Latvia,1030,22,712,2020-05-22T12:32:39
