country,name,cases,deaths,recovered,last_update
MA,Morocco,1,0,0,2020-03-02T22:33:09
MA,Morocco,1,0,0,2020-03-03T15:33:02
MA,Morocco,2,0,0,2020-03-05T13:53:03
MA,Morocco,3,1,0,2020-03-10T14:13:14
MA,Morocco,5,1,0,2020-03-11T11:53:03
MA,Morocco,7,1,1,2020-03-11T20:00:00
MA,Morocco,6,1,0,2020-03-12T01:33:03
MA,Morocco,17,1,1,2020-03-14T20:53:02
MA,Morocco,28,1,1,2020-03-15T18:20:18
MA,Morocco,29,1,1,2020-03-16T14:38:45
MA,Morocco,38,2,1,2020-03-17T15:53:12
MA,Morocco,49,2,1,2020-03-18T11:33:04
MA,Morocco,63,2,1,2020-03-19T20:43:02
MA,Morocco,77,3,1,2020-03-20T20:43:02
MA,Morocco,96,3,3,2020-03-21T20:43:02
MA,Morocco,115,4,3,2020-03-22T23:45:00
MA,Morocco,143,4,5,2020-03-23T23:19:21
MA,Morocco,170,5,6,2020-03-24T23:37:15
MA,Morocco,225,6,7,2020-03-25T23:33:04
MA,Morocco,275,11,8,2020-03-26T23:48:18
MA,Morocco,345,23,11,2020-03-27T23:23:03
MA,Morocco,402,25,11,2020-03-28T23:05:25
MA,Morocco,479,26,13,2020-03-29T23:08:13
MA,Morocco,556,33,15,2020-03-30T22:52:33
MA,Morocco,617,36,24,2020-03-31T23:43:43
MA,Morocco,654,39,29,2020-04-01T21:58:34
MA,Morocco,708,44,31,2020-04-02T23:25:14
MA,Morocco,791,48,57,2020-04-03T23:56:18
MA,Morocco,919,59,66,2020-04-04T23:34:04
MA,Morocco,1021,70,76,2020-04-05T23:06:26
MA,Morocco,1120,80,81,2020-04-06T23:21:55
MA,Morocco,1184,90,93,2020-04-07T23:04:29
MA,Morocco,1275,93,97,2020-04-08T22:51:39
MA,Morocco,1374,97,109,2020-04-09T23:02:19
MA,Morocco,1448,107,122,2020-04-10T22:53:48
MA,Morocco,1545,111,146,2020-04-11T23:56:45
MA,Morocco,1545,111,146,2020-04-12T03:31:35
MA,Morocco,1763,126,203,2020-04-13T23:07:34
MA,Morocco,1888,126,217,2020-04-14T23:33:12
MA,Morocco,2024,127,229,2020-04-15T22:56:32
MA,Morocco,2283,130,249,2020-04-16T23:30:31
MA,Morocco,2564,135,281,2020-04-17T23:30:32
MA,Morocco,2685,137,314,2020-04-18T22:32:28
MA,Morocco,2855,141,327,2020-04-19T23:40:41
MA,Morocco,3046,143,350,2020-04-20T23:36:27
MA,Morocco,3209,145,393,2020-04-21T23:30:30
MA,Morocco,3446,149,417,2020-04-22T23:30:32
MA,Morocco,3568,155,456,2020-04-23T23:30:31
MA,Morocco,3758,158,486,2020-04-24T21:30:34
MA,Morocco,3897,159,537,2020-04-25T23:30:33
MA,Morocco,4065,161,593,2020-04-26T23:30:31
MA,Morocco,4120,162,695,2020-04-27T23:30:31
MA,Morocco,4252,165,778,2020-04-28T23:32:24
MA,Morocco,4321,168,928,2020-04-29T23:32:26
MA,Morocco,4423,170,984,2020-04-30T23:32:27
MA,Morocco,4569,171,1083,2020-05-01T23:32:36
MA,Morocco,4729,173,1256,2020-05-02T23:32:31
MA,Morocco,4903,174,1438,2020-05-03T23:32:29
MA,Morocco,5053,179,1653,2020-05-04T22:32:33
MA,Morocco,5219,181,1838,2020-05-05T23:32:29
MA,Morocco,5408,183,2017,2020-05-06T23:32:28
MA,Morocco,5548,183,2179,2020-05-07T22:32:32
MA,Morocco,5711,186,2324,2020-05-08T23:32:35
MA,Morocco,5910,186,2461,2020-05-09T23:32:33
MA,Morocco,6063,188,2554,2020-05-10T23:32:32
MA,Morocco,6281,188,2811,2020-05-11T23:32:30
MA,Morocco,6418,188,2991,2020-05-12T23:32:26
MA,Morocco,6512,188,3131,2020-05-13T23:32:26
MA,Morocco,6607,190,3310,2020-05-14T23:32:28
MA,Morocco,6652,190,3400,2020-05-15T23:32:20
MA,Morocco,6741,192,3487,2020-05-16T23:32:19
MA,Morocco,6870,192,3660,2020-05-17T23:32:23
MA,Morocco,6952,192,3758,2020-05-18T23:32:29
MA,Morocco,7023,193,3901,2020-05-19T23:32:20
MA,Morocco,7133,194,4098,2020-05-20T23:32:52
MA,Morocco,7211,196,4280,2020-05-21T23:32:39
MA,Morocco,7332,197,4377,2020-05-22T23:32:40
MA,Morocco,7406,198,4638,2020-05-23T19:06:14
