country,name,cases,deaths,recovered,last_update
MC,Monaco,1,0,0,2020-02-29T00:33:01
MC,Monaco,2,0,0,2020-03-11T20:00:00
MC,Monaco,2,0,0,2020-03-12T12:53:03
MC,Monaco,2,0,0,2020-03-14T23:13:05
MC,Monaco,7,0,0,2020-03-16T14:38:45
MC,Monaco,11,0,0,2020-03-20T14:43:04
MC,Monaco,11,0,0,2020-03-21T13:13:32
MC,Monaco,23,0,1,2020-03-22T23:45:00
MC,Monaco,23,0,1,2020-03-23T23:19:21
MC,Monaco,23,0,1,2020-03-24T23:37:15
MC,Monaco,31,0,1,2020-03-25T23:33:04
MC,Monaco,33,0,1,2020-03-26T23:48:18
MC,Monaco,42,0,1,2020-03-27T23:23:03
MC,Monaco,42,0,1,2020-03-28T23:05:25
MC,Monaco,46,1,1,2020-03-29T23:08:13
MC,Monaco,49,1,1,2020-03-30T22:52:33
MC,Monaco,52,1,2,2020-03-31T23:43:43
MC,Monaco,55,1,2,2020-04-01T21:58:34
MC,Monaco,60,1,2,2020-04-02T23:25:14
MC,Monaco,64,1,3,2020-04-03T23:56:18
MC,Monaco,66,1,3,2020-04-04T23:34:04
MC,Monaco,73,1,3,2020-04-05T23:06:26
MC,Monaco,77,1,4,2020-04-06T23:21:55
MC,Monaco,79,1,4,2020-04-07T23:04:29
MC,Monaco,81,1,4,2020-04-08T22:51:39
MC,Monaco,84,1,5,2020-04-09T23:02:19
MC,Monaco,90,1,5,2020-04-10T22:53:48
MC,Monaco,92,1,5,2020-04-11T23:56:45
MC,Monaco,92,1,5,2020-04-12T03:31:35
MC,Monaco,93,1,6,2020-04-13T23:07:34
MC,Monaco,93,1,6,2020-04-14T23:33:12
MC,Monaco,93,3,12,2020-04-15T22:56:32
MC,Monaco,93,3,12,2020-04-16T23:30:31
MC,Monaco,94,3,20,2020-04-17T23:30:32
MC,Monaco,94,3,22,2020-04-18T22:32:28
MC,Monaco,94,3,22,2020-04-19T23:40:41
MC,Monaco,94,3,23,2020-04-20T23:36:27
MC,Monaco,94,3,26,2020-04-21T23:30:30
MC,Monaco,94,3,26,2020-04-22T23:30:32
MC,Monaco,94,4,35,2020-04-23T23:30:31
MC,Monaco,94,4,41,2020-04-24T21:30:34
MC,Monaco,94,4,42,2020-04-25T23:30:33
MC,Monaco,94,4,42,2020-04-26T23:30:31
MC,Monaco,95,4,42,2020-04-27T23:30:31
MC,Monaco,95,4,50,2020-04-28T23:32:24
MC,Monaco,95,4,58,2020-04-29T23:32:26
MC,Monaco,95,4,64,2020-04-30T23:32:27
MC,Monaco,95,4,73,2020-05-01T23:32:36
MC,Monaco,95,4,73,2020-05-02T23:32:31
MC,Monaco,95,4,78,2020-05-03T23:32:29
MC,Monaco,95,4,78,2020-05-04T22:32:33
MC,Monaco,95,4,81,2020-05-05T23:32:29
MC,Monaco,95,4,82,2020-05-06T23:32:28
MC,Monaco,95,4,82,2020-05-07T22:32:32
MC,Monaco,95,4,82,2020-05-08T23:32:35
MC,Monaco,96,4,82,2020-05-09T23:32:33
MC,Monaco,96,4,82,2020-05-10T23:32:32
MC,Monaco,96,4,85,2020-05-11T23:32:30
MC,Monaco,96,4,85,2020-05-12T23:32:26
MC,Monaco,96,4,87,2020-05-13T23:32:26
MC,Monaco,96,4,87,2020-05-14T23:32:28
MC,Monaco,96,4,87,2020-05-15T23:32:20
MC,Monaco,96,4,87,2020-05-16T23:32:19
MC,Monaco,96,4,87,2020-05-17T23:32:23
MC,Monaco,97,4,87,2020-05-18T23:32:29
MC,Monaco,97,4,87,2020-05-19T23:32:20
MC,Monaco,97,4,90,2020-05-20T23:32:52
MC,Monaco,97,4,90,2020-05-21T23:32:39
MC,Monaco,97,4,90,2020-05-22T23:32:40
MC,Monaco,97,4,90,2020-05-23T19:06:14
