country,name,cases,deaths,recovered,last_update
MG,Madagascar,3,0,0,2020-03-20T22:13:53
MG,Madagascar,3,0,0,2020-03-22T23:45:00
MG,Madagascar,12,0,0,2020-03-23T23:19:21
MG,Madagascar,17,0,0,2020-03-24T23:37:15
MG,Madagascar,19,0,0,2020-03-25T23:33:04
MG,Madagascar,23,0,0,2020-03-26T23:48:18
MG,Madagascar,26,0,0,2020-03-27T23:23:03
MG,Madagascar,26,0,0,2020-03-28T23:05:25
MG,Madagascar,39,0,0,2020-03-29T23:08:13
MG,Madagascar,43,0,0,2020-03-30T22:52:33
MG,Madagascar,57,0,0,2020-03-31T23:43:43
MG,Madagascar,57,0,0,2020-04-01T21:58:34
MG,Madagascar,59,0,0,2020-04-02T23:25:14
MG,Madagascar,70,0,0,2020-04-03T23:56:18
MG,Madagascar,70,0,0,2020-04-04T23:34:04
MG,Madagascar,72,0,2,2020-04-05T23:06:26
MG,Madagascar,82,0,2,2020-04-06T23:21:55
MG,Madagascar,88,0,7,2020-04-07T23:04:29
MG,Madagascar,93,0,11,2020-04-08T22:51:39
MG,Madagascar,93,0,11,2020-04-09T23:02:19
MG,Madagascar,93,0,11,2020-04-10T22:53:48
MG,Madagascar,102,0,11,2020-04-11T23:56:45
MG,Madagascar,102,0,11,2020-04-12T03:31:35
MG,Madagascar,106,0,21,2020-04-13T23:07:34
MG,Madagascar,108,0,23,2020-04-14T23:33:12
MG,Madagascar,110,0,29,2020-04-15T22:56:32
MG,Madagascar,111,0,33,2020-04-16T23:30:31
MG,Madagascar,117,0,33,2020-04-17T23:30:32
MG,Madagascar,120,0,35,2020-04-18T22:32:28
MG,Madagascar,121,0,39,2020-04-19T23:40:41
MG,Madagascar,121,0,41,2020-04-20T23:36:27
MG,Madagascar,121,0,44,2020-04-21T23:30:30
MG,Madagascar,121,0,52,2020-04-22T23:30:32
MG,Madagascar,121,0,58,2020-04-23T23:30:31
MG,Madagascar,122,0,61,2020-04-24T21:30:34
MG,Madagascar,123,0,62,2020-04-25T23:30:33
MG,Madagascar,124,0,71,2020-04-26T23:30:31
MG,Madagascar,128,0,75,2020-04-27T23:30:31
MG,Madagascar,128,0,82,2020-04-28T23:32:24
MG,Madagascar,128,0,90,2020-04-29T23:32:26
MG,Madagascar,128,0,92,2020-04-30T23:32:27
MG,Madagascar,132,0,94,2020-05-01T23:32:36
MG,Madagascar,135,0,97,2020-05-02T23:32:31
MG,Madagascar,149,0,98,2020-05-03T23:32:29
MG,Madagascar,149,0,99,2020-05-04T22:32:33
MG,Madagascar,151,0,101,2020-05-05T23:32:29
MG,Madagascar,158,0,101,2020-05-06T23:32:28
MG,Madagascar,193,0,101,2020-05-07T22:32:32
MG,Madagascar,193,0,101,2020-05-08T23:32:35
MG,Madagascar,193,0,101,2020-05-09T23:32:33
MG,Madagascar,193,0,101,2020-05-10T23:32:32
MG,Madagascar,186,0,101,2020-05-11T23:32:30
MG,Madagascar,186,0,101,2020-05-12T23:32:26
MG,Madagascar,212,0,107,2020-05-13T23:32:26
MG,Madagascar,230,0,108,2020-05-14T23:32:28
MG,Madagascar,238,0,112,2020-05-15T23:32:20
MG,Madagascar,283,0,114,2020-05-16T23:32:19
MG,Madagascar,304,1,114,2020-05-17T23:32:23
MG,Madagascar,322,1,119,2020-05-18T23:32:29
MG,Madagascar,326,2,119,2020-05-19T23:32:20
MG,Madagascar,371,2,131,2020-05-20T23:32:52
MG,Madagascar,405,2,131,2020-05-21T23:32:39
MG,Madagascar,448,2,135,2020-05-22T23:32:40
MG,Madagascar,488,2,138,2020-05-23T19:06:14
